,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
239,1,Leverkusen,14,2,0,0,1,0,0,2,11,H,8,2012-03-24,Schalke 04,D1,2,6,6,17,H,3,Schalke 04_Leverkusen_2011
240,3,Augsburg,19,1,0,1,0,0,0,3,15,D,15,2012-03-24,Werder Bremen,D1,6,5,4,17,D,6,Werder Bremen_Augsburg_2011
241,1,Dortmund,15,1,0,6,1,0,1,0,11,A,15,2012-03-25,FC Koln,D1,9,3,2,5,D,3,FC Koln_Dortmund_2011
242,2,Nurnberg,15,1,0,0,0,0,0,2,15,H,17,2012-03-25,Stuttgart,D1,3,2,4,8,D,14,Stuttgart_Nurnberg_2011
243,2,Stuttgart,8,4,0,4,1,0,0,1,10,D,11,2012-03-30,Dortmund,D1,4,10,11,27,H,5,Dortmund_Stuttgart_2011
244,1,FC Koln,12,2,0,1,2,0,1,4,31,H,4,2012-03-31,Augsburg,D1,3,8,11,14,H,1,Augsburg_FC Koln_2011
245,1,Wolfsburg,9,1,0,4,1,0,2,0,10,A,13,2012-03-31,Hertha,D1,6,6,7,13,A,1,Hertha_Wolfsburg_2011
246,4,Hamburg,24,0,0,1,0,0,1,2,14,A,12,2012-03-31,Kaiserslautern,D1,5,6,10,18,A,5,Kaiserslautern_Hamburg_2011
247,1,Freiburg,17,0,0,2,0,0,1,4,22,A,8,2012-03-31,Leverkusen,D1,4,4,3,11,A,1,Leverkusen_Freiburg_2011
248,2,Bayern Munich,24,0,0,1,0,0,0,2,15,A,12,2012-03-31,Nurnberg,D1,4,3,6,6,D,6,Nurnberg_Bayern Munich_2011
249,1,Mainz,16,0,0,3,0,0,1,2,14,A,9,2012-03-31,Werder Bremen,D1,5,7,7,19,A,0,Werder Bremen_Mainz_2011
250,0,M'gladbach,8,2,0,1,0,0,0,1,9,H,14,2012-04-01,Hannover,D1,6,3,5,12,D,6,Hannover_M'gladbach_2011
251,2,Schalke 04,23,1,0,1,1,0,0,4,16,D,19,2012-04-01,Hoffenheim,D1,7,5,5,15,H,4,Hoffenheim_Schalke 04_2011
252,1,Augsburg,15,2,0,1,1,0,1,0,14,H,7,2012-04-07,Bayern Munich,D1,3,5,3,18,D,5,Bayern Munich_Augsburg_2011
253,3,Werder Bremen,19,1,0,1,1,0,1,2,19,D,7,2012-04-07,FC Koln,D1,1,4,7,13,D,9,FC Koln_Werder Bremen_2011
254,3,Nurnberg,22,2,0,2,0,0,2,4,24,D,14,2012-04-07,Freiburg,D1,5,3,5,12,A,7,Freiburg_Nurnberg_2011
255,3,Hoffenheim,21,1,0,2,0,0,1,2,24,A,13,2012-04-07,Kaiserslautern,D1,5,5,3,14,A,1,Kaiserslautern_Hoffenheim_2011
256,0,Hertha,15,0,0,0,0,0,0,1,21,D,6,2012-04-07,M'gladbach,D1,5,3,1,12,D,3,M'gladbach_Hertha_2011
257,1,Mainz,7,4,0,1,1,0,1,1,17,H,14,2012-04-07,Stuttgart,D1,3,6,13,10,D,2,Stuttgart_Mainz_2011
258,1,Dortmund,17,1,0,3,0,1,1,2,9,A,11,2012-04-07,Wolfsburg,D1,4,6,5,11,A,6,Wolfsburg_Dortmund_2011
259,2,Leverkusen,20,1,0,1,1,0,0,2,12,D,15,2012-04-08,Hamburg,D1,9,4,5,18,H,4,Hamburg_Leverkusen_2011
260,0,Hannover,14,3,0,0,1,0,0,1,14,H,4,2012-04-08,Schalke 04,D1,0,10,4,16,H,1,Schalke 04_Hannover_2011
261,2,Stuttgart,16,1,0,3,1,0,2,3,19,A,14,2012-04-10,Augsburg,D1,9,2,9,20,A,2,Augsburg_Stuttgart_2011
262,4,Freiburg,18,1,0,2,0,0,1,1,14,A,10,2012-04-10,Hertha,D1,5,4,6,12,A,1,Hertha_Freiburg_2011
263,2,FC Koln,14,4,0,0,3,0,0,0,13,H,3,2012-04-10,Mainz,D1,0,4,3,7,H,2,Mainz_FC Koln_2011
264,0,M'gladbach,6,2,0,2,1,1,0,4,13,D,23,2012-04-10,Werder Bremen,D1,7,6,3,14,H,5,Werder Bremen_M'gladbach_2011
265,0,Bayern Munich,9,1,0,0,0,0,0,0,10,H,7,2012-04-11,Dortmund,D1,4,6,3,13,D,4,Dortmund_Bayern Munich_2011
266,0,Wolfsburg,16,2,0,0,1,0,0,1,11,H,13,2012-04-11,Hannover,D1,5,3,5,7,H,6,Hannover_Wolfsburg_2011
267,2,Hamburg,18,4,0,0,2,0,0,3,21,H,11,2012-04-11,Hoffenheim,D1,6,6,3,11,H,9,Hoffenheim_Hamburg_2011
268,0,Kaiserslautern,9,3,0,1,1,0,1,1,9,H,16,2012-04-11,Leverkusen,D1,4,8,2,15,D,4,Leverkusen_Kaiserslautern_2011
269,1,Schalke 04,17,4,0,1,3,0,0,3,26,H,6,2012-04-11,Nurnberg,D1,1,4,6,12,H,1,Nurnberg_Schalke 04_2011
270,1,Werder Bremen,18,4,0,1,2,0,1,3,24,H,9,2012-04-13,Stuttgart,D1,3,8,6,18,H,3,Stuttgart_Werder Bremen_2011
271,1,Mainz,5,0,0,0,0,0,0,1,14,D,5,2012-04-14,Bayern Munich,D1,0,2,13,14,D,4,Bayern Munich_Mainz_2011
272,2,Hannover,17,1,0,0,1,0,0,2,21,H,7,2012-04-14,Hamburg,D1,1,8,8,15,H,3,Hamburg_Hannover_2011
273,3,Nurnberg,11,0,0,2,0,0,1,3,17,A,11,2012-04-14,Kaiserslautern,D1,3,4,6,15,A,1,Kaiserslautern_Nurnberg_2011
274,1,Hertha,14,3,1,3,1,0,0,1,9,D,17,2012-04-14,Leverkusen,D1,8,7,6,17,H,6,Leverkusen_Hertha_2011
275,3,Dortmund,19,1,0,2,1,0,1,2,19,A,14,2012-04-14,Schalke 04,D1,6,4,13,16,D,5,Schalke 04_Dortmund_2011
276,3,Augsburg,32,1,0,2,1,0,1,2,20,A,9,2012-04-14,Wolfsburg,D1,4,10,5,23,D,2,Wolfsburg_Augsburg_2011
277,1,Hoffenheim,21,0,0,0,0,0,0,1,13,D,7,2012-04-15,Freiburg,D1,0,2,4,10,D,4,Freiburg_Hoffenheim_2011
278,1,FC Koln,8,3,0,0,1,0,0,2,9,H,8,2012-04-15,M'gladbach,D1,1,8,8,16,H,2,M'gladbach_FC Koln_2011
279,0,Wolfsburg,10,0,0,0,0,0,0,1,20,D,11,2012-04-20,Mainz,D1,3,8,3,15,D,6,Mainz_Wolfsburg_2011
280,1,M'gladbach,14,2,0,0,1,0,0,1,8,H,4,2012-04-21,Dortmund,D1,1,8,6,18,H,2,Dortmund_M'gladbach_2011
