,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,HC,HS,HTR,AC,idGame
29,4,Schalke 04,14,1,0,1,0,0,0,4,15,D,14,2005-09-10,Leverkusen,D1,8,17,D,6,Leverkusen_Schalke 04_2005
30,1,Hamburg,12,1,0,3,0,0,1,1,12,A,13,2005-09-10,Mainz,D1,2,21,A,9,Mainz_Hamburg_2005
31,3,Duisburg,20,2,0,1,1,0,1,2,33,H,13,2005-09-10,M'gladbach,D1,7,22,D,2,M'gladbach_Duisburg_2005
32,4,Bayern Munich,18,1,0,2,1,0,1,2,23,A,21,2005-09-10,Nurnberg,D1,5,11,D,10,Nurnberg_Bayern Munich_2005
33,2,Bielefeld,13,1,0,1,0,0,0,3,25,D,16,2005-09-10,Stuttgart,D1,7,15,D,3,Stuttgart_Bielefeld_2005
34,1,FC Koln,20,2,0,1,1,0,0,4,18,H,18,2005-09-11,Dortmund,D1,3,17,H,2,Dortmund_FC Koln_2005
35,3,Wolfsburg,21,3,0,0,0,0,0,2,18,H,13,2005-09-11,Hertha,D1,7,21,D,2,Hertha_Wolfsburg_2005
36,0,Hannover,14,1,0,0,1,0,0,1,12,H,13,2005-09-17,Bayern Munich,D1,3,11,H,3,Bayern Munich_Hannover_2005
37,0,Kaiserslautern,12,0,0,0,0,0,0,1,16,D,7,2005-09-17,Bielefeld,D1,4,12,D,3,Bielefeld_Kaiserslautern_2005
38,1,M'gladbach,10,2,0,1,2,0,0,4,14,H,18,2005-09-17,FC Koln,D1,5,18,H,12,FC Koln_M'gladbach_2005
39,2,Ein Frankfurt,23,1,0,1,0,0,0,2,27,D,11,2005-09-17,Hamburg,D1,6,12,D,5,Hamburg_Ein Frankfurt_2005
40,0,Stuttgart,18,1,0,2,0,0,0,4,20,A,10,2005-09-17,Mainz,D1,6,23,D,2,Mainz_Stuttgart_2005
41,2,Dortmund,23,3,0,2,1,0,1,1,27,H,11,2005-09-17,Werder Bremen,D1,15,26,D,4,Werder Bremen_Dortmund_2005
42,4,Nurnberg,28,1,0,1,1,0,0,3,15,D,25,2005-09-17,Wolfsburg,D1,6,11,H,3,Wolfsburg_Nurnberg_2005
43,4,Leverkusen,23,1,0,3,1,0,2,3,18,A,17,2005-09-18,Duisburg,D1,6,13,A,4,Duisburg_Leverkusen_2005
44,5,Hertha,24,0,1,0,0,0,0,4,27,D,10,2005-09-18,Schalke 04,D1,9,28,D,4,Schalke 04_Hertha_2005
45,0,Bielefeld,11,2,0,0,1,0,0,0,14,H,6,2005-09-20,Dortmund,D1,8,19,H,1,Dortmund_Bielefeld_2005
46,2,Bayern Munich,16,0,0,1,0,0,0,1,17,A,22,2005-09-20,Ein Frankfurt,D1,3,18,D,8,Ein Frankfurt_Bayern Munich_2005
47,2,Wolfsburg,20,2,0,4,1,0,4,1,11,A,13,2005-09-20,Hannover,D1,9,15,A,0,Hannover_Wolfsburg_2005
48,3,Werder Bremen,17,2,0,1,0,0,1,1,18,H,20,2005-09-20,M'gladbach,D1,7,15,A,6,M'gladbach_Werder Bremen_2005
49,2,Duisburg,12,3,0,2,1,0,1,4,24,H,15,2005-09-21,Hertha,D1,6,18,D,4,Hertha_Duisburg_2005
50,3,Mainz,27,0,0,2,0,1,1,1,24,A,14,2005-09-21,Kaiserslautern,D1,8,9,A,4,Kaiserslautern_Mainz_2005
51,3,FC Koln,27,2,1,1,1,1,0,2,26,H,17,2005-09-21,Leverkusen,D1,3,12,H,10,Leverkusen_FC Koln_2005
52,4,Schalke 04,21,1,1,1,1,0,0,5,19,D,15,2005-09-21,Nurnberg,D1,4,13,H,7,Nurnberg_Schalke 04_2005
53,3,Hamburg,13,1,0,2,0,0,1,0,17,A,16,2005-09-21,Stuttgart,D1,2,20,A,8,Stuttgart_Hamburg_2005
54,1,M'gladbach,16,0,0,2,0,0,1,1,9,A,11,2005-09-24,Bielefeld,D1,6,9,A,6,Bielefeld_M'gladbach_2005
55,4,Nurnberg,25,1,1,0,1,0,0,4,30,H,11,2005-09-24,Duisburg,D1,4,12,H,4,Duisburg_Nurnberg_2005
56,3,Bayern Munich,28,2,0,0,1,0,0,3,31,H,14,2005-09-24,Hamburg,D1,2,11,H,1,Hamburg_Bayern Munich_2005
57,3,Dortmund,22,1,0,1,0,0,0,2,11,D,15,2005-09-24,Mainz,D1,2,11,D,4,Mainz_Dortmund_2005
58,2,Hannover,16,2,0,0,0,0,0,2,17,H,8,2005-09-24,Schalke 04,D1,7,25,D,6,Schalke 04_Hannover_2005
59,1,Leverkusen,18,2,0,1,0,0,0,2,16,H,12,2005-09-24,Werder Bremen,D1,12,24,D,4,Werder Bremen_Leverkusen_2005
60,1,Ein Frankfurt,16,1,0,0,1,0,0,0,15,H,8,2005-09-24,Wolfsburg,D1,5,10,H,5,Wolfsburg_Ein Frankfurt_2005
61,1,Hertha,17,0,0,1,0,0,0,0,14,A,19,2005-09-25,FC Koln,D1,4,15,D,6,FC Koln_Hertha_2005
62,1,Kaiserslautern,15,1,0,0,1,0,0,1,16,H,14,2005-09-25,Stuttgart,D1,5,10,H,5,Stuttgart_Kaiserslautern_2005
63,0,Wolfsburg,10,2,0,0,0,0,0,2,19,H,9,2005-10-01,Bayern Munich,D1,4,18,D,4,Bayern Munich_Wolfsburg_2005
64,3,Schalke 04,17,0,0,1,0,0,0,1,14,A,10,2005-10-01,Ein Frankfurt,D1,3,8,D,8,Ein Frankfurt_Schalke 04_2005
65,2,Duisburg,16,1,0,1,1,0,1,1,21,D,6,2005-10-01,Hannover,D1,10,16,D,1,Hannover_Duisburg_2005
66,2,Werder Bremen,11,1,0,2,0,0,0,2,21,A,19,2005-10-01,Hertha,D1,4,11,D,4,Hertha_Werder Bremen_2005
67,1,Bielefeld,20,1,0,1,0,0,0,4,24,D,10,2005-10-01,Leverkusen,D1,7,20,D,6,Leverkusen_Bielefeld_2005
68,2,Mainz,20,1,0,0,1,0,0,3,14,H,21,2005-10-01,M'gladbach,D1,7,16,H,8,M'gladbach_Mainz_2005
69,2,FC Koln,19,2,0,1,1,0,0,4,24,H,5,2005-10-01,Nurnberg,D1,13,27,H,2,Nurnberg_FC Koln_2005
70,1,Stuttgart,16,0,1,0,0,0,0,1,19,D,12,2005-10-02,Dortmund,D1,4,18,D,5,Dortmund_Stuttgart_2005
71,2,Hamburg,13,0,0,3,0,1,1,1,19,A,17,2005-10-02,Kaiserslautern,D1,2,10,A,6,Kaiserslautern_Hamburg_2005
72,0,Hertha,23,3,0,0,2,0,0,1,18,H,18,2005-10-15,Bielefeld,D1,0,11,H,7,Bielefeld_Hertha_2005
73,2,Ein Frankfurt,18,0,0,1,0,0,1,0,17,A,21,2005-10-16,Duisburg,D1,3,16,A,5,Duisburg_Ein Frankfurt_2005
74,1,Hannover,18,1,0,4,0,0,0,3,14,A,13,2005-10-16,FC Koln,D1,4,14,D,3,FC Koln_Hannover_2005
75,3,Wolfsburg,19,0,1,1,0,1,1,4,25,A,16,2005-10-15,Hamburg,D1,6,15,A,2,Hamburg_Wolfsburg_2005
76,2,Dortmund,19,3,0,3,1,0,3,2,12,D,21,2005-10-15,Kaiserslautern,D1,7,16,A,5,Kaiserslautern_Dortmund_2005
77,0,Leverkusen,18,3,0,1,0,0,0,2,17,H,19,2005-10-15,Mainz,D1,5,21,D,7,Mainz_Leverkusen_2005
78,2,Bayern Munich,18,1,1,1,0,0,1,5,25,D,11,2005-10-15,Schalke 04,D1,5,18,A,2,Schalke 04_Bayern Munich_2005
79,2,M'gladbach,13,1,0,1,0,0,1,1,17,D,12,2005-10-15,Stuttgart,D1,3,17,A,6,Stuttgart_M'gladbach_2005
80,0,Nurnberg,27,6,0,2,3,0,1,0,34,H,16,2005-10-15,Werder Bremen,D1,3,14,H,5,Werder Bremen_Nurnberg_2005
81,0,Duisburg,11,4,0,0,2,0,0,1,18,H,10,2005-10-22,Bayern Munich,D1,3,16,H,1,Bayern Munich_Duisburg_2005
82,2,FC Koln,25,6,0,3,4,0,1,2,24,H,13,2005-10-22,Ein Frankfurt,D1,6,15,H,5,Ein Frankfurt_FC Koln_2005
83,1,Werder Bremen,13,0,1,0,0,0,0,3,16,D,14,2005-10-22,Hannover,D1,2,8,D,5,Hannover_Werder Bremen_2005
84,2,Mainz,20,3,0,1,2,0,0,1,15,H,32,2005-10-22,Hertha,D1,1,17,H,11,Hertha_Mainz_2005
85,2,Kaiserslautern,13,4,0,1,3,0,1,4,18,H,24,2005-10-22,M'gladbach,D1,4,12,H,8,M'gladbach_Kaiserslautern_2005
86,1,Bielefeld,15,2,0,3,1,0,1,3,20,A,8,2005-10-22,Nurnberg,D1,9,19,D,5,Nurnberg_Bielefeld_2005
87,2,Schalke 04,17,0,0,0,0,0,0,2,24,D,15,2005-10-22,Wolfsburg,D1,6,11,D,5,Wolfsburg_Schalke 04_2005
88,1,Hamburg,20,1,0,1,0,0,0,3,13,D,15,2005-10-23,Dortmund,D1,6,14,D,5,Dortmund_Hamburg_2005
89,3,Stuttgart,26,1,0,1,0,0,0,2,20,D,17,2005-10-23,Leverkusen,D1,11,23,D,5,Leverkusen_Stuttgart_2005
90,5,M'gladbach,18,2,0,1,1,0,0,3,16,H,16,2005-10-29,Dortmund,D1,4,12,H,7,Dortmund_M'gladbach_2005
91,2,Wolfsburg,26,1,0,0,0,0,0,1,35,H,9,2005-10-29,Duisburg,D1,6,18,D,1,Duisburg_Wolfsburg_2005
92,3,Bayern Munich,17,1,0,2,1,0,0,4,12,A,22,2005-10-29,FC Koln,D1,12,13,H,3,FC Koln_Bayern Munich_2005
93,2,Schalke 04,25,1,1,0,1,0,0,5,32,H,11,2005-10-29,Hamburg,D1,8,13,H,1,Hamburg_Schalke 04_2005
94,1,Leverkusen,16,2,0,2,1,0,1,2,17,D,20,2005-10-29,Kaiserslautern,D1,6,13,D,5,Kaiserslautern_Leverkusen_2005
95,2,Hertha,15,3,0,3,0,0,1,2,11,D,12,2005-10-29,Stuttgart,D1,7,18,A,8,Stuttgart_Hertha_2005
96,1,Ein Frankfurt,19,4,0,1,1,0,1,1,23,H,6,2005-10-29,Werder Bremen,D1,11,22,D,6,Werder Bremen_Ein Frankfurt_2005
97,1,Hannover,15,4,0,1,1,0,0,2,15,H,12,2005-10-30,Bielefeld,D1,2,14,H,4,Bielefeld_Hannover_2005
98,3,Nurnberg,23,4,0,1,3,0,1,3,21,H,15,2005-10-30,Mainz,D1,1,9,H,7,Mainz_Nurnberg_2005
99,0,Werder Bremen,12,3,0,1,3,0,1,0,19,H,16,2005-11-05,Bayern Munich,D1,7,16,H,9,Bayern Munich_Werder Bremen_2005
100,2,Bielefeld,24,3,0,0,1,0,0,2,22,H,4,2005-11-05,Ein Frankfurt,D1,9,14,H,3,Ein Frankfurt_Bielefeld_2005
101,1,Mainz,27,2,0,2,0,0,1,1,16,D,10,2005-11-05,Hannover,D1,5,18,A,3,Hannover_Mainz_2005
102,2,Kaiserslautern,22,3,0,0,1,0,0,2,19,H,10,2005-11-05,Hertha,D1,8,8,H,3,Hertha_Kaiserslautern_2005
103,2,Dortmund,9,2,0,1,1,0,0,1,20,H,9,2005-11-05,Leverkusen,D1,8,20,H,3,Leverkusen_Dortmund_2005
104,1,Duisburg,13,3,0,0,1,0,0,4,21,H,9,2005-11-05,Schalke 04,D1,7,18,H,6,Schalke 04_Duisburg_2005
105,3,FC Koln,18,1,0,1,1,1,0,1,22,D,14,2005-11-05,Wolfsburg,D1,4,16,H,4,Wolfsburg_FC Koln_2005
106,2,Hamburg,22,0,0,0,0,0,0,1,23,D,10,2005-11-06,M'gladbach,D1,4,19,D,4,M'gladbach_Hamburg_2005
107,3,Stuttgart,31,0,0,1,0,0,1,2,19,A,9,2005-11-06,Nurnberg,D1,6,14,A,3,Nurnberg_Stuttgart_2005
108,1,Bayern Munich,20,1,0,2,0,0,0,1,21,A,12,2005-11-19,Bielefeld,D1,5,12,D,3,Bielefeld_Bayern Munich_2005
109,1,Hertha,20,2,0,0,2,0,0,4,20,H,13,2005-11-19,Dortmund,D1,6,12,H,8,Dortmund_Hertha_2005
110,4,Schalke 04,19,2,0,2,0,0,1,3,19,D,18,2005-11-19,FC Koln,D1,7,19,A,11,FC Koln_Schalke 04_2005
111,1,Nurnberg,29,1,0,3,1,0,1,2,22,A,12,2005-11-19,Kaiserslautern,D1,5,10,D,3,Kaiserslautern_Nurnberg_2005
112,2,Ein Frankfurt,11,2,0,2,0,0,2,0,20,D,7,2005-11-19,Mainz,D1,10,21,A,6,Mainz_Ein Frankfurt_2005
113,2,Leverkusen,20,1,0,1,1,0,1,2,22,D,19,2005-11-19,M'gladbach,D1,6,15,D,4,M'gladbach_Leverkusen_2005
114,1,Wolfsburg,18,6,0,1,2,0,0,2,11,H,15,2005-11-19,Werder Bremen,D1,4,25,H,9,Werder Bremen_Wolfsburg_2005
115,3,Duisburg,13,2,0,0,2,0,0,3,28,H,7,2005-11-20,Hamburg,D1,7,22,H,3,Hamburg_Duisburg_2005
116,0,Hannover,9,2,0,2,1,0,0,3,19,D,12,2005-11-20,Stuttgart,D1,4,9,H,7,Stuttgart_Hannover_2005
117,3,Mainz,13,2,0,1,1,0,1,2,11,H,17,2005-11-26,Bayern Munich,D1,7,14,D,8,Bayern Munich_Mainz_2005
118,1,Kaiserslautern,20,5,0,1,2,0,0,1,25,H,7,2005-11-26,Hannover,D1,9,18,H,1,Hannover_Kaiserslautern_2005
119,3,Hamburg,10,0,0,1,0,0,0,2,19,A,16,2005-11-26,Leverkusen,D1,5,18,D,6,Leverkusen_Hamburg_2005
120,1,Dortmund,15,1,0,2,0,0,2,1,15,A,16,2005-11-26,Nurnberg,D1,7,23,A,5,Nurnberg_Dortmund_2005
121,2,Werder Bremen,24,2,1,1,1,0,0,5,32,H,11,2005-11-26,Schalke 04,D1,0,14,H,6,Schalke 04_Werder Bremen_2005
122,5,Bielefeld,27,0,0,0,0,0,0,1,12,D,16,2005-11-26,Wolfsburg,D1,3,5,D,9,Wolfsburg_Bielefeld_2005
123,2,Stuttgart,13,1,0,1,1,0,0,1,12,D,9,2005-11-27,Ein Frankfurt,D1,9,11,H,4,Ein Frankfurt_Stuttgart_2005
124,2,M'gladbach,18,2,0,2,0,0,2,2,28,D,11,2005-11-27,Hertha,D1,5,27,A,4,Hertha_M'gladbach_2005
125,4,Schalke 04,18,0,0,1,0,0,0,2,18,A,18,2005-12-03,Bielefeld,D1,4,12,D,7,Bielefeld_Schalke 04_2005
126,1,Hannover,10,0,0,2,0,0,1,3,24,A,8,2005-12-03,Dortmund,D1,5,22,A,3,Dortmund_Hannover_2005
127,1,FC Koln,17,3,0,1,1,0,0,1,20,H,7,2005-12-03,Hamburg,D1,6,10,H,2,Hamburg_FC Koln_2005
128,2,Nurnberg,16,0,1,1,0,0,0,2,22,A,15,2005-12-03,M'gladbach,D1,7,16,D,7,M'gladbach_Nurnberg_2005
129,3,Bayern Munich,12,0,1,0,0,0,0,3,18,D,10,2005-12-03,Stuttgart,D1,7,16,D,2,Stuttgart_Bayern Munich_2005
130,1,Duisburg,19,2,0,0,0,0,0,1,25,H,16,2005-12-03,Werder Bremen,D1,3,20,D,7,Werder Bremen_Duisburg_2005
131,2,Hertha,21,1,0,2,1,0,0,1,16,A,15,2005-12-04,Leverkusen,D1,7,19,H,6,Leverkusen_Hertha_2005
132,1,Wolfsburg,25,5,1,1,3,0,1,6,27,H,10,2005-12-04,Mainz,D1,4,23,H,1,Mainz_Wolfsburg_2005
133,4,FC Koln,23,1,1,1,1,0,1,4,30,D,18,2005-12-06,Duisburg,D1,6,20,D,3,Duisburg_FC Koln_2005
134,4,Bielefeld,20,1,0,1,1,1,0,2,22,D,23,2005-12-10,Duisburg,D1,0,14,H,3,Duisburg_Bielefeld_2005
135,2,Dortmund,13,2,1,0,1,0,0,3,24,H,16,2005-12-10,Ein Frankfurt,D1,7,18,H,8,Ein Frankfurt_Dortmund_2005
136,3,Hertha,21,2,1,1,2,0,0,4,19,H,15,2005-12-10,Hamburg,D1,6,14,H,1,Hamburg_Hertha_2005
137,0,M'gladbach,17,1,0,1,0,0,0,5,22,D,16,2005-12-10,Hannover,D1,4,18,D,2,Hannover_M'gladbach_2005
138,2,Leverkusen,22,1,0,1,1,0,1,3,21,D,16,2005-12-10,Nurnberg,D1,3,15,D,6,Nurnberg_Leverkusen_2005
139,1,Mainz,11,1,0,0,0,0,0,2,20,H,7,2005-12-10,Schalke 04,D1,5,15,D,2,Schalke 04_Mainz_2005
140,1,Stuttgart,17,0,0,1,0,0,0,2,15,A,9,2005-12-10,Wolfsburg,D1,5,12,D,1,Wolfsburg_Stuttgart_2005
141,3,Kaiserslautern,14,2,0,1,1,0,1,0,18,H,9,2005-12-11,Bayern Munich,D1,10,20,D,1,Bayern Munich_Kaiserslautern_2005
142,1,Werder Bremen,17,1,0,4,1,0,1,3,14,A,21,2005-12-11,FC Koln,D1,4,12,D,3,FC Koln_Werder Bremen_2005
143,3,Ein Frankfurt,24,1,0,2,0,0,0,2,26,A,6,2005-12-14,Kaiserslautern,D1,3,12,D,2,Kaiserslautern_Ein Frankfurt_2005
144,0,FC Koln,20,3,0,2,0,0,1,4,24,H,7,2005-12-17,Bielefeld,D1,9,15,A,2,Bielefeld_FC Koln_2005
145,1,Bayern Munich,18,1,0,2,0,1,0,2,18,A,12,2005-12-17,Dortmund,D1,5,12,D,3,Dortmund_Bayern Munich_2005
146,2,Wolfsburg,24,3,0,2,1,0,0,4,27,H,14,2005-12-17,Kaiserslautern,D1,7,21,H,5,Kaiserslautern_Wolfsburg_2005
147,3,Hannover,13,0,0,0,0,0,0,1,18,D,11,2005-12-17,Leverkusen,D1,5,19,D,5,Leverkusen_Hannover_2005
148,2,Duisburg,27,1,0,1,1,0,0,3,22,D,10,2005-12-17,Mainz,D1,2,14,H,1,Mainz_Duisburg_2005
149,2,Ein Frankfurt,20,4,0,3,1,0,2,1,20,H,14,2005-12-17,M'gladbach,D1,6,19,A,4,M'gladbach_Ein Frankfurt_2005
150,4,Schalke 04,18,2,1,0,0,0,0,5,23,H,15,2005-12-17,Stuttgart,D1,2,14,D,4,Stuttgart_Schalke 04_2005
151,1,Nurnberg,18,1,0,1,0,0,0,2,23,D,7,2005-12-18,Hertha,D1,10,20,D,4,Hertha_Nurnberg_2005
152,5,Hamburg,27,1,0,1,1,0,0,3,27,D,12,2005-12-18,Werder Bremen,D1,6,20,H,6,Werder Bremen_Hamburg_2005
153,1,Bayern Munich,16,1,0,3,0,0,1,1,24,A,14,2006-01-27,M'gladbach,D1,2,8,A,6,M'gladbach_Bayern Munich_2005
154,2,Wolfsburg,17,3,0,2,2,0,1,3,22,H,12,2006-01-28,Dortmund,D1,4,16,H,1,Dortmund_Wolfsburg_2005
155,1,Hannover,15,1,1,1,0,0,1,4,18,D,7,2006-01-28,Hertha,D1,6,20,A,1,Hertha_Hannover_2005
156,2,Ein Frankfurt,19,2,0,1,0,0,1,2,22,H,10,2006-01-28,Leverkusen,D1,6,19,A,5,Leverkusen_Ein Frankfurt_2005
157,2,FC Koln,17,4,0,2,1,0,1,0,22,H,7,2006-01-28,Mainz,D1,10,30,D,1,Mainz_FC Koln_2005
158,2,Hamburg,19,2,0,1,0,0,0,3,19,H,11,2006-01-28,Nurnberg,D1,3,19,D,2,Nurnberg_Hamburg_2005
159,2,Duisburg,21,0,0,1,0,0,1,5,25,A,8,2006-01-28,Stuttgart,D1,12,18,A,3,Stuttgart_Duisburg_2005
160,1,Werder Bremen,26,0,0,1,0,0,0,3,30,A,10,2006-01-29,Bielefeld,D1,1,11,D,2,Bielefeld_Werder Bremen_2005
161,2,Schalke 04,31,0,0,2,0,0,1,3,23,A,17,2006-01-29,Kaiserslautern,D1,4,12,A,5,Kaiserslautern_Schalke 04_2005
162,2,Leverkusen,19,1,0,0,1,0,0,4,22,H,9,2006-02-04,Bayern Munich,D1,6,16,H,3,Bayern Munich_Leverkusen_2005
163,3,Kaiserslautern,24,2,0,2,1,0,0,3,22,D,23,2006-02-04,Duisburg,D1,2,10,H,9,Duisburg_Kaiserslautern_2005
164,3,Hertha,17,1,1,1,0,0,1,4,26,D,12,2006-02-04,Ein Frankfurt,D1,12,27,A,4,Ein Frankfurt_Hertha_2005
165,1,Stuttgart,20,0,0,0,0,0,0,2,19,D,11,2006-02-04,FC Koln,D1,4,15,D,4,FC Koln_Stuttgart_2005
166,5,Bielefeld,22,2,0,1,0,0,1,1,14,H,15,2006-02-04,Hamburg,D1,4,9,A,4,Hamburg_Bielefeld_2005
167,2,Dortmund,11,0,0,0,0,0,0,3,16,D,7,2006-02-04,Schalke 04,D1,8,19,D,3,Schalke 04_Dortmund_2005
168,3,Mainz,22,4,0,2,3,0,2,3,18,H,11,2006-02-04,Werder Bremen,D1,11,20,H,2,Werder Bremen_Mainz_2005
169,0,Nurnberg,16,1,0,1,0,0,0,2,20,D,18,2006-02-05,Hannover,D1,2,11,D,2,Hannover_Nurnberg_2005
170,4,M'gladbach,20,2,0,0,1,0,0,2,24,H,9,2006-02-05,Wolfsburg,D1,6,19,H,3,Wolfsburg_M'gladbach_2005
171,0,Duisburg,11,2,1,0,0,0,0,2,20,H,10,2006-02-07,Dortmund,D1,6,14,D,4,Dortmund_Duisburg_2005
172,1,Bayern Munich,18,0,0,0,0,0,0,1,22,D,14,2006-02-07,Hertha,D1,8,17,D,4,Hertha_Bayern Munich_2005
173,2,FC Koln,21,2,0,2,1,0,1,3,31,D,9,2006-02-07,Kaiserslautern,D1,6,21,D,3,Kaiserslautern_FC Koln_2005
174,3,Bielefeld,20,1,0,1,0,0,0,1,18,D,11,2006-02-07,Mainz,D1,0,9,D,6,Mainz_Bielefeld_2005
175,0,Hamburg,16,2,0,1,0,0,0,2,17,H,17,2006-02-08,Hannover,D1,1,12,D,10,Hannover_Hamburg_2005
176,0,Wolfsburg,17,4,0,0,1,0,0,0,17,H,7,2006-02-08,Leverkusen,D1,8,20,H,3,Leverkusen_Wolfsburg_2005
177,3,Schalke 04,25,0,0,0,0,0,0,2,20,D,9,2006-02-08,M'gladbach,D1,8,10,D,6,M'gladbach_Schalke 04_2005
178,4,Ein Frankfurt,15,0,0,1,0,0,1,3,23,A,10,2006-02-08,Nurnberg,D1,8,14,A,9,Nurnberg_Ein Frankfurt_2005
179,3,Werder Bremen,20,0,0,0,0,0,0,2,30,D,19,2006-02-08,Stuttgart,D1,2,4,D,5,Stuttgart_Werder Bremen_2005
180,1,Stuttgart,18,2,0,1,1,0,1,4,25,H,6,2006-02-11,Bielefeld,D1,4,8,D,1,Bielefeld_Stuttgart_2005
181,3,M'gladbach,21,1,1,1,1,0,1,3,22,D,10,2006-02-11,Duisburg,D1,6,12,D,3,Duisburg_M'gladbach_2005
182,2,Hannover,20,0,0,1,0,0,0,0,20,A,7,2006-02-11,Ein Frankfurt,D1,13,14,D,5,Ein Frankfurt_Hannover_2005
183,1,Mainz,25,1,0,0,1,0,0,2,25,H,8,2006-02-11,Hamburg,D1,6,7,H,2,Hamburg_Mainz_2005
184,2,Leverkusen,21,7,0,4,3,0,1,0,24,H,17,2006-02-11,Schalke 04,D1,2,17,H,5,Schalke 04_Leverkusen_2005
