,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
49,14:30:00,1,Bayern Munich,7,0,2,3,0,0,1,1,6,A,18,2019-09-28,Paderborn,D1,6,5,11,10,A,5,Paderborn_Bayern Munich_2019
50,14:30:00,1,Schalke 04,13,0,1,3,0,0,2,1,11,A,13,2019-09-28,RB Leipzig,D1,8,6,8,17,A,4,RB Leipzig_Schalke 04_2019
51,17:30:00,1,Werder Bremen,8,0,2,2,2,0,1,0,10,D,11,2019-09-28,Dortmund,D1,5,7,9,19,H,2,Dortmund_Werder Bremen_2019
52,14:30:00,2,Freiburg,9,0,1,2,1,0,1,2,9,A,9,2019-09-29,Fortuna Dusseldorf,D1,3,7,5,17,D,1,Fortuna Dusseldorf_Freiburg_2019
53,17:00:00,1,Hertha,11,0,0,4,0,1,1,0,13,A,10,2019-09-29,FC Koln,D1,6,3,8,8,A,4,FC Koln_Hertha_2019
54,19:30:00,3,Fortuna Dusseldorf,17,0,3,1,2,0,1,3,18,H,9,2019-10-04,Hertha,D1,3,3,9,16,H,2,Hertha_Fortuna Dusseldorf_2019
55,14:30:00,2,Hoffenheim,8,0,1,2,0,0,0,0,12,A,8,2019-10-05,Bayern Munich,D1,5,4,9,20,D,3,Bayern Munich_Hoffenheim_2019
56,14:30:00,0,Dortmund,10,0,2,2,0,0,1,3,8,D,8,2019-10-05,Freiburg,D1,4,1,3,6,A,11,Freiburg_Dortmund_2019
57,14:30:00,2,RB Leipzig,11,0,1,1,0,0,0,2,12,D,11,2019-10-05,Leverkusen,D1,5,8,4,11,D,0,Leverkusen_RB Leipzig_2019
58,14:30:00,1,Mainz,8,0,1,2,1,0,2,4,18,A,18,2019-10-05,Paderborn,D1,7,7,7,16,A,10,Paderborn_Mainz_2019
59,17:30:00,4,FC Koln,15,0,1,1,0,0,0,4,15,D,9,2019-10-05,Schalke 04,D1,5,3,6,15,D,4,Schalke 04_FC Koln_2019
60,12:30:00,1,Augsburg,9,0,5,1,4,0,0,2,9,H,13,2019-10-06,M'gladbach,D1,3,9,2,13,H,7,M'gladbach_Augsburg_2019
61,14:30:00,2,Union Berlin,17,0,1,0,0,0,0,2,15,H,14,2019-10-06,Wolfsburg,D1,3,4,5,13,D,4,Wolfsburg_Union Berlin_2019
62,17:00:00,2,Werder Bremen,12,0,2,2,0,0,1,1,8,D,11,2019-10-06,Ein Frankfurt,D1,5,7,10,24,A,1,Ein Frankfurt_Werder Bremen_2019
63,19:30:00,1,Leverkusen,11,0,3,0,2,0,0,1,12,H,19,2019-10-18,Ein Frankfurt,D1,10,5,4,10,H,1,Ein Frankfurt_Leverkusen_2019
64,14:30:00,3,Bayern Munich,10,0,2,2,1,0,1,3,6,D,24,2019-10-19,Augsburg,D1,9,7,3,9,D,7,Augsburg_Bayern Munich_2019
65,14:30:00,2,Mainz,10,1,1,0,0,0,0,4,17,H,7,2019-10-19,Fortuna Dusseldorf,D1,1,4,8,20,D,1,Fortuna Dusseldorf_Mainz_2019
66,14:30:00,1,Wolfsburg,10,0,1,1,0,0,0,3,9,D,14,2019-10-19,RB Leipzig,D1,6,5,3,13,D,3,RB Leipzig_Wolfsburg_2019
67,14:30:00,3,Freiburg,21,0,2,0,1,0,0,0,13,H,12,2019-10-19,Union Berlin,D1,4,5,3,18,H,4,Union Berlin_Freiburg_2019
68,14:30:00,1,Hertha,8,0,1,1,1,0,0,1,11,D,11,2019-10-19,Werder Bremen,D1,2,5,7,15,H,5,Werder Bremen_Hertha_2019
69,17:30:00,1,M'gladbach,13,0,1,0,0,0,0,2,15,H,13,2019-10-19,Dortmund,D1,3,7,10,20,D,8,Dortmund_M'gladbach_2019
