,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
207,3.3,1.75,4.33,-0.75,1.73,4.5,3.5,-0.75,4.5,4.5,1.73,4.5,3.4,1.66,2.0,1.92,1.66,4.4,1.92,1.7,1.8,4.0,1.65,1.75,3.4,2.0,1.9,2.15,-1.0,1.6,3.2,3.2,3.5,2.15,Bayern Munich,Werder Bremen,Bayern Munich_Werder Bremen_2004
208,3.25,3.2,1.91,0.5,3.4,2.0,3.25,0.5,1.95,1.9,3.4,2.05,3.25,3.5,2.2,1.98,3.3,1.95,1.86,3.5,1.65,2.0,3.65,3.45,3.25,1.875,2.025,2.05,1.5,1.65,3.1,3.25,3.35,1.17,Bochum,Schalke 04,Bochum_Schalke 04_2004
209,3.3,2.1,2.8,-0.25,2.25,2.88,3.3,-0.25,2.87,2.75,2.2,3.15,3.25,2.25,2.2,1.92,2.1,2.9,1.92,2.2,1.65,3.1,2.3,2.2,3.25,1.95,1.95,2.25,0.0,1.55,3.0,3.2,3.25,1.55,Hamburg,Leverkusen,Hamburg_Leverkusen_2004
210,3.3,1.6,4.5,-0.75,1.62,5.0,3.9,-0.75,5.0,4.5,1.62,5.25,3.4,1.66,2.1,1.96,1.61,5.0,1.88,1.55,1.7,4.6,1.7,1.65,3.5,1.85,2.05,2.05,-1.0,1.65,3.4,3.5,3.55,2.05,Hannover,Hansa Rostock,Hannover_Hansa Rostock_2004
211,3.3,1.8,3.4,-0.5,1.91,3.75,3.4,-0.5,3.1,3.5,1.91,3.9,3.25,1.9,2.1,1.96,2.0,4.0,1.88,1.8,1.7,3.8,2.15,1.9,3.2,1.975,1.925,1.9,-0.25,1.79,3.1,3.25,3.35,1.65,Mainz,Freiburg,Mainz_Freiburg_2004
212,3.3,2.1,3.2,-0.5,2.0,3.4,3.2,-0.5,3.0,3.5,2.0,3.35,3.25,1.9,2.0,1.86,2.05,3.3,1.98,2.05,1.8,3.1,2.0,2.1,3.25,2.05,1.85,2.05,-0.25,1.65,3.0,3.2,3.25,1.75,M'gladbach,Wolfsburg,M'gladbach_Wolfsburg_2004
213,3.6,1.5,5.5,-1.0,1.53,6.0,4.2,-1.0,5.5,6.0,1.53,6.0,3.5,1.5,2.0,1.98,1.5,5.7,1.86,1.45,1.8,5.0,1.8,1.55,3.6,1.85,2.05,2.0,-1.25,1.71,3.7,3.5,3.75,1.95,Stuttgart,Bielefeld,Stuttgart_Bielefeld_2004
214,3.3,1.7,4.33,-0.75,1.67,4.75,3.7,-0.75,4.33,4.5,1.67,4.9,3.4,1.66,2.1,2.02,1.7,4.9,1.82,1.6,1.7,4.2,1.7,1.67,3.5,1.825,2.075,2.05,-1.0,1.65,3.2,3.4,3.6,2.05,Hertha,Kaiserslautern,Hertha_Kaiserslautern_2004
215,3.25,2.5,2.5,0.0,2.6,2.6,3.3,0.0,2.4,2.37,2.5,2.6,3.2,2.62,2.0,1.98,2.5,2.5,1.86,2.5,1.8,2.5,1.6,2.55,3.2,1.9,2.0,2.0,-0.25,1.71,3.0,3.2,3.3,2.2,Nurnberg,Dortmund,Nurnberg_Dortmund_2004
216,3.1,2.5,2.5,0.0,2.5,2.6,3.3,0.0,2.62,2.6,2.5,2.55,3.2,2.4,2.0,1.82,2.37,2.5,2.02,2.5,1.8,2.5,1.82,2.62,3.2,2.0,1.9,1.71,0.0,2.0,3.0,3.2,3.25,1.9,Bielefeld,Hamburg,Bielefeld_Hamburg_2004
