,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
120,1,Norwich,4,1,0,0,0,C Pawson,0,0,4,12,H,4,2015-11-21,Chelsea,E0,2,7,6,21,D,5,Chelsea_Norwich_2015
121,0,Aston Villa,6,4,0,0,3,M Oliver,0,0,0,9,H,10,2015-11-21,Everton,E0,3,9,2,16,H,3,Everton_Aston Villa_2015
122,0,Liverpool,5,1,0,4,1,J Moss,0,3,3,13,A,14,2015-11-21,Man City,E0,9,3,11,11,A,5,Man City_Liverpool_2015
123,4,Leicester,9,0,0,3,0,M Jones,0,1,1,12,A,18,2015-11-21,Newcastle,E0,7,1,4,9,A,9,Newcastle_Leicester_2015
124,2,Stoke,8,0,0,1,0,L Mason,0,1,0,8,A,16,2015-11-21,Southampton,E0,4,1,7,16,A,3,Southampton_Stoke_2015
125,3,Bournemouth,7,2,0,2,2,A Marriner,0,2,2,9,D,16,2015-11-21,Swansea,E0,4,4,4,11,D,5,Swansea_Bournemouth_2015
126,1,Man United,6,1,0,2,0,R Madley,0,1,2,12,A,13,2015-11-21,Watford,E0,6,5,4,10,A,10,Watford_Man United_2015
127,3,Arsenal,14,2,0,1,2,M Clattenburg,0,1,2,10,H,11,2015-11-21,West Brom,E0,3,1,3,4,H,5,West Brom_Arsenal_2015
128,2,West Ham,13,4,0,1,2,A Taylor,0,0,2,9,H,10,2015-11-22,Tottenham,E0,4,12,7,22,H,6,Tottenham_West Ham_2015
129,1,Sunderland,18,0,0,1,0,M Atkinson,0,0,3,11,A,12,2015-11-23,Crystal Palace,E0,4,7,11,19,D,2,Crystal Palace_Sunderland_2015
130,2,Watford,6,2,0,3,1,L Mason,0,1,3,13,A,14,2015-11-28,Aston Villa,E0,6,6,10,12,D,10,Aston Villa_Watford_2015
131,2,Everton,6,3,0,3,0,K Friend,0,2,0,6,D,11,2015-11-28,Bournemouth,E0,6,10,10,19,A,5,Bournemouth_Everton_2015
132,1,Newcastle,7,5,0,1,3,S Attwell,0,1,1,13,H,7,2015-11-28,Crystal Palace,E0,2,8,7,19,H,5,Crystal Palace_Newcastle_2015
133,0,Man United,5,1,0,1,1,C Pawson,0,1,1,7,D,10,2015-11-28,Leicester,E0,2,3,1,7,D,8,Leicester_Man United_2015
134,2,Southampton,14,3,0,1,2,R East,0,0,1,11,H,12,2015-11-28,Man City,E0,8,9,6,16,H,4,Man City_Southampton_2015
135,0,Stoke,4,2,1,0,0,M Dean,0,0,2,10,H,7,2015-11-28,Sunderland,E0,3,5,9,18,D,5,Sunderland_Stoke_2015
136,3,Swansea,12,1,0,0,0,A Taylor,0,0,1,6,H,8,2015-11-29,Liverpool,E0,0,2,8,10,D,7,Liverpool_Swansea_2015
137,1,Arsenal,8,1,0,1,1,J Moss,0,1,1,6,D,12,2015-11-29,Norwich,E0,3,2,3,7,D,6,Norwich_Arsenal_2015
138,4,Chelsea,14,0,0,0,0,M Oliver,0,0,2,9,D,5,2015-11-29,Tottenham,E0,1,4,4,9,D,4,Tottenham_Chelsea_2015
139,0,West Brom,15,1,0,1,1,M Atkinson,0,0,2,16,D,7,2015-11-29,West Ham,E0,3,6,5,17,H,2,West Ham_West Brom_2015
140,1,Sunderland,7,3,0,1,1,R Madley,0,1,1,11,H,11,2015-12-05,Arsenal,E0,4,7,3,16,D,2,Arsenal_Sunderland_2015
141,2,Bournemouth,10,0,0,1,0,M Jones,0,0,1,13,A,15,2015-12-05,Chelsea,E0,5,6,11,19,D,4,Chelsea_Bournemouth_2015
142,1,West Ham,9,0,0,0,0,M Clattenburg,0,0,0,13,D,9,2015-12-05,Man United,E0,2,1,6,21,D,2,Man United_West Ham_2015
143,1,Aston Villa,4,1,0,1,0,A Taylor,0,1,2,9,D,9,2015-12-05,Southampton,E0,2,5,10,23,A,4,Southampton_Aston Villa_2015
144,0,Man City,9,2,0,0,2,M Atkinson,0,0,1,10,H,11,2015-12-05,Stoke,E0,4,4,1,7,H,6,Stoke_Man City_2015
145,2,Leicester,3,0,0,3,0,M Oliver,0,2,3,19,A,16,2015-12-05,Swansea,E0,5,2,3,10,A,8,Swansea_Leicester_2015
146,3,Norwich,11,2,0,0,1,M Dean,0,0,3,10,H,6,2015-12-05,Watford,E0,1,7,4,14,H,1,Watford_Norwich_2015
147,3,Tottenham,13,1,0,1,1,J Moss,0,1,2,10,D,9,2015-12-05,West Brom,E0,3,4,3,11,D,6,West Brom_Tottenham_2015
148,3,Liverpool,6,2,0,0,0,A Marriner,0,0,1,10,H,10,2015-12-06,Newcastle,E0,1,1,2,6,D,7,Newcastle_Liverpool_2015
149,1,Crystal Palace,4,1,0,1,0,C Pawson,0,0,2,11,D,14,2015-12-07,Everton,E0,5,4,13,19,D,6,Everton_Crystal Palace_2015
150,2,Man United,12,2,0,1,1,A Taylor,0,1,1,12,H,11,2015-12-12,Bournemouth,E0,5,5,5,11,D,7,Bournemouth_Man United_2015
151,0,Southampton,11,1,0,0,1,M Dean,0,0,0,13,H,15,2015-12-12,Crystal Palace,E0,3,5,8,12,H,5,Crystal Palace_Southampton_2015
152,3,Swansea,13,2,0,1,1,R Madley,0,0,1,15,H,13,2015-12-12,Man City,E0,7,5,5,13,H,5,Man City_Swansea_2015
153,1,Everton,9,1,0,1,0,M Atkinson,0,1,0,6,D,15,2015-12-12,Norwich,E0,3,2,5,9,A,4,Norwich_Everton_2015
154,1,Watford,6,0,0,1,0,G Scott,0,1,0,9,A,13,2015-12-12,Sunderland,E0,6,2,8,14,A,3,Sunderland_Watford_2015
155,1,Stoke,7,0,0,0,0,A Marriner,0,0,2,9,D,12,2015-12-12,West Ham,E0,3,9,11,22,D,7,West Ham_Stoke_2015
156,0,Arsenal,8,0,0,2,0,K Friend,0,2,0,7,A,8,2015-12-13,Aston Villa,E0,4,2,5,18,A,5,Aston Villa_Arsenal_2015
157,0,West Brom,7,2,0,2,1,C Pawson,0,1,0,10,D,4,2015-12-13,Liverpool,E0,2,8,4,28,D,4,Liverpool_West Brom_2015
158,2,Newcastle,13,1,0,2,1,R East,0,0,2,14,A,8,2015-12-13,Tottenham,E0,4,8,6,20,H,2,Tottenham_Newcastle_2015
