,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
198,3.5,1.65,5.0,-1.0,1.53,6.5,3.7,-1.0,5.5,6.5,1.57,6.75,3.5,1.57,1.95,1.98,1.53,6.75,1.86,1.45,1.85,4.4,2.0,1.55,3.6,1.85,2.05,1.79,-1.0,1.9,3.3,3.5,3.5,1.8,Tottenham,Crystal Palace,Tottenham_Crystal Palace_2004
199,3.3,3.5,1.83,0.5,3.75,1.91,3.2,0.5,1.8,1.9,3.5,1.9,3.5,3.75,2.0,1.88,3.75,1.8,1.96,4.3,1.8,1.9,1.9,4.0,3.4,1.95,1.95,1.79,0.5,1.9,3.1,3.4,3.3,1.81,Newcastle,Arsenal,Newcastle_Arsenal_2004
200,3.3,2.0,4.0,-0.5,1.8,4.5,3.2,-0.5,3.75,4.33,1.8,4.33,3.1,1.9,1.61,1.86,1.8,4.6,1.98,1.75,2.2,3.2,1.9,1.8,3.3,2.025,1.875,2.05,-0.5,1.65,3.1,3.2,3.4,1.8,Aston Villa,Blackburn,Aston Villa_Blackburn_2004
201,3.3,1.7,4.33,-0.75,1.67,5.5,3.5,-1.0,5.0,5.5,1.73,5.25,3.4,1.66,1.75,1.82,1.61,5.75,2.02,1.55,2.05,4.2,2.0,1.65,3.4,1.8,2.1,1.9,-0.75,1.79,3.2,3.2,3.5,1.8,Bolton,West Brom,Bolton_West Brom_2004
202,3.3,4.6,1.5,1.0,6.0,1.57,3.7,1.0,1.57,1.61,6.0,1.6,3.4,6.0,1.95,2.08,5.5,1.45,1.76,7.0,1.85,1.6,2.0,6.0,3.6,1.8,2.1,1.75,1.0,1.95,3.4,3.4,3.5,1.8,Charlton,Arsenal,Charlton_Arsenal_2004
203,3.2,1.9,3.5,-0.5,1.91,4.0,3.2,-0.5,3.5,3.75,1.91,4.0,3.2,2.0,1.75,1.88,1.9,4.0,1.96,1.85,2.05,3.5,1.81,1.9,3.25,2.0,1.9,1.95,-0.5,1.75,3.1,3.2,3.3,1.9,Fulham,Crystal Palace,Fulham_Crystal Palace_2004
204,3.2,2.9,2.25,0.25,3.1,2.2,3.1,0.25,2.2,2.25,2.75,2.3,3.2,3.1,1.66,2.0,2.8,2.2,1.84,3.1,2.15,2.2,1.95,2.95,3.25,1.875,2.025,2.15,0.25,1.6,3.0,3.2,3.25,1.85,Liverpool,Chelsea,Liverpool_Chelsea_2004
205,3.3,1.7,4.5,-0.75,1.73,4.75,3.25,-0.75,4.33,5.0,1.67,4.8,3.4,1.72,1.75,1.84,1.7,4.5,2.0,1.75,2.05,4.2,1.85,1.73,3.4,2.05,1.85,2.0,-0.75,1.71,3.2,3.25,3.4,1.95,Man City,Southampton,Man City_Southampton_2004
206,3.2,2.9,2.0,0.5,3.4,2.1,3.2,0.5,2.1,2.1,3.2,2.1,3.2,3.5,1.75,2.06,3.0,1.95,1.78,3.6,2.05,2.2,1.8,3.4,3.25,1.8,2.1,2.0,0.25,1.71,3.0,3.2,3.25,1.9,Middlesbrough,Man United,Middlesbrough_Man United_2004
207,3.2,1.9,3.75,-0.5,1.85,4.0,3.2,-0.5,3.5,4.33,1.83,4.0,3.1,1.9,1.85,1.9,1.9,4.3,1.94,1.8,1.95,3.5,1.84,1.87,3.4,2.025,1.875,1.95,-0.5,1.75,3.1,3.2,3.4,1.87,Newcastle,Birmingham,Newcastle_Birmingham_2004
208,3.3,1.65,5.0,-0.75,1.7,5.0,3.4,-0.75,4.33,5.5,1.62,5.5,3.4,1.66,1.8,2.02,1.7,5.5,1.82,1.6,2.0,4.4,2.0,1.68,3.4,1.85,2.05,1.95,-0.75,1.75,3.3,3.25,3.3,1.8,Portsmouth,Norwich,Portsmouth_Norwich_2004
209,3.2,2.1,2.8,-0.25,2.3,3.0,3.1,-0.25,2.75,3.1,2.2,3.05,3.2,2.25,1.7,1.9,2.25,2.9,1.94,2.3,2.1,3.1,1.9,2.25,3.2,1.95,1.95,2.05,-0.25,1.65,3.0,3.2,3.25,1.9,Tottenham,Everton,Tottenham_Everton_2004
210,3.2,2.1,2.75,-0.25,2.38,2.88,3.0,-0.25,2.62,2.7,2.25,2.9,3.2,2.3,,1.94,2.3,3.1,1.9,2.25,,3.1,1.54,2.3,3.2,1.9,2.0,2.05,-0.5,1.65,3.0,3.2,3.3,2.3,Blackburn,Charlton,Blackburn_Charlton_2004
