,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
181,18:00:00,0,Aston Villa,10,0,2,0,0,J Moss,0,0,2,9,H,11,2021-01-20,Man City,E0,4,9,16,28,D,2,Man City_Aston Villa_2020
182,20:15:00,3,Man United,6,0,1,2,1,M Atkinson,0,1,1,10,A,15,2021-01-20,Fulham,E0,5,5,2,12,D,8,Fulham_Man United_2020
183,20:00:00,2,Burnley,11,0,0,1,0,M Dean,0,0,1,8,A,6,2021-01-21,Liverpool,E0,4,6,12,27,D,0,Liverpool_Burnley_2020
184,20:00:00,0,Newcastle,9,0,2,0,2,S Hooper,0,0,3,18,H,7,2021-01-23,Aston Villa,E0,1,5,5,14,H,4,Aston Villa_Newcastle_2020
185,18:00:00,0,West Ham,9,0,2,3,1,S Attwell,0,2,0,8,A,17,2021-01-26,Crystal Palace,E0,7,3,3,6,A,4,Crystal Palace_West Ham_2020
186,18:00:00,1,Leeds,10,0,1,2,0,A Taylor,0,1,3,15,A,9,2021-01-26,Newcastle,E0,2,5,9,22,A,5,Newcastle_Leeds_2020
187,20:15:00,1,Arsenal,11,0,1,3,1,K Friend,0,2,2,6,A,9,2021-01-26,Southampton,E0,5,5,4,13,A,5,Southampton_Arsenal_2020
188,20:15:00,2,Man City,8,0,0,5,0,C Kavanagh,0,4,0,8,A,18,2021-01-26,West Brom,E0,7,1,3,4,A,8,West Brom_Man City_2020
189,18:00:00,1,Aston Villa,16,0,3,2,0,P Tierney,0,1,0,7,H,18,2021-01-27,Burnley,E0,10,5,2,10,A,4,Burnley_Aston Villa_2020
190,18:00:00,1,Wolves,14,0,0,0,0,A Madley,0,0,1,7,D,4,2021-01-27,Chelsea,E0,0,5,13,14,D,1,Chelsea_Wolves_2020
191,19:30:00,2,Fulham,10,0,0,0,0,C Pawson,0,0,1,14,D,10,2021-01-27,Brighton,E0,3,5,10,16,D,0,Brighton_Fulham_2020
192,20:15:00,1,Leicester,12,0,1,1,1,M Dean,0,0,1,10,D,19,2021-01-27,Everton,E0,6,2,5,8,H,11,Everton_Leicester_2020
193,20:15:00,1,Sheffield United,10,0,1,2,0,P Bankes,0,1,1,12,A,5,2021-01-27,Man United,E0,3,4,7,16,A,2,Man United_Sheffield United_2020
194,20:00:00,1,Liverpool,9,0,1,3,0,M Atkinson,0,1,2,11,A,14,2021-01-28,Tottenham,E0,7,2,1,3,A,2,Tottenham_Liverpool_2020
195,12:30:00,3,Newcastle,13,0,0,2,0,S Attwell,0,0,4,6,A,13,2021-01-30,Everton,E0,3,3,7,11,D,12,Everton_Newcastle_2020
196,15:00:00,1,Wolves,7,0,1,0,0,S Hooper,0,0,2,10,H,6,2021-01-30,Crystal Palace,E0,4,2,1,11,D,6,Crystal Palace_Wolves_2020
197,15:00:00,0,Sheffield United,7,0,1,0,1,D Coote,0,0,3,10,H,4,2021-01-30,Man City,E0,1,5,10,10,H,0,Man City_Sheffield United_2020
198,15:00:00,1,Fulham,9,0,2,2,0,A Taylor,0,1,0,10,D,12,2021-01-30,West Brom,E0,7,3,2,5,A,3,West Brom_Fulham_2020
199,17:30:00,1,Man United,9,0,0,0,0,M Oliver,0,0,3,16,D,14,2021-01-30,Arsenal,E0,3,3,4,17,D,7,Arsenal_Man United_2020
