,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
197,3.1,2.2,2.5,0.0,2.5,2.5,2.38,0.0,2.5,2.6,2.5,2.55,3.2,2.4,,1.9,2.5,2.63,3.2,1.95,,2.5,1.9,2.52,3.2,1.9,1.95,1.85,0.0,1.85,3.1,3.2,3.2,1.9,Walsall,Nott'm Forest,Walsall_Nott'm Forest_2003
198,3.3,1.65,4.5,-0.75,1.61,5.0,4.5,-1.0,4.5,4.5,1.615,4.9,3.4,1.66,,1.95,1.66,1.67,3.5,1.9,,3.8,1.9,1.66,3.4,1.8,2.05,1.75,-0.75,1.95,3.3,3.5,3.4,1.9,Coventry,Bradford,Coventry_Bradford_2003
199,3.1,2.2,2.6,0.0,2.5,2.5,2.5,0.0,2.62,2.5,2.375,2.7,3.2,2.5,1.8,2.05,2.37,2.5,3.2,1.8,1.9,2.5,2.0,2.4,3.2,1.95,1.9,1.85,0.0,1.85,3.1,3.2,3.2,1.8,Bradford,Walsall,Bradford_Walsall_2003
200,3.5,1.6,5.0,-0.75,1.66,4.5,5.0,-0.75,5.0,4.5,1.571,5.0,3.4,1.66,1.83,2.0,1.57,1.62,3.4,1.85,1.83,4.0,1.95,1.62,3.4,1.95,1.9,1.79,-0.75,1.9,3.3,3.5,3.55,1.85,Cardiff,Stoke,Cardiff_Stoke_2003
201,3.2,2.1,2.4,0.0,2.37,2.62,2.5,-0.25,2.62,2.62,2.5,2.7,3.2,2.37,1.83,1.9,2.3,2.5,3.2,1.95,1.83,2.6,2.0,2.35,3.2,1.8,2.05,1.79,0.0,1.9,3.2,3.25,3.3,1.8,Crystal Palace,Preston,Crystal Palace_Preston_2003
202,3.2,2.6,2.0,0.0,2.87,2.2,2.2,0.25,2.25,2.25,3.0,2.25,3.25,2.75,1.95,2.05,2.75,2.88,3.2,1.8,1.75,2.1,1.95,2.9,3.2,2.1,1.75,1.75,0.25,1.95,3.2,3.4,3.25,1.85,Derby,Ipswich,Derby_Ipswich_2003
203,3.2,1.9,3.2,-0.25,2.1,3.0,3.0,-0.25,3.0,3.0,2.0,3.15,3.25,2.1,1.75,1.85,2.1,2.1,3.25,2.0,1.95,2.9,1.95,2.1,3.25,1.85,2.0,1.85,-0.25,1.85,3.2,3.2,3.3,1.85,Gillingham,Crewe,Gillingham_Crewe_2003
204,3.25,1.65,4.5,0.0,1.72,4.33,4.33,-0.75,4.2,4.33,1.667,4.5,3.25,1.72,1.83,1.85,1.72,1.73,3.25,2.0,1.83,3.8,1.9,1.75,3.25,1.825,2.025,1.85,-0.75,1.85,3.3,3.25,3.3,1.9,Norwich,Millwall,Norwich_Millwall_2003
205,3.3,1.65,5.0,-0.75,1.66,4.5,4.5,-0.5,5.0,4.5,1.615,5.0,3.4,1.66,1.9,1.85,1.61,1.67,3.4,2.0,1.8,3.8,1.9,1.63,3.4,2.1,1.75,1.75,-0.75,1.95,3.3,3.25,3.5,1.9,Nott'm Forest,Watford,Nott'm Forest_Watford_2003
206,3.1,2.2,2.75,0.0,2.37,2.62,2.63,0.0,2.62,2.62,2.25,2.65,3.2,2.37,1.8,2.05,2.37,2.38,3.2,1.8,1.9,2.5,2.0,2.4,3.2,1.875,1.975,1.85,0.0,1.85,3.1,3.2,3.25,1.8,Reading,Wigan,Reading_Wigan_2003
