,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
147,1,Preston,9,0,0,0,0,A Davies,0,0,3,8,D,11,2015-10-24,Brighton,E1,3,1,6,10,D,7,Brighton_Preston_2015
148,1,Brentford,11,0,0,3,0,S Atwell,0,1,0,9,A,16,2015-10-24,Charlton,E1,4,6,1,13,A,4,Charlton_Brentford_2015
149,2,Reading,12,4,0,2,0,F Graham,0,1,3,9,H,9,2015-10-24,Fulham,E1,4,7,10,11,A,3,Fulham_Reading_2015
150,2,Derby,9,1,0,2,1,T Harrington,0,1,0,9,A,17,2015-10-24,Huddersfield,E1,8,6,8,15,D,9,Huddersfield_Derby_2015
151,2,Birmingham,9,2,0,0,2,E Ilderton,0,0,2,9,H,7,2015-10-24,Hull,E1,3,6,7,15,H,5,Hull_Birmingham_2015
152,0,Ipswich,9,1,0,1,0,P Tierney,0,0,4,15,D,9,2015-10-24,Nott'm Forest,E1,3,5,8,18,D,4,Nott'm Forest_Ipswich_2015
153,1,Milton Keynes Dons,13,3,0,0,0,S Duncan,0,0,1,4,H,4,2015-10-24,QPR,E1,1,7,11,21,D,8,QPR_Milton Keynes Dons_2015
154,2,Middlesbrough,11,1,0,3,1,J Linington,0,0,5,12,A,15,2015-10-24,Wolves,E1,8,5,7,18,H,3,Wolves_Middlesbrough_2015
155,1,Bristol City,9,0,0,0,0,C Pawson,0,0,0,12,D,20,2015-10-26,Cardiff,E1,6,0,4,9,D,9,Cardiff_Bristol City_2015
156,1,Blackburn,9,0,0,2,0,T Robinson,0,2,2,20,A,9,2015-10-29,Leeds,E1,4,2,3,8,A,1,Leeds_Blackburn_2015
157,2,QPR,6,1,0,0,0,S Hooper,0,0,3,12,H,7,2015-10-30,Brentford,E1,2,5,2,11,D,1,Brentford_QPR_2015
158,0,Wolves,10,0,0,2,0,P Bankes,0,1,1,10,A,13,2015-10-31,Birmingham,E1,6,1,8,15,A,6,Birmingham_Wolves_2015
159,2,Fulham,11,1,0,4,0,A Woolmer,0,4,1,5,A,10,2015-10-31,Bristol City,E1,7,3,7,15,A,1,Bristol City_Fulham_2015
160,1,Huddersfield,6,2,0,1,2,O Langford,0,0,2,10,H,12,2015-10-31,Burnley,E1,3,6,4,12,H,13,Burnley_Huddersfield_2015
161,1,Rotherham,10,3,0,0,2,S Duncan,0,0,2,19,H,6,2015-10-31,Derby,E1,3,5,8,16,H,0,Derby_Rotherham_2015
162,3,Cardiff,9,0,0,0,0,D Coote,0,0,5,11,D,9,2015-10-31,Ipswich,E1,3,2,3,8,D,4,Ipswich_Cardiff_2015
163,1,Charlton,3,3,0,0,0,A Madley,0,0,5,16,H,5,2015-10-31,Middlesbrough,E1,1,10,15,25,D,2,Middlesbrough_Charlton_2015
164,3,Hull,13,0,0,2,0,G Scott,0,1,2,12,A,8,2015-10-31,Milton Keynes Dons,E1,4,1,4,8,A,1,Milton Keynes Dons_Hull_2015
165,1,Bolton,12,0,0,0,0,D Whitestone,0,0,1,10,D,8,2015-10-31,Preston,E1,2,5,9,12,D,3,Preston_Bolton_2015
166,0,Brighton,3,1,0,1,0,N Swarbrick,0,0,0,10,D,10,2015-10-31,Reading,E1,2,5,4,21,D,9,Reading_Brighton_2015
167,3,Nott'm Forest,11,1,0,0,0,J Simpson,0,0,4,11,H,5,2015-10-31,Sheffield Weds,E1,1,5,6,21,D,2,Sheffield Weds_Nott'm Forest_2015
168,2,Blackburn,12,0,0,0,0,C Kavanagh,0,0,2,10,D,7,2015-11-03,Birmingham,E1,1,3,12,15,D,2,Birmingham_Blackburn_2015
169,0,Hull,8,0,0,2,0,G Ward,0,0,2,11,A,23,2015-11-03,Brentford,E1,9,5,1,12,D,9,Brentford_Hull_2015
170,1,Wolves,15,1,0,0,1,S Hooper,0,0,0,12,H,7,2015-11-03,Bristol City,E1,2,5,1,11,H,7,Bristol City_Wolves_2015
171,0,Fulham,5,3,0,1,2,A Madley,0,0,0,8,H,14,2015-11-03,Burnley,E1,4,5,5,14,H,11,Burnley_Fulham_2015
172,4,QPR,9,1,1,0,0,K Stroud,0,0,3,15,H,11,2015-11-03,Derby,E1,1,4,8,15,D,4,Derby_QPR_2015
173,2,Bolton,13,2,0,0,1,D Deadman,0,0,2,12,H,10,2015-11-03,Ipswich,E1,2,10,6,21,H,6,Ipswich_Bolton_2015
174,1,Cardiff,11,1,0,0,0,C Boyeson,0,0,1,9,H,6,2015-11-03,Leeds,E1,2,2,3,10,D,4,Leeds_Cardiff_2015
175,0,Rotherham,9,1,0,0,1,P Tierney,0,0,1,9,H,8,2015-11-03,Middlesbrough,E1,1,3,4,19,H,2,Middlesbrough_Rotherham_2015
176,1,Charlton,12,1,0,0,1,A Davies,0,0,5,19,H,8,2015-11-03,Milton Keynes Dons,E1,3,4,4,16,H,3,Milton Keynes Dons_Charlton_2015
177,2,Nott'm Forest,9,1,0,0,1,T Harrington,0,0,1,14,H,15,2015-11-03,Preston,E1,6,4,0,10,H,6,Preston_Nott'm Forest_2015
178,1,Huddersfield,9,2,0,2,1,B Malone,0,2,3,11,D,6,2015-11-03,Reading,E1,4,6,5,19,A,2,Reading_Huddersfield_2015
179,0,Brighton,9,0,0,0,0,K Wright,0,0,0,11,D,8,2015-11-03,Sheffield Weds,E1,1,2,4,9,D,2,Sheffield Weds_Brighton_2015
180,3,Derby,16,1,0,0,1,S Hooper,0,0,1,9,H,14,2015-11-06,Nott'm Forest,E1,2,4,2,15,H,5,Nott'm Forest_Derby_2015
181,1,Brentford,9,1,0,1,1,A Woolmer,0,1,3,15,D,10,2015-11-07,Blackburn,E1,4,4,8,10,D,3,Blackburn_Brentford_2015
182,3,Bristol City,15,0,0,0,0,S Atwell,0,0,2,14,D,9,2015-11-07,Bolton,E1,1,4,2,10,D,6,Bolton_Bristol City_2015
183,2,Milton Keynes Dons,10,2,0,1,2,D Whitestone,0,1,2,12,H,7,2015-11-07,Brighton,E1,2,6,6,21,H,3,Brighton_Milton Keynes Dons_2015
184,3,Reading,14,2,0,0,1,K Stroud,0,0,1,11,H,19,2015-11-07,Cardiff,E1,10,5,4,10,H,8,Cardiff_Reading_2015
185,2,Sheffield Weds,15,3,0,1,2,G Ward,0,0,3,8,H,10,2015-11-07,Charlton,E1,2,4,3,13,H,2,Charlton_Sheffield Weds_2015
186,2,Birmingham,9,2,0,5,0,I Williamson,1,3,0,12,A,19,2015-11-07,Fulham,E1,8,6,3,16,A,6,Fulham_Birmingham_2015
187,1,Leeds,10,0,0,3,0,G Scott,0,2,2,9,A,8,2015-11-07,Huddersfield,E1,4,6,3,19,A,6,Huddersfield_Leeds_2015
188,1,Middlesbrough,14,3,0,0,1,J Simpson,0,0,0,12,H,6,2015-11-07,Hull,E1,1,6,7,16,H,3,Hull_Middlesbrough_2015
189,2,Preston,13,0,0,0,0,R Lewis,0,0,0,7,D,6,2015-11-07,QPR,E1,2,1,5,8,D,4,QPR_Preston_2015
190,1,Ipswich,5,2,0,5,0,D Drysdale,0,3,0,5,A,19,2015-11-07,Rotherham,E1,10,2,5,11,A,6,Rotherham_Ipswich_2015
191,2,Burnley,8,0,0,0,0,J Moss,0,0,2,10,D,6,2015-11-07,Wolves,E1,4,2,3,11,D,1,Wolves_Burnley_2015
192,1,QPR,10,1,1,0,0,C Kavanagh,0,0,3,13,H,6,2015-11-20,Middlesbrough,E1,5,1,9,11,D,3,Middlesbrough_QPR_2015
193,0,Charlton,2,0,0,1,0,D Drysdale,0,0,0,9,A,8,2015-11-21,Birmingham,E1,4,6,7,21,D,4,Birmingham_Charlton_2015
194,1,Nott'm Forest,8,2,0,1,0,B Malone,1,0,0,12,H,17,2015-11-21,Brentford,E1,8,5,3,12,D,6,Brentford_Nott'm Forest_2015
195,1,Hull,15,1,0,1,1,P Tierney,0,0,4,13,D,18,2015-11-21,Bristol City,E1,4,2,1,4,H,12,Bristol City_Hull_2015
196,1,Cardiff,5,2,0,0,0,E Ilderton,0,0,1,7,H,9,2015-11-21,Derby,E1,2,10,8,20,D,3,Derby_Cardiff_2015
197,1,Wolves,13,2,0,2,1,G Ward,0,1,2,8,D,12,2015-11-21,Ipswich,E1,4,6,3,14,D,3,Ipswich_Wolves_2015
198,3,Rotherham,14,0,1,1,0,K Stroud,1,0,4,21,A,9,2015-11-21,Leeds,E1,3,3,9,14,D,4,Leeds_Rotherham_2015
199,0,Fulham,9,1,0,1,1,D Handley,0,1,2,11,D,14,2015-11-21,Milton Keynes Dons,E1,5,7,5,11,D,2,Milton Keynes Dons_Fulham_2015
