,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
54,19:00:00,2,Dijon,7,0,2,1,1,0,1,3,13,H,13,2019-09-21,Nice,F1,7,6,6,16,D,3,Nice_Dijon_2019
55,19:00:00,1,Toulouse,14,1,1,0,1,0,0,3,11,H,9,2019-09-21,Nimes,F1,2,4,5,19,H,7,Nimes_Toulouse_2019
56,19:00:00,0,Monaco,16,0,0,0,0,0,0,2,10,D,12,2019-09-21,Reims,F1,4,4,6,16,D,3,Reims_Monaco_2019
57,14:00:00,2,Lille,14,0,1,1,0,0,0,1,11,D,15,2019-09-22,Rennes,F1,6,3,4,11,D,8,Rennes_Lille_2019
58,16:00:00,1,St Etienne,13,0,4,1,0,0,1,1,12,H,6,2019-09-22,Angers,F1,2,5,5,14,A,4,Angers_St Etienne_2019
59,20:00:00,1,Paris SG,8,0,0,1,0,0,0,1,6,A,21,2019-09-22,Lyon,F1,7,0,2,12,D,11,Lyon_Paris SG_2019
60,18:00:00,3,Marseille,9,0,0,0,0,0,0,3,14,D,9,2019-09-24,Dijon,F1,2,6,8,18,D,3,Dijon_Marseille_2019
61,20:00:00,2,Nice,10,0,3,1,1,0,0,3,14,H,10,2019-09-24,Monaco,F1,3,5,5,17,H,7,Monaco_Nice_2019
62,18:00:00,2,Bordeaux,15,0,1,3,1,0,2,2,13,A,15,2019-09-25,Amiens,F1,6,3,3,11,A,3,Amiens_Bordeaux_2019
63,18:00:00,0,Lyon,9,0,2,2,1,0,1,0,10,D,11,2019-09-25,Brest,F1,5,5,2,13,D,6,Brest_Lyon_2019
64,18:00:00,0,Strasbourg,7,0,2,0,1,0,0,1,12,H,5,2019-09-25,Lille,F1,1,5,4,12,H,2,Lille_Strasbourg_2019
65,18:00:00,3,Nimes,14,0,1,0,1,0,0,4,19,H,15,2019-09-25,Montpellier,F1,3,4,4,12,H,8,Montpellier_Nimes_2019
66,18:00:00,2,Rennes,16,0,1,0,0,0,0,4,17,H,6,2019-09-25,Nantes,F1,2,2,2,8,D,4,Nantes_Rennes_2019
67,18:00:00,4,Metz,12,0,0,1,0,0,1,2,12,A,12,2019-09-25,St Etienne,F1,1,3,8,15,A,5,St Etienne_Metz_2019
68,18:00:00,1,Angers,15,0,0,2,0,0,0,0,12,A,22,2019-09-25,Toulouse,F1,6,1,5,6,D,11,Toulouse_Angers_2019
69,20:00:00,1,Reims,10,0,0,2,0,0,1,2,11,A,13,2019-09-25,Paris SG,F1,2,3,6,12,A,6,Paris SG_Reims_2019
70,12:30:00,2,Nantes,10,0,0,1,0,0,0,2,10,A,11,2019-09-28,Lyon,F1,2,7,7,14,D,8,Lyon_Nantes_2019
71,16:30:00,0,Paris SG,10,0,0,1,0,0,0,3,13,A,21,2019-09-28,Bordeaux,F1,7,1,0,4,D,9,Bordeaux_Paris SG_2019
72,19:00:00,1,Amiens,10,0,1,1,0,0,1,0,13,D,8,2019-09-28,Angers,F1,4,6,10,23,A,2,Angers_Amiens_2019
73,19:00:00,1,Toulouse,10,0,2,2,1,0,0,1,17,D,15,2019-09-28,Metz,F1,6,3,3,13,H,6,Metz_Toulouse_2019
74,19:00:00,1,Brest,7,0,4,1,1,0,0,2,15,H,5,2019-09-28,Monaco,F1,1,13,7,21,H,1,Monaco_Brest_2019
75,19:00:00,2,Lille,8,0,1,1,1,0,1,2,14,D,11,2019-09-28,Nice,F1,6,5,6,12,D,5,Nice_Lille_2019
76,19:00:00,1,Dijon,8,0,1,2,1,0,1,2,21,A,11,2019-09-28,Reims,F1,4,2,5,18,D,4,Reims_Dijon_2019
77,14:00:00,4,Montpellier,18,0,1,0,1,0,0,2,13,H,11,2019-09-29,Strasbourg,F1,3,3,1,8,H,6,Strasbourg_Montpellier_2019
78,16:00:00,1,St Etienne,12,1,0,1,0,0,0,4,15,A,6,2019-09-29,Nimes,F1,4,8,13,22,D,5,Nimes_St Etienne_2019
79,20:00:00,4,Rennes,18,0,1,1,0,0,1,0,13,D,12,2019-09-29,Marseille,F1,2,5,7,17,A,4,Marseille_Rennes_2019
80,19:45:00,1,Marseille,16,0,3,1,2,0,1,3,15,H,13,2019-10-04,Amiens,F1,4,5,3,11,H,7,Amiens_Marseille_2019
81,16:30:00,3,Angers,12,0,4,0,2,0,0,1,11,H,10,2019-10-05,Paris SG,F1,2,8,6,15,H,1,Paris SG_Angers_2019
82,19:00:00,2,Metz,12,0,2,0,2,0,0,1,15,H,12,2019-10-05,Brest,F1,4,3,2,7,H,9,Brest_Metz_2019
83,19:00:00,3,Strasbourg,7,0,1,0,1,0,0,3,14,H,15,2019-10-05,Dijon,F1,2,3,6,8,H,7,Dijon_Strasbourg_2019
84,19:00:00,1,Monaco,18,1,3,1,2,0,0,2,11,H,14,2019-10-05,Montpellier,F1,4,10,6,17,H,8,Montpellier_Monaco_2019
85,19:00:00,1,Nice,14,0,1,0,0,0,0,2,7,H,6,2019-10-05,Nantes,F1,2,5,6,14,D,1,Nantes_Nice_2019
86,19:00:00,4,Bordeaux,16,0,1,3,0,0,2,2,16,A,10,2019-10-05,Toulouse,F1,4,4,5,15,A,4,Toulouse_Bordeaux_2019
87,14:00:00,3,Nimes,19,0,2,2,1,0,1,1,10,D,14,2019-10-06,Lille,F1,4,7,8,18,D,6,Lille_Nimes_2019
88,16:00:00,1,Reims,13,0,0,1,0,0,0,3,19,A,13,2019-10-06,Rennes,F1,7,3,5,18,D,3,Rennes_Reims_2019
89,20:00:00,1,Lyon,13,0,1,0,0,0,0,2,18,H,6,2019-10-06,St Etienne,F1,2,4,5,6,D,1,St Etienne_Lyon_2019
90,19:45:00,3,Paris SG,12,0,1,4,0,2,2,2,15,A,24,2019-10-18,Nice,F1,10,2,1,10,A,13,Nice_Paris SG_2019
91,16:30:00,0,Dijon,12,0,0,0,0,0,0,0,11,D,6,2019-10-19,Lyon,F1,1,10,8,24,D,1,Lyon_Dijon_2019
92,19:00:00,1,Brest,10,0,0,1,0,0,0,0,11,A,6,2019-10-19,Angers,F1,1,6,13,29,D,3,Angers_Brest_2019
93,19:00:00,2,Nantes,16,1,1,0,0,0,0,1,13,H,9,2019-10-19,Metz,F1,2,2,3,10,D,3,Metz_Nantes_2019
94,19:00:00,2,Amiens,11,0,1,1,1,0,0,4,15,D,13,2019-10-19,Nimes,F1,5,3,1,11,H,11,Nimes_Amiens_2019
95,19:00:00,2,Montpellier,19,0,1,0,1,0,0,0,11,H,9,2019-10-19,Reims,F1,0,5,4,12,H,8,Reims_Montpellier_2019
96,19:00:00,2,Lille,15,0,2,1,0,0,0,4,11,H,9,2019-10-19,Toulouse,F1,2,6,3,17,D,4,Toulouse_Lille_2019
97,14:00:00,0,St Etienne,7,0,0,1,0,0,0,3,18,A,6,2019-10-20,Bordeaux,F1,3,6,8,12,D,5,Bordeaux_St Etienne_2019
98,16:00:00,2,Rennes,15,0,3,2,1,0,1,3,15,H,10,2019-10-20,Monaco,F1,3,5,3,14,D,3,Monaco_Rennes_2019
99,20:00:00,3,Strasbourg,13,0,2,0,1,0,0,2,15,H,10,2019-10-20,Marseille,F1,2,6,5,11,H,7,Marseille_Strasbourg_2019
100,19:45:00,2,Monaco,9,0,0,1,0,0,1,2,13,A,7,2019-10-25,Nantes,F1,2,4,5,15,A,3,Nantes_Monaco_2019
101,16:30:00,0,Bordeaux,17,0,3,0,1,0,0,2,18,H,5,2019-10-26,Lille,F1,1,3,3,11,H,3,Lille_Bordeaux_2019
102,19:00:00,0,Dijon,10,0,2,0,0,1,0,0,8,H,14,2019-10-26,Brest,F1,5,7,9,15,D,5,Brest_Dijon_2019
103,19:00:00,1,Metz,12,0,2,0,2,0,0,2,9,H,16,2019-10-26,Lyon,F1,3,7,7,18,H,2,Lyon_Metz_2019
104,19:00:00,2,Angers,14,0,0,0,0,0,0,3,12,D,13,2019-10-26,Montpellier,F1,6,3,5,14,D,2,Montpellier_Angers_2019
105,19:00:00,3,Nimes,15,0,0,0,0,0,0,1,13,D,7,2019-10-26,Reims,F1,1,3,4,10,D,6,Reims_Nimes_2019
106,19:00:00,1,Nice,22,1,1,0,1,0,0,3,12,H,9,2019-10-26,Strasbourg,F1,5,6,4,20,H,7,Strasbourg_Nice_2019
107,14:00:00,1,Toulouse,18,0,3,2,2,0,1,2,20,H,15,2019-10-27,Rennes,F1,5,6,7,14,H,5,Rennes_Toulouse_2019
108,16:00:00,2,Amiens,17,0,2,2,1,0,0,3,17,D,11,2019-10-27,St Etienne,F1,5,1,5,15,H,4,St Etienne_Amiens_2019
109,20:00:00,2,Marseille,10,0,4,0,4,0,0,1,6,H,5,2019-10-27,Paris SG,F1,1,7,5,11,H,3,Paris SG_Marseille_2019
110,19:45:00,3,Paris SG,12,0,2,1,1,0,1,2,9,H,20,2019-11-01,Dijon,F1,4,6,3,10,D,6,Dijon_Paris SG_2019
111,16:30:00,1,Lille,13,0,2,1,0,0,0,3,15,H,6,2019-11-02,Marseille,F1,2,1,4,11,D,4,Marseille_Lille_2019
112,19:00:00,3,Brest,12,0,1,0,1,0,0,1,11,H,14,2019-11-02,Amiens,F1,3,2,3,6,H,9,Amiens_Brest_2019
113,19:00:00,1,Strasbourg,13,0,1,0,1,0,0,1,20,H,8,2019-11-02,Angers,F1,3,5,4,9,H,8,Angers_Strasbourg_2019
114,19:00:00,1,Montpellier,12,0,2,2,1,0,0,2,19,D,12,2019-11-02,Metz,F1,4,4,5,11,H,3,Metz_Montpellier_2019
115,19:00:00,3,Lyon,10,0,2,3,1,0,1,0,4,A,21,2019-11-02,Toulouse,F1,8,5,5,12,D,5,Toulouse_Lyon_2019
116,14:00:00,4,Nantes,18,0,2,0,1,0,0,3,17,H,9,2019-11-03,Bordeaux,F1,2,7,6,10,H,9,Bordeaux_Nantes_2019
117,16:00:00,1,Reims,11,1,2,0,2,0,0,3,17,H,11,2019-11-03,Nice,F1,3,6,5,12,H,4,Nice_Reims_2019
118,20:00:00,1,Monaco,13,1,1,0,0,0,0,1,10,H,11,2019-11-03,St Etienne,F1,2,5,2,12,D,1,St Etienne_Monaco_2019
119,19:45:00,2,Bordeaux,13,0,1,1,1,0,0,2,16,D,10,2019-11-08,Nice,F1,4,5,3,10,H,4,Nice_Bordeaux_2019
120,16:30:00,1,Paris SG,10,0,1,2,0,0,1,2,13,A,18,2019-11-09,Brest,F1,8,4,5,17,A,4,Brest_Paris SG_2019
121,19:00:00,2,Metz,16,0,0,0,0,0,0,2,13,D,4,2019-11-09,Lille,F1,1,5,9,13,D,1,Lille_Metz_2019
122,19:00:00,2,Dijon,11,0,1,0,1,0,0,0,8,H,15,2019-11-09,Monaco,F1,3,7,6,18,H,9,Monaco_Dijon_2019
123,19:00:00,1,Angers,14,1,0,0,0,0,0,3,11,D,13,2019-11-09,Reims,F1,2,2,2,9,D,12,Reims_Angers_2019
124,19:00:00,2,Nimes,13,1,4,1,2,0,0,2,9,H,10,2019-11-09,Strasbourg,F1,4,10,2,20,H,2,Strasbourg_Nimes_2019
125,14:00:00,3,Amiens,12,0,3,1,1,0,1,4,17,H,13,2019-11-10,Rennes,F1,6,11,5,22,D,3,Rennes_Amiens_2019
126,16:00:00,2,Toulouse,19,0,3,0,1,0,0,2,17,H,6,2019-11-10,Montpellier,F1,2,3,1,8,H,3,Montpellier_Toulouse_2019
127,16:00:00,1,St Etienne,6,0,2,3,2,0,2,0,9,A,11,2019-11-10,Nantes,F1,4,6,3,9,D,3,Nantes_St Etienne_2019
128,20:00:00,3,Lyon,14,0,2,1,2,1,0,0,9,H,11,2019-11-10,Marseille,F1,4,4,6,10,H,7,Marseille_Lyon_2019
129,19:45:00,2,Lille,13,0,2,0,2,0,0,0,11,H,13,2019-11-22,Paris SG,F1,8,4,6,11,H,5,Paris SG_Lille_2019
130,16:30:00,2,Nice,13,1,2,1,2,1,0,4,13,H,17,2019-11-23,Lyon,F1,7,4,3,9,H,6,Lyon_Nice_2019
131,19:00:00,2,Strasbourg,7,0,0,4,0,1,1,1,8,A,17,2019-11-23,Amiens,F1,9,0,3,5,A,7,Amiens_Strasbourg_2019
132,19:00:00,2,Nimes,12,0,1,0,0,0,0,1,6,H,10,2019-11-23,Angers,F1,2,7,3,21,D,2,Angers_Nimes_2019
