,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
232,3.1,3.0,2.25,0.5,3.0,2.2,,2.3,2.2,2.75,2.1,3.25,2.8,2.75,,,2.2,1.8,3.2,3.1,1.775,2.125,2.25,0.25,1.55,2.9,3.2,3.1,2.05,Le Mans,Marseille,Le Mans_Marseille_2003
233,3.1,1.85,3.5,-0.75,1.8,4.2,,3.6,3.75,1.909,4.1,3.25,1.833,1.9,,,3.8,1.8,1.8,3.1,2.125,1.775,2.25,-0.75,1.55,3.0,3.2,3.2,2.05,Lens,Rennes,Lens_Rennes_2003
234,3.6,1.3,7.0,-1.25,1.4,7.5,,7.5,7.5,1.4,7.5,3.75,1.4,1.4,,,8.5,1.95,1.4,3.75,2.025,1.875,2.0,-1.25,1.71,4.0,3.75,3.8,1.9,Monaco,Lille,Monaco_Lille_2003
235,3.1,2.1,3.2,-0.25,2.1,3.25,,3.3,3.0,2.0,3.3,3.25,2.1,2.0,,,3.2,2.05,2.05,3.0,1.85,2.05,2.25,-0.25,1.55,2.9,3.2,3.1,1.8,Montpellier,Metz,Montpellier_Metz_2003
236,3.0,1.9,4.333,-0.5,1.9,3.75,,3.75,3.5,1.8,3.8,3.25,1.909,1.9,,,4.2,1.8,1.9,3.1,1.9,2.0,2.35,-0.75,1.5,2.7,3.0,3.1,2.05,Nantes,Nice,Nantes_Nice_2003
237,3.1,1.8,4.0,-0.75,1.75,4.33,,4.0,3.75,1.8,4.1,3.25,1.833,1.8,,,4.0,1.8,1.8,3.2,2.125,1.775,2.05,-0.75,1.65,3.0,3.2,3.2,2.05,Sochaux,Bordeaux,Sochaux_Bordeaux_2003
238,3.0,3.8,2.0,0.5,3.75,1.9,,2.0,2.0,3.2,2.0,3.25,3.25,3.4,,,1.9,1.75,3.45,3.1,1.8,2.1,2.25,0.25,1.55,2.9,3.2,3.1,2.1,Toulouse,Paris SG,Toulouse_Paris SG_2003
239,3.1,2.1,3.2,-0.25,2.1,3.25,,3.1,3.0,2.1,3.3,3.25,2.1,2.1,,,3.2,2.05,2.1,3.0,1.775,2.125,2.0,-0.25,1.71,2.9,3.0,3.0,1.8,Auxerre,Lyon,Auxerre_Lyon_2003
240,4.5,1.33,7.0,-1.5,1.28,8.5,,8.0,8.0,1.333,8.0,4.5,1.3,1.28,,,8.0,1.9,1.33,4.5,2.05,1.85,1.85,-1.5,1.79,3.8,4.333,4.25,1.95,Monaco,Montpellier,Monaco_Montpellier_2003
241,3.2,2.7,2.375,0.25,2.75,2.5,,2.25,2.4,2.6,2.4,3.2,2.6,2.75,,,2.3,2.05,2.7,2.87,1.8,2.1,2.1,0.25,1.6,3.0,3.2,3.0,1.8,Bastia,Auxerre,Bastia_Auxerre_2003
242,3.3,1.7,3.75,-0.75,1.8,4.2,,4.5,4.333,1.8,4.5,3.25,1.727,1.66,,,4.2,1.8,1.75,3.1,2.125,1.775,2.0,-0.75,1.65,3.2,3.25,3.1,2.05,Bordeaux,Lens,Bordeaux_Lens_2003
243,2.87,2.1,3.2,-0.5,2.1,3.25,,4.0,3.25,2.1,3.7,3.0,2.1,1.9,,,3.5,1.59,2.05,3.0,2.1,1.8,2.2,-0.5,1.55,2.7,3.0,2.8,2.05,Lille,Nice,Lille_Nice_2003
244,4.2,1.33,9.0,-1.25,1.28,8.5,,8.5,8.0,1.286,8.0,4.5,1.3,1.3,,,8.0,2.78,1.33,4.5,1.825,2.075,1.83,-0.5,1.83,3.8,4.333,4.25,1.33,Lyon,Le Mans,Lyon_Le Mans_2003
245,3.2,1.9,3.4,-0.5,1.85,4.0,,3.5,4.0,2.0,3.95,3.25,1.8,1.9,,,3.6,1.74,1.85,3.1,2.05,1.85,2.2,-0.5,1.55,3.0,3.0,3.1,1.85,Metz,Toulouse,Metz_Toulouse_2003
246,3.75,1.4,7.0,-1.25,1.33,8.5,,8.0,7.5,1.333,7.5,4.0,1.364,1.36,,,6.5,1.95,1.37,4.0,1.95,1.95,1.9,-1.25,1.75,3.7,4.333,4.0,1.9,Paris SG,Guingamp,Paris SG_Guingamp_2003
247,3.3,1.75,3.75,-0.75,1.75,4.5,,3.75,4.333,1.8,4.75,3.25,1.727,1.8,,,4.2,1.8,1.7,3.1,2.1,1.8,2.1,-0.75,1.6,3.1,3.25,3.15,2.05,Rennes,Ajaccio,Rennes_Ajaccio_2003
248,3.1,2.3,2.5,0.0,2.5,2.62,,2.6,2.6,2.4,2.6,3.2,2.4,2.4,,,2.8,1.95,2.5,3.0,1.9,2.0,1.95,0.0,1.71,2.9,3.25,3.0,1.9,Strasbourg,Sochaux,Strasbourg_Sochaux_2003
249,3.1,1.85,3.75,-0.5,1.8,4.0,,4.0,4.0,1.8,3.8,3.25,1.8,1.8,,,3.6,1.71,1.9,3.2,2.025,1.875,2.0,-0.5,1.65,3.1,3.25,3.1,1.9,Marseille,Nantes,Marseille_Nantes_2003
250,3.1,2.2,2.75,0.0,2.37,2.8,,2.75,2.625,2.375,2.75,3.2,2.375,2.3,,,3.0,2.05,2.35,3.0,1.85,2.05,2.2,0.0,1.55,2.9,3.0,3.1,1.8,Le Mans,Rennes,Le Mans_Rennes_2003
251,3.1,2.4,2.5,0.0,2.5,2.6,,2.37,2.5,2.625,2.5,3.0,2.625,2.62,,,2.6,1.9,2.6,3.0,2.1,1.8,2.1,0.0,1.6,3.0,2.875,3.0,1.95,Lens,Lyon,Lens_Lyon_2003
252,3.1,2.4,2.5,0.0,2.5,2.6,,2.5,2.5,2.5,2.7,3.2,2.5,2.5,,,2.7,1.95,2.45,3.0,1.9,2.0,2.0,0.0,1.65,2.9,3.2,3.0,1.9,Montpellier,Lille,Montpellier_Lille_2003
253,3.3,1.6,4.5,-0.75,1.66,5.0,,5.0,4.5,1.667,5.0,3.4,1.667,1.61,,,4.8,1.95,1.65,3.2,1.95,1.95,2.1,-0.75,1.6,3.3,3.25,3.25,1.9,Nantes,Strasbourg,Nantes_Strasbourg_2003
254,3.2,3.6,1.8,0.5,4.0,1.8,,1.83,1.8,3.75,1.85,3.25,4.0,3.75,,,1.85,1.85,3.85,3.2,1.975,1.925,2.1,0.5,1.6,3.1,3.25,3.2,1.75,Toulouse,Monaco,Toulouse_Monaco_2003
255,3.1,2.7,2.5,0.0,2.5,2.6,,2.5,2.5,2.5,2.6,3.2,2.5,2.5,,,2.4,2.0,2.5,3.0,1.95,1.95,2.1,0.0,1.6,2.9,3.2,3.0,1.85,Ajaccio,Bordeaux,Ajaccio_Bordeaux_2003
256,3.1,2.3,2.75,-0.25,2.25,3.0,,2.75,3.0,2.25,2.9,3.0,2.25,2.3,,,2.8,1.8,2.3,3.0,2.0,1.9,2.2,-0.25,1.55,2.9,3.2,3.0,2.05,Auxerre,Paris SG,Auxerre_Paris SG_2003
257,3.1,2.3,2.875,-0.25,2.2,3.1,,2.87,3.0,2.25,2.9,3.0,2.25,2.2,,,2.9,1.85,2.3,3.0,2.1,1.8,2.2,-0.25,1.55,2.8,3.0,3.0,2.0,Nice,Marseille,Nice_Marseille_2003
258,3.4,1.6,5.5,-1.0,1.53,6.0,,6.0,6.0,1.571,5.9,3.5,1.5,1.5,,,4.8,1.8,1.52,3.4,2.1,1.8,2.1,-1.0,1.6,3.3,3.25,3.5,2.05,Sochaux,Bastia,Sochaux_Bastia_2003
259,4.2,1.33,8.0,-1.25,1.36,7.5,7.5,8.5,7.5,1.3,8.5,4.333,1.333,1.3,1.33,4.33,7.5,2.72,1.35,4.0,1.925,1.975,1.79,-0.5,1.85,4.0,4.333,4.0,1.35,Lyon,Ajaccio,Lyon_Ajaccio_2003
