Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
B1,2004-08-21,Gent,Bergen,2,1,H,1,1,D,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.8,3.1,4.0,1.71,1.95,1.8,1.79,-0.5,,,
B1,2004-08-21,Lierse,Germinal,2,0,H,2,0,H,2.2,3.25,2.75,2.05,3.25,3.15,2.2,3.2,2.9,2.2,2.9,3.0,2.1,3.4,2.88,2.1,3.2,3.0,2.1,3.1,3.1,1.71,1.95,2.2,1.52,-0.5,,,
B1,2004-08-21,Mouscron,St Truiden,4,0,H,3,0,H,1.57,3.5,5.0,1.65,3.5,4.55,1.62,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.62,3.4,4.75,1.7,3.5,4.0,1.6,2.1,1.62,2.02,-0.5,,,
B1,2004-08-21,Oostende,Club Brugge,1,2,A,0,0,D,5.5,3.6,1.5,6.25,3.8,1.45,5.5,3.5,1.55,5.4,3.8,1.45,5.5,3.6,1.5,6.0,3.75,1.44,5.5,3.6,1.5,1.5,2.3,2.14,1.55,0.5,,,
B1,2004-08-22,Cercle Brugge,Standard,1,3,A,0,1,A,3.2,3.2,2.0,3.25,3.25,2.0,3.3,3.25,2.0,3.2,3.1,2.0,3.5,3.4,1.83,3.5,3.2,1.91,3.6,3.3,1.83,1.65,2.0,1.64,2.0,0.5,,,
B1,2004-08-22,FC Brussels,Louvieroise,1,1,D,0,1,A,2.37,3.1,2.62,2.45,3.2,2.55,2.4,3.15,2.65,2.2,3.0,2.9,2.2,3.2,2.8,2.4,3.2,2.5,2.25,3.3,2.62,1.65,2.0,2.4,1.44,-0.5,,,
B1,2004-08-22,Genk,Lokeren,2,1,H,0,0,D,1.61,3.5,4.5,1.6,3.55,4.9,1.65,3.5,4.55,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.6,2.1,1.65,1.98,-0.5,,,
B1,2004-08-27,Louvieroise,Genk,2,0,H,0,0,D,2.62,3.1,2.37,2.45,3.2,2.55,2.6,3.1,2.45,2.6,3.0,2.4,2.6,3.2,2.75,2.5,3.1,2.5,2.62,3.1,2.37,1.71,1.95,1.41,2.45,0.5,,,
B1,2004-08-28,Anderlecht,Gent,2,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.45,2.45,1.25,3.21,-0.5,,,
B1,2004-08-28,Bergen,Oostende,2,0,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.75,3.25,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.2,1.8,3.1,4.0,1.65,2.0,1.75,1.84,-0.5,,,
B1,2004-08-28,Club Brugge,Lierse,1,0,H,0,0,D,1.25,5.0,8.0,1.3,4.5,8.25,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.45,2.45,1.25,3.21,-0.5,,,
B1,2004-08-28,Lokeren,Mouscron,1,1,D,0,0,D,2.3,3.2,2.7,2.5,3.2,2.5,2.4,3.1,2.65,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.2,2.75,2.2,3.2,2.8,1.71,1.95,2.4,1.43,-0.5,,,
B1,2004-08-28,Standard,FC Brussels,1,3,A,0,1,A,1.33,4.33,7.0,1.3,4.5,8.25,1.33,4.25,8.0,1.35,4.0,7.0,1.4,3.75,7.0,1.33,4.33,7.0,1.3,4.33,8.0,1.55,2.2,1.33,2.78,-0.5,,,
B1,2004-08-28,Westerlo,Cercle Brugge,1,2,A,1,0,H,1.53,3.5,5.5,1.65,3.25,5.0,1.6,3.45,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.5,5.0,1.57,3.3,5.5,1.6,2.1,1.6,2.04,-0.5,,,
B1,2004-08-29,Germinal,Charleroi,0,1,A,0,1,A,1.66,3.4,4.33,1.7,3.45,4.3,1.67,3.4,4.5,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.65,2.0,1.67,1.94,-0.5,,,
B1,2004-08-29,St Truiden,Beveren,0,1,A,0,0,D,2.1,3.2,3.0,2.0,3.25,3.3,2.1,3.15,3.15,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.2,3.0,2.2,3.2,2.8,1.65,2.0,2.1,1.58,-0.5,,,
B1,2004-09-11,Charleroi,Club Brugge,0,1,A,0,0,D,5.0,3.5,1.571,4.55,3.5,1.65,4.9,3.55,1.6,4.6,3.4,1.6,4.5,3.5,1.615,4.75,3.6,1.57,4.8,3.4,1.6,1.6,2.1,2.06,1.6,0.5,,,
B1,2004-09-11,FC Brussels,Westerlo,0,1,A,0,0,D,2.375,3.1,2.625,2.35,3.2,2.65,2.3,3.2,2.75,2.1,3.1,3.0,2.375,3.25,2.5,2.4,3.25,2.5,2.37,3.1,2.62,1.75,1.9,2.3,1.48,-0.5,,,
B1,2004-09-11,Gent,St Truiden,2,1,H,1,0,H,1.727,3.25,4.333,1.8,3.4,3.8,1.75,3.45,4.0,1.75,3.2,4.0,1.571,3.5,5.0,1.8,3.25,3.8,1.7,3.3,4.2,1.65,2.0,1.75,1.85,-0.5,,,
B1,2004-09-11,Lierse,Bergen,4,1,H,1,0,H,1.833,3.2,3.75,1.9,3.3,3.5,1.85,3.3,3.75,1.9,3.1,3.5,1.727,3.2,4.333,1.85,3.25,3.6,1.9,3.2,3.5,1.75,1.9,1.85,1.76,-0.5,,,
B1,2004-09-11,Oostende,Anderlecht,1,3,A,0,1,A,7.0,3.75,1.4,5.75,3.65,1.5,6.0,3.9,1.45,6.0,3.9,1.4,6.0,3.75,1.444,6.0,3.75,1.44,7.0,3.75,1.4,1.6,2.1,2.36,1.45,0.5,,,
B1,2004-09-12,Cercle Brugge,Germinal,2,1,H,0,1,A,2.3,3.2,2.625,2.3,3.2,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.375,3.25,2.5,2.25,3.25,2.7,2.35,3.25,2.55,1.71,1.95,2.25,1.49,-0.5,,,
B1,2004-09-12,Genk,Standard,1,1,D,0,0,D,2.25,3.0,2.875,2.35,3.2,2.65,2.2,3.2,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.25,2.7,2.15,3.2,2.9,1.75,1.9,2.2,1.52,-0.5,,,
B1,2004-09-12,Lokeren,Louvieroise,1,0,H,1,0,H,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.2,3.1,2.0,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.0,2.2,3.2,2.8,1.83,1.83,2.1,1.57,-0.5,,,
B1,2004-09-12,Mouscron,Beveren,1,0,H,1,0,H,1.571,3.5,5.0,1.6,3.55,4.9,1.55,3.7,5.0,1.55,3.5,4.8,1.615,3.5,4.5,1.61,3.4,4.75,1.55,3.35,5.5,1.75,1.9,1.55,2.13,-0.5,,,
B1,2004-09-17,Louvieroise,Mouscron,3,1,H,1,1,D,2.2,3.2,2.8,2.2,3.2,2.9,2.25,3.15,2.85,2.3,2.9,2.8,2.38,3.2,2.6,2.25,3.25,2.7,2.15,3.1,2.95,1.71,1.95,2.25,1.5,-0.5,,,
B1,2004-09-18,Anderlecht,Lierse,5,1,H,2,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.27,4.3,8.5,1.29,4.33,9.0,1.25,5.0,8.0,1.25,5.0,8.0,1.55,2.2,1.25,3.21,-0.5,,,
B1,2004-09-18,Bergen,Charleroi,0,1,A,0,0,D,2.1,3.0,3.2,2.0,3.25,3.3,2.05,3.0,3.45,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.0,2.1,3.1,3.05,1.75,1.9,2.05,1.6,-0.5,,,
B1,2004-09-18,Germinal,FC Brussels,2,0,H,0,0,D,1.72,3.2,4.33,1.75,3.4,4.05,1.85,3.45,3.55,1.85,3.1,3.6,1.73,3.2,4.33,1.73,3.4,4.0,1.8,3.1,4.0,1.71,1.95,1.85,1.75,-0.5,,,
B1,2004-09-18,St Truiden,Oostende,0,0,D,0,0,D,1.8,3.2,4.0,1.75,3.4,4.05,1.8,3.25,4.0,1.75,3.2,4.0,1.91,3.2,3.5,1.8,3.3,3.75,1.72,3.2,4.3,1.75,1.9,1.8,1.79,-0.5,,,
B1,2004-09-18,Westerlo,Genk,0,0,D,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.25,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.25,3.25,2.7,2.3,3.1,2.7,1.65,2.0,2.3,1.47,-0.5,,,
B1,2004-09-19,Beveren,Gent,1,2,A,1,1,D,2.1,3.2,3.0,2.15,3.25,2.95,2.1,3.35,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.1,3.25,2.9,2.05,3.1,3.15,1.79,1.85,2.1,1.57,-0.5,,,
B1,2004-09-19,Club Brugge,Cercle Brugge,5,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.22,4.8,9.5,1.25,4.5,10.0,1.25,5.0,8.0,1.28,4.5,8.0,1.5,2.3,1.25,3.21,-0.5,,,
B1,2004-09-19,Standard,Lokeren,1,0,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.75,3.45,4.0,1.8,3.1,3.8,1.8,3.2,4.0,1.67,3.4,4.33,1.72,3.25,4.2,1.6,2.1,1.75,1.85,-0.5,,,
B1,2004-09-24,Charleroi,Anderlecht,2,1,H,0,0,D,5.0,3.6,1.53,4.9,3.55,1.6,5.0,3.5,1.6,5.0,3.7,1.5,5.0,3.5,1.57,5.0,3.6,1.53,5.5,3.5,1.53,,,2.38,1.45,0.5,,,
B1,2004-09-24,FC Brussels,Club Brugge,1,6,A,1,2,A,5.5,3.6,1.5,6.2,3.8,1.45,5.5,3.8,1.5,5.4,3.8,1.45,5.5,3.6,1.5,6.5,3.6,1.44,6.0,3.75,1.44,1.55,2.2,2.38,1.45,0.5,,,
B1,2004-09-25,Cercle Brugge,Bergen,2,0,H,1,0,H,1.9,3.2,3.5,2.0,3.25,3.3,1.97,3.25,3.4,1.85,3.1,3.6,1.91,3.2,3.5,2.0,3.2,3.2,1.9,3.3,3.35,1.75,1.9,1.97,1.66,-0.5,,,
B1,2004-09-25,Lokeren,Westerlo,3,1,H,1,1,D,2.1,3.2,3.0,2.1,3.25,3.05,2.0,3.25,3.3,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.0,2.1,3.3,2.87,1.83,1.83,2.0,1.64,-0.5,,,
B1,2004-09-25,Louvieroise,Standard,0,1,A,0,1,A,2.4,3.25,2.5,2.3,3.2,2.75,2.55,3.05,2.55,2.5,3.0,2.5,2.38,3.25,2.5,2.4,3.2,2.5,2.6,3.1,2.4,1.71,1.95,2.55,1.39,-0.5,,,
B1,2004-09-25,Mouscron,Gent,0,2,A,0,0,D,1.8,3.25,3.75,1.7,3.45,4.3,1.7,3.45,4.3,1.75,3.2,4.0,1.8,3.4,3.6,1.8,3.25,3.8,1.8,3.3,3.75,1.65,2.0,1.7,1.91,-0.5,,,
B1,2004-09-25,Oostende,Beveren,1,1,D,0,1,A,2.4,3.25,2.5,2.3,3.2,2.75,2.4,3.2,2.65,2.5,3.0,2.5,2.5,3.25,2.38,2.4,3.2,2.5,2.45,3.3,2.4,1.75,1.9,2.4,1.45,-0.5,,,
B1,2004-09-26,Genk,Germinal,2,1,H,1,0,H,1.61,3.5,4.5,1.65,3.5,4.55,1.62,3.6,4.65,1.55,3.5,4.8,1.57,3.5,5.0,1.62,3.5,4.5,1.65,3.4,4.4,1.71,1.95,1.62,2.03,-0.5,,,
B1,2004-09-26,Lierse,St Truiden,0,1,A,0,0,D,1.66,3.4,4.33,1.7,3.45,4.3,1.65,3.5,4.6,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.4,4.33,1.7,3.4,4.1,1.71,1.95,1.65,1.99,-0.5,,,
B1,2004-10-02,Anderlecht,Cercle Brugge,5,2,H,3,2,H,1.22,5.0,11.0,1.2,5.5,10.0,1.2,5.3,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0,1.2,5.0,11.0,,,1.2,3.58,-0.5,,,
B1,2004-10-02,Bergen,FC Brussels,1,2,A,1,0,H,1.9,3.2,3.5,1.75,3.4,4.05,1.91,3.3,3.5,2.0,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.4,1.95,3.2,3.3,1.71,1.95,1.91,1.7,-0.5,,,
B1,2004-10-02,Gent,Oostende,2,1,H,1,1,D,1.44,3.6,6.5,1.55,3.6,5.3,1.45,3.75,6.5,1.45,3.8,5.4,1.33,4.0,8.0,1.44,3.75,6.0,1.5,3.4,6.0,1.6,2.1,1.45,2.38,-0.5,,,
B1,2004-10-02,Germinal,Lokeren,1,2,A,0,0,D,2.1,3.2,3.0,2.0,3.3,3.25,2.15,3.2,3.0,2.1,3.0,3.1,2.1,3.4,2.88,2.1,3.2,3.0,2.1,3.3,2.87,1.79,1.85,2.15,1.55,-0.5,,,
B1,2004-10-02,St Truiden,Charleroi,2,2,D,1,0,H,2.4,3.25,2.5,2.3,3.2,2.75,2.4,3.2,2.6,2.1,3.0,3.1,2.25,3.2,2.75,2.38,3.1,2.62,2.37,3.1,2.62,1.65,2.0,2.4,1.43,-0.5,,,
B1,2004-10-03,Beveren,Lierse,2,1,H,1,0,H,2.1,3.2,3.0,2.15,3.25,2.95,2.05,3.2,3.2,2.2,3.0,2.9,2.0,3.2,3.2,2.1,3.2,3.0,2.2,3.1,2.87,1.85,1.79,2.05,1.6,-0.5,,,
B1,2004-10-03,Club Brugge,Genk,1,1,D,1,1,D,1.33,4.5,7.0,1.35,4.2,7.5,1.35,4.3,7.2,1.35,4.0,7.0,1.44,3.6,6.5,1.36,4.0,7.0,1.35,4.2,7.0,1.5,2.3,1.35,2.69,-0.5,,,
B1,2004-10-03,Standard,Mouscron,2,0,H,1,0,H,1.83,3.25,3.6,1.8,3.4,3.8,1.75,3.3,4.25,1.8,3.1,3.8,1.8,3.2,4.0,1.75,3.4,3.8,1.7,3.2,4.5,1.95,1.71,1.75,1.86,-0.5,,,
B1,2004-10-03,Westerlo,Louvieroise,0,2,A,0,0,D,2.0,3.2,3.2,2.1,3.25,3.05,2.1,3.2,3.1,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.2,3.0,2.1,3.2,3.0,1.75,1.9,2.1,1.57,-0.5,,,
B1,2004-10-15,FC Brussels,Anderlecht,0,1,A,0,1,A,6.0,3.75,1.44,6.25,3.8,1.45,6.0,3.9,1.45,5.0,3.7,1.5,6.5,3.25,1.5,6.0,3.75,1.44,5.5,3.6,1.5,1.55,2.2,1.52,1.95,1.5,,,
B1,2004-10-16,Genk,Bergen,2,2,D,1,1,D,1.36,4.0,7.0,1.3,4.3,9.0,1.35,4.3,7.2,1.4,3.9,6.0,1.3,4.0,9.0,1.36,4.0,7.0,1.36,4.0,7.0,1.65,2.0,1.85,1.6,-1.5,,,
B1,2004-10-16,Lierse,Gent,3,2,H,1,0,H,2.4,3.1,2.6,2.55,3.2,2.45,2.4,3.2,2.6,2.3,3.0,2.7,2.5,3.25,2.4,2.5,3.1,2.5,2.3,3.3,2.6,1.79,1.85,2.4,1.43,-0.5,,,
B1,2004-10-16,Mouscron,Oostende,1,1,D,1,1,D,1.44,3.75,6.0,1.4,4.0,6.65,1.45,3.9,6.0,1.4,3.9,6.0,1.5,3.25,6.5,1.44,3.75,6.0,1.44,3.75,6.0,1.65,2.0,2.07,1.46,-1.5,,,
B1,2004-10-16,Standard,Westerlo,2,0,H,2,0,H,1.5,3.6,5.5,1.5,3.65,5.8,1.5,3.9,5.3,1.45,3.8,5.4,1.57,3.5,5.0,1.53,3.5,5.5,1.55,3.35,5.5,1.65,2.0,1.5,2.25,-0.5,,,
B1,2004-10-17,Cercle Brugge,St Truiden,5,1,H,2,0,H,1.9,3.2,3.5,2.0,3.25,3.3,1.95,3.25,3.4,1.9,3.1,3.5,1.91,3.4,3.25,1.91,3.25,3.4,1.9,3.3,3.4,1.71,1.95,1.95,1.66,-0.5,,,
B1,2004-10-17,Charleroi,Beveren,2,1,H,1,1,D,2.0,3.2,3.2,1.8,3.4,3.8,1.95,3.3,3.35,2.0,3.1,3.2,1.91,3.4,3.25,2.0,3.2,3.2,1.9,3.3,3.35,1.83,1.83,1.95,1.66,-0.5,,,
B1,2004-10-17,Lokeren,Club Brugge,0,2,A,0,1,A,4.5,3.3,1.66,4.3,3.45,1.7,4.2,3.5,1.7,4.2,3.2,1.7,3.5,3.5,1.8,3.75,3.3,1.8,4.0,3.4,1.72,1.65,2.0,1.91,1.7,0.5,,,
B1,2004-10-17,Louvieroise,Germinal,1,1,D,1,0,H,1.66,3.3,4.5,1.7,3.45,4.3,1.7,3.35,4.4,1.8,3.1,3.8,1.67,3.25,4.5,1.67,3.4,4.33,1.65,3.3,4.6,1.71,1.95,1.7,1.9,-0.5,,,
B1,2004-10-23,Bergen,Lokeren,0,1,A,0,1,A,2.5,3.1,2.5,2.4,3.2,2.6,2.5,3.2,2.5,2.4,2.9,2.7,2.4,3.25,2.5,2.5,3.25,2.4,2.45,3.1,2.55,1.75,1.9,2.5,1.4,-0.5,,,
B1,2004-10-23,Gent,Charleroi,3,1,H,2,1,H,1.83,3.25,3.6,1.85,3.35,3.65,1.85,3.3,3.75,1.8,3.1,3.8,1.8,3.5,3.5,1.85,3.25,3.6,1.85,3.3,3.5,1.65,2.0,1.85,1.76,-0.5,,,
B1,2004-10-23,St Truiden,FC Brussels,2,0,H,0,0,D,2.0,3.2,3.2,1.95,3.25,3.4,2.0,3.25,3.3,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.2,3.2,2.0,3.15,3.2,1.75,1.9,2.0,1.64,-0.5,,,
B1,2004-10-23,Westerlo,Mouscron,0,1,A,0,1,A,2.1,3.2,3.0,2.1,3.25,3.05,2.1,3.25,3.0,2.2,3.0,2.9,1.91,3.25,3.4,2.1,3.2,3.0,2.05,3.2,3.05,1.75,1.9,2.1,1.56,-0.5,,,
B1,2004-10-24,Anderlecht,Genk,4,2,H,0,1,A,1.4,3.75,7.0,1.35,4.2,7.5,1.4,4.1,6.5,1.45,3.8,5.4,1.5,3.4,6.0,1.44,3.75,6.0,1.44,3.6,6.5,1.6,2.1,1.95,1.52,-1.5,,,
B1,2004-10-24,Beveren,Cercle Brugge,5,1,H,2,0,H,2.0,3.2,3.2,2.0,3.25,3.3,2.0,3.25,3.3,2.1,3.0,3.1,1.91,3.4,3.25,1.91,3.2,3.5,1.9,3.25,3.4,1.71,1.95,2.0,1.64,-0.5,,,
B1,2004-10-24,Club Brugge,Louvieroise,2,0,H,1,0,H,1.33,4.33,7.0,1.4,4.0,6.75,1.35,4.35,7.0,1.3,4.2,8.0,1.4,3.75,7.0,1.33,4.33,7.0,1.36,3.7,8.0,1.6,2.1,1.85,1.6,-1.5,,,
B1,2004-10-24,Germinal,Standard,1,0,H,0,0,D,3.0,3.2,2.1,3.3,3.25,2.0,3.0,3.25,2.1,3.2,3.1,2.0,2.75,3.25,2.2,3.0,3.2,2.1,2.8,3.2,2.2,1.71,1.95,1.56,2.1,0.5,,,
B1,2004-10-24,Oostende,Lierse,2,3,A,2,2,D,2.37,3.1,2.62,2.25,3.2,2.8,2.4,3.2,2.6,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.25,2.5,2.35,3.15,2.6,1.75,1.9,2.4,1.43,-0.5,,,
B1,2004-10-29,Standard,Club Brugge,1,4,A,1,1,D,2.75,3.2,2.25,2.9,3.2,2.2,2.8,3.1,2.3,2.9,3.0,2.2,2.62,3.4,2.25,2.75,3.2,2.25,2.8,3.3,2.15,,,1.47,2.3,0.5,,,
B1,2004-10-30,Charleroi,Oostende,1,0,H,1,0,H,1.53,3.5,5.5,1.55,3.6,5.3,1.55,3.5,5.5,1.55,3.5,4.8,1.44,3.6,6.5,1.53,3.6,5.2,1.55,3.6,5.0,1.6,2.1,1.55,2.14,-0.5,,,
B1,2004-10-30,FC Brussels,Beveren,1,3,A,1,2,A,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,3.0,2.9,2.25,3.4,2.62,2.25,3.2,2.75,2.25,3.1,2.8,1.79,1.85,2.3,1.48,-0.5,,,
B1,2004-10-30,Genk,St Truiden,1,0,H,1,0,H,1.5,3.4,6.0,1.45,3.8,6.25,1.45,3.8,6.3,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.6,5.5,1.55,3.6,5.0,1.6,2.1,1.45,2.37,-0.5,,,
B1,2004-10-30,Lokeren,Anderlecht,2,2,D,2,1,H,4.0,3.4,1.72,3.55,3.3,1.9,4.0,3.4,1.75,3.8,3.3,1.75,3.6,3.4,1.8,4.0,3.4,1.73,3.75,3.3,1.8,1.65,2.0,1.84,1.75,0.5,,,
B1,2004-10-30,Louvieroise,Bergen,4,0,H,2,0,H,1.61,3.25,5.0,1.55,3.6,5.3,1.55,3.6,5.25,1.55,3.5,4.8,1.57,3.5,5.0,1.57,3.5,5.0,1.5,3.6,5.5,1.71,1.95,1.55,2.14,-0.5,,,
