,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
282,0,B1,Mouscron,H,0,2005-05-07,D,Cercle Brugge,1,0,Cercle Brugge_Mouscron_2004
283,1,B1,FC Brussels,A,0,2005-05-07,H,Charleroi,1,2,Charleroi_FC Brussels_2004
284,1,B1,Louvieroise,H,1,2005-05-07,D,Gent,2,1,Gent_Louvieroise_2004
285,0,B1,Genk,A,2,2005-05-07,A,Lierse,1,5,Lierse_Genk_2004
286,0,B1,Lokeren,A,1,2005-05-08,A,Oostende,0,2,Oostende_Lokeren_2004
287,0,B1,Westerlo,H,0,2005-05-08,D,St Truiden,1,0,St Truiden_Westerlo_2004
288,0,B1,Mouscron,A,0,2005-05-15,D,Bergen,0,2,Bergen_Mouscron_2004
289,2,B1,Anderlecht,D,1,2005-05-15,H,Club Brugge,2,2,Club Brugge_Anderlecht_2004
290,1,B1,Cercle Brugge,H,0,2005-05-15,H,FC Brussels,2,1,FC Brussels_Cercle Brugge_2004
291,0,B1,Charleroi,H,0,2005-05-15,D,Genk,2,0,Genk_Charleroi_2004
292,2,B1,St Truiden,H,0,2005-05-15,H,Germinal,3,1,Germinal_St Truiden_2004
293,0,B1,Lierse,A,1,2005-05-15,A,Lokeren,0,2,Lokeren_Lierse_2004
294,1,B1,Oostende,H,0,2005-05-15,H,Louvieroise,2,0,Louvieroise_Oostende_2004
295,0,B1,Gent,H,0,2005-05-15,D,Standard,3,0,Standard_Gent_2004
296,0,B1,Beveren,D,0,2005-05-15,D,Westerlo,1,1,Westerlo_Beveren_2004
297,1,B1,Bergen,H,0,2005-05-21,H,Anderlecht,2,1,Anderlecht_Bergen_2004
298,0,B1,Genk,A,0,2005-05-21,D,Cercle Brugge,1,3,Cercle Brugge_Genk_2004
299,2,B1,Lokeren,H,0,2005-05-21,H,Charleroi,2,1,Charleroi_Lokeren_2004
300,1,B1,Westerlo,H,0,2005-05-21,H,Gent,1,0,Gent_Westerlo_2004
301,2,B1,Beveren,H,0,2005-05-21,H,Germinal,3,1,Germinal_Beveren_2004
302,4,B1,Louvieroise,H,0,2005-05-21,H,Lierse,7,0,Lierse_Louvieroise_2004
303,2,B1,FC Brussels,H,0,2005-05-21,H,Mouscron,2,0,Mouscron_FC Brussels_2004
304,1,B1,Standard,D,1,2005-05-21,D,Oostende,1,1,Oostende_Standard_2004
305,2,B1,Club Brugge,H,1,2005-05-21,H,St Truiden,3,2,St Truiden_Club Brugge_2004
