,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
116,3.4,1.75,4.5,-0.75,1.67,4.33,3.5,4.1,4.33,1.62,4.4,3.4,1.66,1.7,4.9,1.6,4.0,1.92,1.7,3.4,1.975,1.875,1.75,-0.5,1.9,3.2,3.5,3.4,1.7,Westerlo,Bergen,Westerlo_Bergen_2004
117,5.0,1.25,10.0,-1.75,1.25,9.0,5.0,11.0,10.0,1.25,9.0,4.5,1.25,1.2,9.0,1.25,9.0,3.21,1.25,4.75,1.925,1.925,1.55,-0.5,2.2,4.5,4.5,5.0,1.25,Anderlecht,Westerlo,Anderlecht_Westerlo_2004
118,3.2,2.2,2.5,0.0,2.38,2.62,3.2,2.62,2.62,2.25,2.7,3.25,2.3,2.3,2.75,2.3,2.9,1.46,2.35,3.1,1.775,2.075,1.83,-0.5,1.83,3.0,3.5,3.2,2.35,Beveren,Louvieroise,Beveren_Louvieroise_2004
119,3.25,1.9,3.5,-0.5,1.83,3.6,3.3,3.8,3.6,1.8,3.65,3.3,1.83,1.8,3.7,1.85,3.5,1.75,1.85,3.3,1.925,1.925,1.6,-0.5,2.1,3.1,3.5,3.35,1.85,Charleroi,Cercle Brugge,Charleroi_Cercle Brugge_2004
120,3.2,1.85,3.6,-0.5,1.8,3.75,3.4,4.33,3.75,1.8,3.8,3.3,1.8,1.72,3.8,1.8,3.6,1.79,1.8,3.3,1.925,1.925,1.65,-0.5,2.0,3.1,3.4,3.4,1.8,Gent,Lokeren,Gent_Lokeren_2004
121,3.25,3.8,1.8,0.5,3.5,1.91,3.4,1.72,1.83,3.75,1.85,3.4,3.5,4.2,1.8,3.8,1.8,1.85,3.65,3.2,2.0,1.85,1.75,0.5,1.9,3.1,3.25,3.35,1.75,Oostende,Genk,Oostende_Genk_2004
122,3.1,2.4,2.5,0.0,2.5,2.5,3.2,2.5,2.5,2.38,2.5,3.1,2.5,2.5,2.4,2.6,2.6,1.4,2.5,3.1,1.875,1.975,1.83,-0.5,1.83,3.0,3.25,3.2,2.5,Bergen,Germinal,Bergen_Germinal_2004
123,5.0,1.25,10.0,-1.75,1.2,9.5,5.0,11.0,11.0,1.25,9.0,5.0,1.2,1.2,9.0,1.25,9.0,3.21,1.25,5.5,1.875,1.975,1.5,-0.5,2.3,4.5,4.5,5.0,1.25,Club Brugge,Mouscron,Club Brugge_Mouscron_2004
124,3.4,1.6,5.0,-0.75,1.57,5.0,3.5,4.8,5.0,1.57,5.0,3.5,1.57,1.61,5.0,1.6,4.6,2.06,1.6,3.5,1.75,2.1,1.71,-0.5,1.95,3.4,3.5,3.5,1.6,Lierse,FC Brussels,Lierse_FC Brussels_2004
125,3.2,3.2,2.0,0.25,3.2,2.0,3.25,1.9,2.1,3.0,2.1,3.2,3.0,3.5,2.15,2.95,2.0,2.0,3.15,3.2,2.1,1.75,1.83,0.5,1.83,3.1,3.4,3.15,1.64,St Truiden,Standard,St Truiden_Standard_2004
126,3.3,2.1,3.0,-0.25,2.0,3.2,3.25,3.0,3.2,2.0,3.05,3.2,2.0,2.05,3.3,2.0,3.1,1.57,2.1,3.2,1.725,2.125,1.75,-0.5,1.9,3.0,3.4,3.25,2.1,Louvieroise,Gent,Louvieroise_Gent_2004
127,3.4,1.85,3.0,-0.5,2.0,3.2,3.25,2.9,2.87,2.0,3.25,3.3,2.1,2.05,3.15,2.05,3.6,1.64,2.0,3.2,1.975,1.875,1.75,-0.5,1.9,3.1,3.4,3.3,2.0,Mouscron,Cercle Brugge,Mouscron_Cercle Brugge_2004
128,6.5,1.15,15.0,-2.0,1.14,12.0,6.0,12.0,15.0,1.11,14.0,6.5,1.1,1.12,13.0,1.15,12.0,,1.15,6.0,1.775,2.075,1.35,,2.75,6.0,6.5,6.0,,Club Brugge,Bergen,Club Brugge_Bergen_2004
129,3.4,1.65,4.0,-0.75,1.75,4.0,3.45,4.5,4.0,1.73,4.4,3.4,1.72,1.65,4.3,1.7,4.4,1.92,1.7,3.3,1.925,1.925,1.71,-0.5,1.95,3.3,3.4,3.4,1.7,Genk,Lierse,Genk_Lierse_2004
130,3.5,3.8,1.73,0.5,4.0,1.73,3.4,1.75,1.72,4.0,1.8,3.4,4.0,3.75,1.75,4.05,1.8,1.8,4.0,3.4,1.975,1.875,1.71,0.5,1.95,3.1,3.4,3.3,1.81,Germinal,Anderlecht,Germinal_Anderlecht_2004
