,WHD,IWH,SBH,SBA,WHA,B365A,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
30,3.2,2.3,2.5,2.5,2.45,2.5,2.55,3.2,2.5,2.4,2.6,,2.4,3.2,1.79,,1.85,3.1,3.2,,Cercle Brugge,Germinal,Cercle Brugge_Germinal_2003
31,3.4,1.6,1.66,4.5,4.25,4.5,4.5,3.5,1.615,1.65,4.6,,1.65,3.25,1.71,,1.95,3.4,3.45,,Louvieroise,Charleroi,Louvieroise_Charleroi_2003
32,3.65,1.6,1.61,5.0,4.6,4.5,4.5,3.5,1.615,1.55,4.6,,1.63,3.4,1.55,,2.2,3.4,3.55,,St Truiden,Westerlo,St Truiden_Westerlo_2003
33,3.4,2.3,2.4,2.5,2.4,2.5,2.5,3.2,2.5,2.35,2.5,,2.45,3.3,1.65,,2.0,3.2,3.2,,Bergen,Lokeren,Bergen_Lokeren_2003
34,4.0,1.65,1.53,5.5,5.0,5.0,5.1,3.5,1.571,1.45,4.4,,1.53,3.5,1.5,,2.3,3.3,3.7,,Genk,Mouscron,Genk_Mouscron_2003
35,4.25,1.45,1.4,6.5,5.3,7.0,6.3,3.75,1.4,1.4,5.4,,1.43,4.0,1.6,,2.1,3.8,3.8,,Gent,Heusden Zolder,Gent_Heusden Zolder_2003
36,3.25,2.8,2.8,2.25,2.25,2.2,2.2,3.25,2.75,2.6,2.1,,2.8,3.2,1.71,,1.95,3.3,3.2,,Heusden Zolder,St Truiden,Heusden Zolder_St Truiden_2003
37,3.3,2.2,2.1,3.0,2.8,2.75,3.1,3.25,2.2,2.1,2.8,,2.02,3.25,1.55,,2.2,3.1,3.25,,Charleroi,Antwerp,Charleroi_Antwerp_2003
38,5.0,1.3,1.28,8.5,7.0,8.0,8.5,5.0,1.25,1.28,8.0,,1.25,4.5,1.4,,2.6,4.2,4.75,,Club Brugge,Gent,Club Brugge_Gent_2003
39,3.35,1.85,1.9,3.5,3.35,3.4,3.3,3.25,1.9,1.85,3.4,,1.95,3.25,1.71,,1.95,3.3,3.25,,Germinal,Louvieroise,Germinal_Louvieroise_2003
40,3.5,4.0,4.5,1.66,1.61,1.66,1.67,3.6,4.0,4.5,1.65,,4.35,3.4,1.5,,2.3,3.5,3.4,,Lokeren,Anderlecht,Lokeren_Anderlecht_2003
41,3.35,1.85,1.8,3.75,3.35,3.6,3.75,3.4,1.8,1.85,3.4,,1.8,3.4,1.5,,2.3,3.3,3.35,,Westerlo,Beveren,Westerlo_Beveren_2003
42,3.4,2.6,2.5,2.4,2.25,2.5,2.4,3.25,2.37,2.5,2.2,,2.6,3.3,1.71,,1.95,3.3,3.1,,Bergen,Lierse,Bergen_Lierse_2003
43,3.4,1.55,1.57,5.5,3.7,5.0,6.0,3.5,1.57,1.75,4.4,,1.5,3.4,1.6,,2.1,3.7,3.5,,Mouscron,Cercle Brugge,Mouscron_Cercle Brugge_2003
44,3.5,1.65,1.75,4.0,3.8,4.0,3.85,3.4,1.72,1.72,4.0,,1.75,3.4,1.6,,2.1,3.5,3.4,,Standard,Genk,Standard_Genk_2003
45,6.0,1.17,1.16,12.0,12.0,11.0,12.0,5.0,1.2,1.14,11.0,,1.15,5.75,1.4,,2.6,5.5,5.85,,Anderlecht,Westerlo,Anderlecht_Westerlo_2003
46,3.35,1.7,1.75,4.0,3.75,4.0,4.2,3.4,1.72,1.75,4.0,,1.7,3.4,1.65,,2.0,3.3,3.4,,Beveren,Heusden Zolder,Beveren_Heusden Zolder_2003
47,3.4,3.8,4.0,1.75,1.66,1.8,1.75,3.4,3.6,4.33,1.7,,3.85,3.4,1.71,,1.95,3.4,3.45,,Cercle Brugge,Standard,Cercle Brugge_Standard_2003
48,5.0,1.35,1.25,9.5,7.25,8.0,9.0,4.5,1.28,1.25,7.0,,1.23,4.75,1.5,,2.3,4.0,5.0,,Genk,Bergen,Genk_Bergen_2003
49,4.5,1.45,1.4,7.0,5.8,6.0,6.3,3.75,1.44,1.35,5.4,,1.4,3.8,1.6,,2.1,3.8,4.0,,Gent,Charleroi,Gent_Charleroi_2003
50,3.1,2.2,2.0,3.25,3.15,3.25,3.35,3.4,1.9,2.0,2.8,,1.9,3.25,1.71,,1.95,3.1,3.35,,Louvieroise,Mouscron,Louvieroise_Mouscron_2003
51,3.3,2.1,2.1,3.0,3.0,2.62,2.9,3.4,2.2,2.0,2.9,,2.15,3.25,1.6,,2.1,3.2,3.2,,Antwerp,Germinal,Antwerp_Germinal_2003
52,3.4,1.7,1.7,4.33,4.2,4.0,4.25,3.4,1.72,1.65,3.8,,1.7,3.4,1.71,,1.95,3.4,3.35,,Lierse,Lokeren,Lierse_Lokeren_2003
53,3.5,3.6,4.5,1.66,1.57,1.66,1.62,3.4,4.33,5.0,1.75,,4.5,3.4,1.6,,2.3,3.4,3.5,,St Truiden,Club Brugge,St Truiden_Club Brugge_2003
54,3.25,2.2,2.3,2.5,2.65,2.6,2.7,3.4,2.25,2.2,2.8,,2.33,3.4,1.6,,2.1,3.1,3.15,,Germinal,Gent,Germinal_Gent_2003
55,,7.0,7.0,1.36,,1.36,1.35,4.0,7.0,,1.3,,7.5,4.0,1.5,,2.3,4.5,4.15,,Heusden Zolder,Anderlecht,Heusden Zolder_Anderlecht_2003
56,3.25,1.8,1.85,3.6,3.05,3.75,3.7,3.25,1.83,2.0,3.6,,1.85,3.25,1.71,,1.95,3.3,3.3,,Bergen,Cercle Brugge,Bergen_Cercle Brugge_2003
57,3.25,3.0,2.75,2.2,2.2,2.1,2.2,3.4,2.87,2.65,2.0,,2.9,3.25,1.71,,1.95,3.3,3.15,,Charleroi,St Truiden,Charleroi_St Truiden_2003
58,6.0,1.17,1.2,9.0,12.0,9.0,12.0,5.5,1.2,1.14,11.0,,1.17,5.5,1.45,,2.45,5.5,5.6,,Club Brugge,Beveren,Club Brugge_Beveren_2003
59,3.3,2.3,2.37,2.5,2.55,2.62,2.62,3.25,2.3,2.25,2.6,,2.4,3.25,1.75,,1.9,3.1,3.15,,Lierse,Genk,Lierse_Genk_2003
60,3.4,1.55,1.61,4.5,3.9,4.0,4.7,3.6,1.66,1.7,4.8,,1.6,3.5,1.6,,2.1,3.5,3.6,,Mouscron,Antwerp,Mouscron_Antwerp_2003
61,3.6,1.45,1.5,5.5,5.5,5.5,5.25,3.5,1.53,1.5,5.4,,1.52,3.6,1.71,,1.95,3.8,3.75,,Standard,Louvieroise,Standard_Louvieroise_2003
62,3.3,1.85,1.85,3.6,3.4,3.5,3.75,3.25,1.9,1.85,3.4,,1.83,3.25,1.65,,2.0,3.3,3.3,,Lokeren,Westerlo,Lokeren_Westerlo_2003
63,3.3,2.0,1.8,3.75,3.6,3.75,3.65,3.3,1.8,1.8,3.0,,1.85,3.4,1.71,,1.95,3.3,3.33,,Beveren,Charleroi,Beveren_Charleroi_2003
64,3.9,1.4,1.4,7.0,5.25,7.0,6.5,3.75,1.4,1.45,6.0,,1.43,3.75,1.45,,2.45,3.9,3.85,,Genk,Lokeren,Genk_Lokeren_2003
65,3.3,2.0,1.9,3.5,3.6,3.4,3.45,3.25,1.9,1.8,3.0,,1.95,3.25,1.5,,2.3,3.3,3.2,,Gent,Mouscron,Gent_Mouscron_2003
66,3.45,1.7,1.66,4.5,3.6,4.5,5.0,3.5,1.61,1.75,4.2,,1.6,3.4,1.71,,1.95,3.2,3.45,,Louvieroise,Bergen,Louvieroise_Bergen_2003
67,3.6,1.5,1.53,5.0,5.2,4.5,5.1,3.5,1.61,1.5,5.0,,1.55,3.75,1.5,,2.3,3.7,3.65,,Westerlo,Heusden Zolder,Westerlo_Heusden Zolder_2003
68,3.3,1.8,1.9,3.5,3.3,3.4,3.55,3.25,1.9,1.9,3.8,,1.9,3.25,1.6,,2.1,3.1,3.25,,Anderlecht,Club Brugge,Anderlecht_Club Brugge_2003
69,3.3,2.5,2.8,2.2,2.1,2.25,2.2,3.25,2.7,2.87,2.3,,2.88,3.25,1.65,,2.0,3.2,3.2,,Antwerp,Standard,Antwerp_Standard_2003
70,3.25,2.5,2.62,2.3,2.2,2.3,2.2,3.25,2.6,2.65,2.3,,2.88,3.3,1.71,,1.95,3.2,3.2,,Cercle Brugge,Lierse,Cercle Brugge_Lierse_2003
71,3.5,1.7,1.66,4.5,3.8,3.6,5.0,3.3,1.83,1.7,4.2,,1.6,3.4,1.45,,2.45,3.2,3.45,,St Truiden,Germinal,St Truiden_Germinal_2003
72,4.5,8.0,7.0,1.4,1.3,1.4,1.4,4.0,6.5,7.5,1.3,,6.5,3.75,1.5,,2.3,4.2,4.0,,Charleroi,Anderlecht,Charleroi_Anderlecht_2003
73,3.25,1.8,1.9,3.4,3.15,3.5,3.4,3.4,1.83,1.95,3.6,,1.9,3.25,1.75,,1.9,3.3,3.3,,Bergen,Antwerp,Bergen_Antwerp_2003
74,5.0,1.2,1.2,11.0,11.0,11.0,12.0,5.5,1.16,1.2,10.0,,1.18,5.0,1.4,,2.6,5.0,5.2,,Club Brugge,Westerlo,Club Brugge_Westerlo_2003
75,3.5,1.7,1.8,3.6,3.8,3.5,3.7,3.5,1.8,1.7,4.0,,1.8,3.4,1.85,,1.79,3.3,3.4,,Germinal,Beveren,Germinal_Beveren_2003
76,3.25,1.65,1.66,4.2,3.3,3.5,3.4,3.4,1.83,1.9,4.2,,1.9,3.5,1.71,,1.95,3.4,3.3,,Lokeren,Heusden Zolder,Lokeren_Heusden Zolder_2003
77,3.4,1.9,1.85,3.4,4.6,4.33,4.25,3.4,1.66,1.6,3.4,,1.67,3.4,1.71,,1.95,3.2,3.5,,Mouscron,St Truiden,Mouscron_St Truiden_2003
78,3.3,1.8,1.75,3.75,3.6,3.5,4.0,3.5,1.8,1.83,3.6,,1.75,3.5,1.85,,1.79,3.3,3.3,,Standard,Gent,Standard_Gent_2003
79,4.0,1.3,1.33,8.0,8.5,8.0,8.5,4.33,1.3,1.3,8.0,,1.3,4.0,1.65,,2.0,4.2,4.25,,Genk,Cercle Brugge,Genk_Cercle Brugge_2003
80,3.3,1.85,1.8,3.6,3.6,3.6,3.65,3.4,1.8,1.8,3.5,,1.85,3.4,1.79,,1.85,3.2,3.3,,Lierse,Louvieroise,Lierse_Louvieroise_2003
81,5.5,1.17,1.16,12.0,12.0,9.5,10.0,5.0,1.22,1.16,11.0,,1.22,5.5,1.45,,2.45,5.5,5.0,,Anderlecht,Germinal,Anderlecht_Germinal_2003
82,3.3,2.7,2.7,2.25,2.4,2.25,2.2,3.2,2.75,2.4,2.2,,2.75,3.25,1.75,,1.9,3.2,3.25,,Antwerp,Lierse,Antwerp_Lierse_2003
83,3.3,2.7,2.5,2.3,2.3,2.5,2.35,3.25,2.37,2.5,2.2,,2.55,3.4,1.71,,1.95,3.2,3.25,,Beveren,Mouscron,Beveren_Mouscron_2003
84,3.3,1.65,1.57,5.0,4.4,4.5,5.1,3.5,1.61,1.65,4.4,,1.57,3.5,1.9,,1.75,3.3,3.45,,Gent,Bergen,Gent_Bergen_2003
85,3.15,2.7,2.75,2.25,2.15,2.37,2.27,3.25,2.5,2.8,2.2,,2.65,3.2,1.75,,1.9,3.2,3.25,,Louvieroise,Genk,Louvieroise_Genk_2003
86,3.3,2.2,2.0,3.2,3.0,3.0,3.15,3.2,2.1,2.0,2.7,,2.0,3.2,1.9,,1.75,3.2,3.25,,Cercle Brugge,Lokeren,Cercle Brugge_Lokeren_2003
87,4.5,9.0,8.0,1.3,1.28,1.3,1.3,4.33,8.0,8.0,1.25,,8.0,4.33,1.4,,2.6,4.5,4.3,,Heusden Zolder,Club Brugge,Heusden Zolder_Club Brugge_2003
88,3.3,2.4,2.5,2.5,2.3,2.5,2.5,3.25,2.37,2.6,2.4,,2.4,3.1,1.9,,1.75,3.2,3.25,,St Truiden,Standard,St Truiden_Standard_2003
89,3.4,1.65,1.61,4.75,4.6,4.5,4.75,3.5,1.61,1.6,4.4,,1.6,3.4,1.85,,1.79,3.3,3.45,,Westerlo,Charleroi,Westerlo_Charleroi_2003
90,3.35,2.1,2.0,3.2,2.85,3.0,3.1,3.2,2.1,2.05,2.9,,2.05,3.2,1.55,,2.2,3.2,3.2,,Lierse,Gent,Lierse_Gent_2003
91,3.4,3.6,4.0,1.73,1.72,1.66,1.85,3.4,4.33,4.0,1.8,,3.6,3.4,1.4,,2.6,3.3,3.3,,Mouscron,Anderlecht,Mouscron_Anderlecht_2003
92,3.1,2.2,2.3,2.6,2.7,2.62,2.7,3.2,2.37,2.25,2.8,,2.35,3.3,1.79,,1.85,3.1,3.1,,Bergen,St Truiden,Bergen_St Truiden_2003
93,,1.35,1.33,7.0,,7.0,7.0,4.33,1.33,,7.0,,1.32,4.33,1.4,,2.6,4.0,4.5,,Genk,Antwerp,Genk_Antwerp_2003
94,3.3,1.85,1.91,3.4,3.1,3.4,3.5,3.25,1.9,1.95,3.4,,1.9,3.25,1.6,,2.1,3.3,3.25,,Germinal,Westerlo,Germinal_Westerlo_2003
95,3.3,4.6,5.0,1.57,1.61,1.5,1.5,3.6,5.5,5.0,1.55,,5.0,3.5,1.4,,2.6,3.6,3.8,,Lokeren,Club Brugge,Lokeren_Club Brugge_2003
96,3.9,1.3,1.33,7.5,7.0,7.0,7.0,3.75,1.4,1.35,8.0,,1.35,4.2,1.5,,2.3,4.2,4.15,,Standard,Beveren,Standard_Beveren_2003
97,3.2,2.7,2.4,2.6,2.55,2.5,2.65,3.25,2.4,2.3,2.3,,2.35,3.1,1.71,,1.95,3.0,3.2,,Cercle Brugge,Louvieroise,Cercle Brugge_Louvieroise_2003
98,3.3,1.8,1.91,3.25,3.1,3.2,3.6,3.2,2.0,1.95,3.6,,1.85,3.4,1.83,,1.83,3.3,3.25,,Charleroi,Heusden Zolder,Charleroi_Heusden Zolder_2003
99,3.3,2.4,2.6,2.3,2.35,2.3,2.3,3.4,2.5,2.45,2.4,,2.65,3.25,1.79,,1.85,3.2,3.2,,Gent,Genk,Gent_Genk_2003
100,3.25,2.0,2.0,3.2,3.05,3.2,3.25,3.2,2.0,2.0,3.2,,2.0,3.2,1.75,,1.9,3.1,3.2,,Antwerp,Cercle Brugge,Antwerp_Cercle Brugge_2003
101,3.3,2.2,2.4,2.5,2.45,2.37,2.45,3.25,2.5,2.35,2.7,,2.5,3.25,1.83,,1.83,3.2,3.2,,Heusden Zolder,Germinal,Heusden Zolder_Germinal_2003
102,3.25,1.9,1.9,3.4,3.05,3.75,3.65,3.25,1.8,2.0,3.3,,1.85,3.25,1.71,,1.95,3.3,3.25,,Louvieroise,Lokeren,Louvieroise_Lokeren_2003
103,3.3,2.1,2.1,3.0,2.8,3.0,3.0,3.2,2.1,2.1,2.9,,2.1,3.2,1.75,,1.9,3.2,3.2,,St Truiden,Lierse,St Truiden_Lierse_2003
104,3.25,2.4,2.3,2.6,2.6,2.5,2.6,3.25,2.37,2.25,2.4,,2.4,3.25,1.65,,2.0,3.2,3.2,,Westerlo,Mouscron,Westerlo_Mouscron_2003
105,3.6,1.55,1.53,5.5,5.5,5.5,5.0,3.6,1.5,1.5,4.8,,1.53,3.4,1.6,,2.1,3.5,3.7,,Anderlecht,Standard,Anderlecht_Standard_2003
106,3.25,2.1,2.1,3.0,2.6,3.0,3.1,3.4,2.0,2.25,3.0,,2.05,3.2,1.6,,2.1,3.1,3.2,,Beveren,Bergen,Beveren_Bergen_2003
107,5.6,1.2,1.2,11.0,8.0,8.0,9.0,5.0,1.25,1.2,10.0,,1.25,5.0,,,,5.0,4.85,,Club Brugge,Charleroi,Club Brugge_Charleroi_2003
108,4.2,6.0,7.0,1.4,1.36,1.4,1.42,4.0,6.5,6.5,1.4,,6.25,3.8,1.45,,2.45,3.9,3.85,,Bergen,Anderlecht,Bergen_Anderlecht_2003
109,3.4,4.6,4.33,1.67,1.66,1.61,1.5,3.6,4.33,4.33,1.6,,5.5,3.4,1.5,,2.3,3.4,3.75,,Germinal,Club Brugge,Germinal_Club Brugge_2003
110,,1.65,1.62,4.75,,4.33,4.75,3.4,1.66,,4.4,,1.6,3.4,1.5,,2.3,3.3,3.5,,Genk,St Truiden,Genk_St Truiden_2003
111,,1.65,1.67,4.33,,4.0,4.5,3.4,1.72,,4.4,,1.65,3.4,1.6,,2.1,3.3,3.4,,Lierse,Beveren,Lierse_Beveren_2003
112,,1.65,1.62,4.75,,4.5,4.75,3.5,1.61,,4.4,,1.6,3.4,1.71,,1.95,3.3,3.5,,Lokeren,Charleroi,Lokeren_Charleroi_2003
113,,1.3,1.36,7.0,,7.0,7.0,4.0,1.36,,8.0,,1.35,4.0,1.6,,2.1,4.2,4.2,,Mouscron,Heusden Zolder,Mouscron_Heusden Zolder_2003
114,3.75,1.35,1.44,6.5,6.0,5.0,5.6,3.75,1.53,1.44,7.0,,1.48,3.6,1.5,,2.3,4.0,3.7,,Standard,Westerlo,Standard_Westerlo_2003
115,3.2,2.5,2.3,2.75,2.55,2.5,2.6,3.25,2.4,2.3,2.7,,2.4,3.1,1.85,,1.79,2.8,3.1,,Cercle Brugge,Gent,Cercle Brugge_Gent_2003
116,3.3,1.65,1.67,4.33,4.1,4.33,4.75,3.4,1.66,1.7,4.4,,1.6,3.4,1.6,,2.1,3.3,3.5,,Louvieroise,Antwerp,Louvieroise_Antwerp_2003
117,5.0,1.22,1.22,9.0,11.0,8.0,10.0,4.5,1.28,1.2,9.5,,1.21,5.0,1.4,,2.6,4.8,5.25,,Anderlecht,Lierse,Anderlecht_Lierse_2003
118,3.3,2.1,2.1,3.0,3.0,3.0,3.1,3.2,2.1,2.0,2.9,,2.1,3.2,1.5,,2.3,3.2,3.1,,Antwerp,Lokeren,Antwerp_Lokeren_2003
119,3.3,3.4,3.2,2.0,2.05,2.1,2.0,3.4,2.8,2.9,1.85,,3.25,3.2,1.5,,2.3,3.3,3.2,,Beveren,Genk,Beveren_Genk_2003
120,3.3,2.1,2.2,2.8,2.8,2.75,2.85,3.25,2.2,2.1,2.9,,2.2,3.2,1.83,,1.83,3.2,3.2,,Charleroi,Germinal,Charleroi_Germinal_2003
121,3.3,2.1,2.05,3.0,2.8,3.0,3.1,3.2,2.1,2.1,3.2,,2.05,3.25,1.83,,1.83,2.9,3.2,,Gent,Louvieroise,Gent_Louvieroise_2003
122,3.4,1.55,1.57,5.0,4.2,5.0,5.0,3.5,1.57,1.65,4.8,,1.6,3.5,1.71,,1.95,3.5,3.4,,Westerlo,Bergen,Westerlo_Bergen_2003
123,3.6,1.45,1.44,6.0,5.5,6.0,6.5,3.75,1.44,1.5,5.4,,1.4,3.75,1.45,,2.45,3.8,3.9,,Club Brugge,Mouscron,Club Brugge_Mouscron_2003
124,3.5,5.4,5.0,1.57,1.57,1.61,1.6,3.5,4.5,5.0,1.45,,5.0,3.5,1.6,,2.1,3.8,3.4,,Heusden Zolder,Standard,Heusden Zolder_Standard_2003
125,3.4,1.7,1.67,4.33,4.6,4.33,4.25,3.2,1.72,1.6,4.0,,1.7,3.4,1.55,,2.2,3.3,3.4,,St Truiden,Cercle Brugge,St Truiden_Cercle Brugge_2003
126,3.2,2.0,2.0,3.2,3.0,2.75,2.85,3.2,2.25,2.1,3.1,,2.2,3.2,1.6,,2.1,3.2,3.2,,Standard,Club Brugge,Standard_Club Brugge_2003
127,3.2,2.6,2.5,2.4,2.4,2.4,2.4,3.25,2.5,2.45,2.3,,2.55,3.25,1.71,,1.95,3.1,3.2,,Antwerp,Gent,Antwerp_Gent_2003
128,3.3,2.9,2.75,2.2,2.1,2.25,2.4,3.2,2.75,2.87,2.1,,2.55,3.25,1.5,,2.3,3.2,3.2,,Genk,Anderlecht,Genk_Anderlecht_2003
129,3.3,1.9,1.9,3.4,3.0,3.2,3.35,3.2,2.0,2.0,3.4,,1.93,3.25,1.71,,1.95,3.2,3.3,,Lierse,Westerlo,Lierse_Westerlo_2003
130,3.25,2.0,2.1,3.0,2.75,3.0,3.15,3.2,2.1,2.15,3.1,,2.0,3.2,1.65,,2.0,3.2,3.3,,Lokeren,Germinal,Lokeren_Germinal_2003
131,3.1,2.2,2.1,3.0,2.95,2.8,2.9,3.2,2.2,2.1,2.9,,2.1,3.2,1.5,,2.3,3.0,3.35,,Louvieroise,St Truiden,Louvieroise_St Truiden_2003
132,3.5,1.5,1.44,6.0,5.4,5.5,5.6,3.5,1.53,1.5,5.0,,1.5,3.75,1.71,,1.95,3.7,3.6,,Mouscron,Charleroi,Mouscron_Charleroi_2003
133,3.35,1.8,1.75,4.0,4.0,3.6,3.75,3.4,1.8,1.7,3.7,,1.8,3.3,1.83,,1.83,3.2,3.35,,Bergen,Heusden Zolder,Bergen_Heusden Zolder_2003
134,3.35,1.9,1.72,4.0,4.0,3.6,4.15,3.4,1.8,1.7,3.3,,1.73,3.4,1.75,,1.9,3.3,3.3,,Cercle Brugge,Beveren,Cercle Brugge_Beveren_2003
135,3.5,4.2,5.0,1.57,1.57,1.615,1.65,3.5,4.5,5.0,1.7,,4.6,3.5,1.75,,1.9,3.2,3.4,,Charleroi,Standard,Charleroi_Standard_2003
136,3.2,2.3,2.37,2.62,2.55,2.5,2.7,3.3,2.375,2.3,2.5,,2.3,3.1,1.83,,1.83,3.2,3.2,,Heusden Zolder,Lierse,Heusden Zolder_Lierse_2003
137,3.2,2.1,2.0,3.2,3.1,3.0,3.2,3.4,2.0,2.0,3.0,,1.97,3.2,1.6,,2.1,3.1,3.3,,Beveren,Louvieroise,Beveren_Louvieroise_2003
138,5.0,1.2,1.2,11.0,11.0,9.5,12.8,5.0,1.222,1.2,10.0,,1.16,5.0,1.4,,2.6,5.0,5.5,,Club Brugge,Bergen,Club Brugge_Bergen_2003
