,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
211,19:00:00,1,Waregem,11,0,1,1,1,0,1,3,20,D,12,2020-02-22,Oostende,B1,6,3,3,10,D,5,Oostende_Waregem_2019
212,19:30:00,1,Waasland-Beveren,13,0,4,0,2,0,0,1,14,H,8,2020-02-22,Mechelen,B1,3,10,4,17,H,6,Mechelen_Waasland-Beveren_2019
213,13:30:00,0,Charleroi,14,0,1,0,1,0,0,1,13,H,9,2020-02-23,Club Brugge,B1,2,3,4,5,H,4,Club Brugge_Charleroi_2019
214,17:00:00,1,Eupen,15,1,6,1,4,0,0,2,9,H,5,2020-02-23,Anderlecht,B1,4,9,6,14,H,5,Anderlecht_Eupen_2019
215,19:00:00,3,St Truiden,9,0,4,1,3,0,0,1,14,H,6,2020-02-23,Gent,B1,3,7,6,15,H,5,Gent_St Truiden_2019
216,19:30:00,4,Mechelen,16,0,0,3,0,0,0,1,14,A,16,2020-02-28,St Truiden,B1,8,3,2,9,D,6,St Truiden_Mechelen_2019
217,17:00:00,0,Anderlecht,16,0,0,3,0,0,1,2,12,A,8,2020-02-29,Waasland-Beveren,B1,4,5,3,6,A,10,Waasland-Beveren_Anderlecht_2019
218,19:00:00,3,Mouscron,13,0,2,1,1,0,1,0,16,H,3,2020-02-29,Eupen,B1,2,4,3,8,D,4,Eupen_Mouscron_2019
219,19:00:00,2,Kortrijk,11,0,2,2,2,0,0,1,11,D,17,2020-02-29,Waregem,B1,7,6,6,9,H,4,Waregem_Kortrijk_2019
220,19:30:00,0,Oostende,11,0,3,1,2,0,0,2,10,H,7,2020-02-29,Antwerp,B1,3,6,2,8,H,6,Antwerp_Oostende_2019
221,13:30:00,2,Club Brugge,15,0,1,2,1,0,1,4,22,A,10,2020-03-01,Genk,B1,5,7,5,7,D,4,Genk_Club Brugge_2019
222,17:00:00,1,Standard,7,0,2,0,1,0,0,4,19,H,4,2020-03-01,Charleroi,B1,1,6,9,10,H,7,Charleroi_Standard_2019
223,19:00:00,2,Gent,9,0,1,0,1,0,0,1,9,H,15,2020-03-01,Cercle Brugge,B1,9,2,4,6,H,4,Cercle Brugge_Gent_2019
224,19:00:00,2,Waregem,11,0,7,0,2,0,0,2,11,H,8,2020-03-07,Anderlecht,B1,4,8,4,11,H,3,Anderlecht_Waregem_2019
225,19:00:00,0,Cercle Brugge,16,0,2,1,1,0,0,0,8,H,6,2020-03-07,Club Brugge,B1,4,5,5,15,H,4,Club Brugge_Cercle Brugge_2019
226,19:00:00,3,Charleroi,16,0,1,4,0,1,2,1,12,A,14,2020-03-07,Gent,B1,8,5,3,5,A,4,Gent_Charleroi_2019
227,19:00:00,3,Antwerp,17,0,0,1,0,0,0,0,12,A,12,2020-03-07,Kortrijk,B1,5,4,6,10,D,7,Kortrijk_Antwerp_2019
228,19:00:00,0,Eupen,12,0,1,1,1,0,0,2,9,D,4,2020-03-07,Mechelen,B1,1,8,8,20,H,2,Mechelen_Eupen_2019
229,19:00:00,3,Waasland-Beveren,12,0,1,0,0,0,0,3,12,H,8,2020-03-07,Mouscron,B1,1,6,8,10,D,2,Mouscron_Waasland-Beveren_2019
230,19:00:00,2,Genk,11,0,2,4,1,1,0,1,15,A,12,2020-03-07,Oostende,B1,8,4,3,7,H,6,Oostende_Genk_2019
231,19:00:00,0,St Truiden,14,0,0,0,0,1,0,4,21,D,9,2020-03-07,Standard,B1,5,3,4,7,D,4,Standard_St Truiden_2019
