,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
31,21,3,Gent,13,1,3,2,0,0,2,3,H,9,2017-08-20,Mouscron,B1,7,9,7,16,A,1,Mouscron_Gent_2017
32,22,2,Mouscron,15,0,1,1,1,0,0,0,D,20,2017-08-25,Kortrijk,B1,9,5,2,14,H,3,Kortrijk_Mouscron_2017
33,12,2,Waregem,22,1,3,2,0,0,1,2,H,6,2017-08-26,Charleroi,B1,3,5,3,10,A,3,Charleroi_Waregem_2017
34,17,4,Mechelen,18,0,1,0,1,1,0,2,H,4,2017-08-26,Genk,B1,2,5,5,8,H,3,Genk_Mechelen_2017
35,13,3,Eupen,9,0,3,0,0,0,0,1,H,12,2017-08-26,Lokeren,B1,3,9,7,15,D,2,Lokeren_Eupen_2017
36,14,2,Waasland-Beveren,23,0,1,0,0,0,0,3,H,8,2017-08-26,St Truiden,B1,3,6,5,10,D,4,St Truiden_Waasland-Beveren_2017
37,18,2,Standard,21,0,4,0,2,0,0,3,H,11,2017-08-27,Club Brugge,B1,5,7,1,11,H,12,Club Brugge_Standard_2017
38,16,3,Anderlecht,20,0,0,0,0,0,0,3,D,6,2017-08-27,Gent,B1,4,4,10,12,D,3,Gent_Anderlecht_2017
39,10,0,Antwerp,24,0,3,4,1,0,0,3,A,13,2017-08-27,Oostende,B1,8,8,8,15,H,3,Oostende_Antwerp_2017
40,18,2,Lokeren,11,0,3,2,1,0,2,3,H,5,2017-09-08,Anderlecht,B1,5,9,15,15,A,2,Anderlecht_Lokeren_2017
41,18,3,St Truiden,15,0,1,1,0,0,0,4,D,7,2017-09-09,Antwerp,B1,3,3,11,14,D,2,Antwerp_St Truiden_2017
42,13,2,Club Brugge,12,0,2,1,2,0,1,2,H,9,2017-09-09,Mouscron,B1,3,6,2,7,H,10,Mouscron_Club Brugge_2017
43,16,0,Eupen,13,0,5,1,3,0,0,1,H,6,2017-09-09,Waasland-Beveren,B1,6,9,4,16,H,4,Waasland-Beveren_Eupen_2017
44,14,2,Kortrijk,15,0,2,2,1,0,2,3,D,11,2017-09-09,Waregem,B1,3,3,5,5,A,7,Waregem_Kortrijk_2017
45,23,3,Genk,18,0,1,1,1,0,0,2,D,12,2017-09-10,Gent,B1,2,3,4,7,H,9,Gent_Genk_2017
46,22,2,Oostende,26,0,1,1,0,1,0,3,D,9,2017-09-10,Mechelen,B1,3,6,9,11,D,2,Mechelen_Oostende_2017
47,23,3,Charleroi,19,0,0,0,0,0,0,2,D,6,2017-09-10,Standard,B1,4,3,5,5,D,3,Standard_Charleroi_2017
48,25,3,Mechelen,18,0,2,0,2,0,0,2,H,15,2017-09-15,Club Brugge,B1,6,6,3,13,H,11,Club Brugge_Mechelen_2017
49,16,1,Waasland-Beveren,17,0,2,2,0,0,0,0,D,9,2017-09-16,Charleroi,B1,5,5,3,13,D,2,Charleroi_Waasland-Beveren_2017
50,29,2,Anderlecht,29,0,2,2,0,0,1,3,D,8,2017-09-16,Kortrijk,B1,6,3,4,5,A,11,Kortrijk_Anderlecht_2017
51,13,1,Antwerp,23,0,1,1,0,0,1,3,D,7,2017-09-16,Lokeren,B1,2,5,11,14,A,2,Lokeren_Antwerp_2017
52,17,5,Genk,12,0,2,1,0,0,0,2,H,8,2017-09-16,St Truiden,B1,4,7,2,10,D,5,St Truiden_Genk_2017
53,22,3,Standard,22,0,1,1,1,0,1,5,D,9,2017-09-17,Eupen,B1,6,4,3,8,D,7,Eupen_Standard_2017
54,11,0,Gent,21,0,0,2,0,0,1,3,A,6,2017-09-17,Oostende,B1,5,4,9,11,A,7,Oostende_Gent_2017
55,20,3,Mouscron,16,1,2,1,0,0,1,3,H,8,2017-09-17,Waregem,B1,2,4,11,11,A,2,Waregem_Mouscron_2017
56,20,2,Kortrijk,11,0,3,0,2,0,0,2,H,9,2017-09-22,Antwerp,B1,3,4,4,10,H,8,Antwerp_Kortrijk_2017
57,16,2,Oostende,20,0,1,1,1,0,0,3,D,9,2017-09-23,Genk,B1,4,5,5,11,H,3,Genk_Oostende_2017
58,31,4,St Truiden,18,0,2,0,1,1,0,1,H,3,2017-09-23,Mechelen,B1,1,3,6,7,H,2,Mechelen_St Truiden_2017
59,21,4,Eupen,21,0,3,2,1,1,2,3,H,8,2017-09-23,Mouscron,B1,6,4,4,7,A,5,Mouscron_Eupen_2017
60,15,2,Anderlecht,24,0,1,2,1,0,0,4,A,13,2017-09-23,Waasland-Beveren,B1,8,11,12,15,H,5,Waasland-Beveren_Anderlecht_2017
61,15,2,Club Brugge,18,0,1,2,0,0,0,4,A,10,2017-09-24,Charleroi,B1,6,4,4,8,D,5,Charleroi_Club Brugge_2017
62,14,4,Waregem,19,0,0,1,0,0,1,2,A,3,2017-09-24,Gent,B1,1,4,7,8,A,3,Gent_Waregem_2017
63,24,2,Lokeren,10,1,2,1,0,1,1,5,H,2,2017-09-24,Standard,B1,2,8,5,20,A,3,Standard_Lokeren_2017
64,13,2,Charleroi,22,0,0,1,0,0,0,3,A,9,2017-09-29,St Truiden,B1,4,6,5,14,D,5,St Truiden_Charleroi_2017
65,21,2,Genk,22,0,3,3,2,0,0,2,D,10,2017-09-30,Eupen,B1,5,6,4,10,H,3,Eupen_Genk_2017
66,16,1,Oostende,22,0,1,2,1,1,0,1,A,10,2017-09-30,Kortrijk,B1,8,7,13,13,H,4,Kortrijk_Oostende_2017
67,17,3,Mechelen,16,0,2,2,2,0,0,3,D,15,2017-09-30,Mouscron,B1,9,2,0,6,H,9,Mouscron_Mechelen_2017
68,19,2,Antwerp,16,0,3,0,0,0,0,1,H,15,2017-09-30,Waasland-Beveren,B1,8,5,3,11,D,3,Waasland-Beveren_Antwerp_2017
69,17,2,Standard,17,0,1,0,0,0,0,1,H,7,2017-10-01,Anderlecht,B1,0,6,4,14,D,3,Anderlecht_Standard_2017
70,16,2,Gent,20,0,2,1,1,0,1,1,H,4,2017-10-01,Club Brugge,B1,2,6,4,15,D,5,Club Brugge_Gent_2017
71,19,1,Lokeren,21,0,1,3,0,0,1,0,A,10,2017-10-01,Waregem,B1,4,11,11,21,A,1,Waregem_Lokeren_2017
72,12,1,Anderlecht,21,0,3,4,1,0,4,4,A,7,2017-10-13,Mechelen,B1,4,4,6,10,A,3,Mechelen_Anderlecht_2017
73,20,2,Eupen,15,0,2,2,1,0,1,5,D,5,2017-10-14,Charleroi,B1,3,6,8,8,D,4,Charleroi_Eupen_2017
74,13,2,Mouscron,17,0,1,1,0,0,1,3,D,4,2017-10-14,Genk,B1,4,3,20,18,A,2,Genk_Mouscron_2017
75,17,2,Waasland-Beveren,16,1,2,0,0,0,0,2,H,5,2017-10-14,Gent,B1,0,6,7,12,D,1,Gent_Waasland-Beveren_2017
76,17,1,St Truiden,24,1,1,1,0,0,0,5,D,9,2017-10-14,Lokeren,B1,7,6,11,13,D,2,Lokeren_St Truiden_2017
77,14,2,Waregem,12,1,3,0,2,0,0,3,H,5,2017-10-15,Antwerp,B1,2,2,3,6,H,5,Antwerp_Waregem_2017
78,17,4,Club Brugge,15,1,2,3,2,0,2,3,A,11,2017-10-15,Oostende,B1,7,4,4,11,D,4,Oostende_Club Brugge_2017
79,14,3,Kortrijk,19,1,3,1,3,1,1,3,H,3,2017-10-15,Standard,B1,1,3,4,9,H,4,Standard_Kortrijk_2017
80,15,2,Standard,21,0,1,3,0,0,1,3,A,12,2017-10-20,Mouscron,B1,6,4,3,9,A,2,Mouscron_Standard_2017
81,17,4,Mechelen,13,0,4,1,3,0,1,2,H,13,2017-10-21,Eupen,B1,8,8,6,13,H,8,Eupen_Mechelen_2017
82,18,3,Gent,19,0,1,1,0,0,0,2,D,15,2017-10-21,Kortrijk,B1,5,4,3,6,D,11,Kortrijk_Gent_2017
83,13,1,Charleroi,11,0,1,1,1,0,0,0,D,14,2017-10-21,Lokeren,B1,7,3,1,6,H,5,Lokeren_Charleroi_2017
84,20,1,Oostende,30,0,1,0,0,0,0,4,H,11,2017-10-21,St Truiden,B1,5,6,2,15,D,5,St Truiden_Oostende_2017
85,16,4,Genk,16,0,0,1,0,0,0,2,A,8,2017-10-22,Anderlecht,B1,1,2,8,5,D,4,Anderlecht_Genk_2017
86,26,2,Antwerp,23,0,1,0,1,0,0,5,H,8,2017-10-22,Club Brugge,B1,4,2,5,10,H,3,Club Brugge_Antwerp_2017
87,21,1,Waasland-Beveren,16,0,2,5,1,0,2,1,A,11,2017-10-22,Waregem,B1,7,4,11,9,A,2,Waregem_Waasland-Beveren_2017
88,22,4,Eupen,12,0,3,0,3,0,0,4,H,7,2017-10-24,Gent,B1,2,6,4,9,H,2,Gent_Eupen_2017
89,14,3,Lokeren,26,0,0,2,0,0,1,4,A,5,2017-10-24,Mechelen,B1,3,4,15,14,A,3,Mechelen_Lokeren_2017
90,27,1,Charleroi,18,0,3,0,1,0,0,2,H,13,2017-10-24,Oostende,B1,5,8,3,9,H,7,Oostende_Charleroi_2017
91,10,1,Waregem,13,0,2,0,0,0,0,1,H,7,2017-10-25,Anderlecht,B1,2,7,7,13,D,3,Anderlecht_Waregem_2017
92,12,3,Club Brugge,23,0,2,0,1,0,0,1,H,4,2017-10-25,Genk,B1,2,2,3,9,H,3,Genk_Club Brugge_2017
93,12,1,Kortrijk,20,0,2,1,0,0,0,4,H,7,2017-10-25,Waasland-Beveren,B1,3,10,12,20,D,4,Waasland-Beveren_Kortrijk_2017
94,23,3,Standard,18,0,0,0,0,0,0,2,D,5,2017-10-26,Antwerp,B1,5,4,7,8,D,3,Antwerp_Standard_2017
95,23,0,Mouscron,23,0,1,0,0,0,0,5,H,2,2017-10-26,St Truiden,B1,0,2,9,12,D,1,St Truiden_Mouscron_2017
96,14,3,Gent,9,0,2,1,1,0,0,3,H,6,2017-10-27,Charleroi,B1,2,5,3,8,H,6,Charleroi_Gent_2017
97,15,3,Anderlecht,22,0,2,3,0,0,3,0,A,5,2017-10-28,Eupen,B1,2,8,6,15,A,4,Eupen_Anderlecht_2017
98,24,3,Genk,18,0,0,0,0,0,0,1,D,9,2017-10-28,Kortrijk,B1,2,5,5,10,D,7,Kortrijk_Genk_2017
99,9,0,Oostende,14,0,0,3,0,0,2,2,A,12,2017-10-28,Lokeren,B1,6,3,5,10,A,7,Lokeren_Oostende_2017
100,19,3,Mechelen,14,0,2,1,1,0,1,1,H,6,2017-10-28,Waregem,B1,1,8,12,12,D,1,Waregem_Mechelen_2017
101,22,2,St Truiden,15,0,4,1,2,0,1,0,H,7,2017-10-29,Club Brugge,B1,4,11,5,22,H,2,Club Brugge_St Truiden_2017
102,14,2,Antwerp,20,0,2,2,1,0,0,2,D,8,2017-10-29,Mouscron,B1,6,7,6,10,H,10,Mouscron_Antwerp_2017
103,14,1,Waasland-Beveren,19,0,3,1,3,0,0,4,H,7,2017-10-29,Standard,B1,3,6,5,12,H,4,Standard_Waasland-Beveren_2017
104,21,2,Standard,20,0,1,0,0,0,0,2,H,9,2017-11-03,Gent,B1,4,5,10,11,D,5,Gent_Standard_2017
105,16,3,Lokeren,21,0,0,0,0,0,0,2,D,7,2017-11-04,Genk,B1,4,4,4,14,D,2,Genk_Lokeren_2017
106,11,3,Kortrijk,22,0,2,0,0,0,0,2,H,3,2017-11-04,Mechelen,B1,1,9,4,17,D,4,Mechelen_Kortrijk_2017
107,23,1,Eupen,18,0,4,4,1,0,0,3,D,9,2017-11-04,St Truiden,B1,5,6,4,10,H,4,St Truiden_Eupen_2017
108,20,3,Mouscron,13,0,2,0,1,0,0,1,H,14,2017-11-04,Waasland-Beveren,B1,6,7,4,8,H,4,Waasland-Beveren_Mouscron_2017
109,20,2,Club Brugge,20,0,0,0,0,0,0,4,D,12,2017-11-05,Anderlecht,B1,3,4,4,11,D,4,Anderlecht_Club Brugge_2017
110,19,0,Charleroi,8,0,1,3,1,0,2,0,A,10,2017-11-05,Antwerp,B1,4,4,7,10,A,2,Antwerp_Charleroi_2017
111,7,1,Waregem,10,0,4,2,2,1,0,5,H,14,2017-11-05,Oostende,B1,6,7,2,12,H,10,Oostende_Waregem_2017
112,22,2,Mechelen,10,1,2,0,1,0,0,1,H,9,2017-11-17,Charleroi,B1,6,6,2,9,H,3,Charleroi_Mechelen_2017
113,15,0,Antwerp,22,0,0,1,0,0,0,5,A,6,2017-11-18,Eupen,B1,3,5,4,9,D,3,Eupen_Antwerp_2017
114,15,3,St Truiden,22,0,3,2,1,1,0,3,H,10,2017-11-18,Kortrijk,B1,4,8,6,10,H,10,Kortrijk_St Truiden_2017
115,9,0,Anderlecht,16,0,1,2,0,0,1,1,A,11,2017-11-18,Mouscron,B1,4,4,5,11,A,4,Mouscron_Anderlecht_2017
116,13,1,Oostende,15,2,0,0,0,1,0,2,D,4,2017-11-18,Standard,B1,1,3,8,8,D,3,Standard_Oostende_2017
117,18,1,Waasland-Beveren,20,0,3,0,1,0,0,1,H,4,2017-11-19,Club Brugge,B1,1,9,8,16,H,4,Club Brugge_Waasland-Beveren_2017
118,19,3,Gent,25,0,0,3,0,1,1,4,A,15,2017-11-19,Lokeren,B1,7,3,1,3,A,5,Lokeren_Gent_2017
119,14,1,Genk,13,0,0,1,0,0,1,3,A,9,2017-11-19,Waregem,B1,3,2,7,8,A,3,Waregem_Genk_2017
120,11,1,Mouscron,22,0,3,1,2,0,1,3,H,7,2017-11-24,Gent,B1,5,5,4,13,H,4,Gent_Mouscron_2017
121,24,2,Mechelen,16,0,0,0,0,0,0,3,D,12,2017-11-25,Antwerp,B1,5,3,3,7,D,6,Antwerp_Mechelen_2017
122,18,2,Eupen,16,0,1,0,0,0,0,1,H,6,2017-11-25,Oostende,B1,2,6,8,9,D,5,Oostende_Eupen_2017
123,14,2,Lokeren,23,2,0,0,0,0,0,3,D,0,2017-11-25,St Truiden,B1,0,8,8,13,D,2,St Truiden_Lokeren_2017
124,13,1,Charleroi,13,1,0,2,0,0,0,3,A,6,2017-11-25,Waasland-Beveren,B1,4,7,6,13,D,4,Waasland-Beveren_Charleroi_2017
125,16,2,Kortrijk,15,0,4,0,2,0,0,2,H,6,2017-11-26,Anderlecht,B1,0,7,7,12,H,2,Anderlecht_Kortrijk_2017
126,13,3,Waregem,19,0,3,2,0,0,1,3,H,5,2017-11-26,Club Brugge,B1,3,6,11,10,A,1,Club Brugge_Waregem_2017
127,21,3,Standard,22,0,0,2,0,0,1,2,A,5,2017-11-26,Genk,B1,4,1,4,3,A,1,Genk_Standard_2017
128,22,3,Oostende,17,0,1,1,1,0,0,4,D,11,2017-12-01,Charleroi,B1,8,4,2,7,H,6,Charleroi_Oostende_2017
129,21,2,Waasland-Beveren,18,0,4,1,2,0,0,1,H,17,2017-12-02,Kortrijk,B1,7,7,2,12,H,7,Kortrijk_Waasland-Beveren_2017
130,16,2,Anderlecht,19,0,1,2,1,0,1,5,A,17,2017-12-02,Lokeren,B1,6,4,3,14,D,2,Lokeren_Anderlecht_2017
131,20,2,Genk,13,0,3,2,3,0,0,3,H,11,2017-12-02,Mechelen,B1,6,3,3,5,H,6,Mechelen_Genk_2017
132,25,3,St Truiden,18,0,1,1,1,0,1,2,D,10,2017-12-02,Mouscron,B1,4,5,5,7,D,5,Mouscron_St Truiden_2017
133,12,4,Club Brugge,23,0,2,2,2,0,0,3,D,9,2017-12-03,Eupen,B1,5,2,4,6,H,5,Eupen_Club Brugge_2017
134,12,2,Antwerp,16,0,1,1,1,0,0,1,D,5,2017-12-03,Standard,B1,3,2,4,8,H,4,Standard_Antwerp_2017
135,20,4,Gent,20,1,0,1,0,0,1,5,A,10,2017-12-03,Waregem,B1,6,4,6,10,A,4,Waregem_Gent_2017
136,19,1,Standard,27,0,3,1,1,0,1,2,H,9,2017-12-08,Waasland-Beveren,B1,4,7,4,16,D,6,Waasland-Beveren_Standard_2017
137,20,0,Mouscron,13,0,1,0,0,0,0,0,H,7,2017-12-09,Antwerp,B1,4,8,6,18,D,5,Antwerp_Mouscron_2017
138,22,2,Eupen,15,0,1,1,1,0,1,4,D,5,2017-12-09,Genk,B1,2,5,4,9,D,0,Genk_Eupen_2017
139,27,1,Kortrijk,16,0,2,1,2,0,1,1,H,5,2017-12-09,Gent,B1,2,4,11,11,H,3,Gent_Kortrijk_2017
140,13,0,Mechelen,16,0,0,1,0,0,1,0,A,6,2017-12-09,Oostende,B1,3,4,6,9,A,2,Oostende_Mechelen_2017
141,19,5,Charleroi,19,1,1,3,0,2,1,4,A,11,2017-12-10,Anderlecht,B1,8,7,5,12,A,2,Anderlecht_Charleroi_2017
142,18,0,Lokeren,14,0,3,1,3,0,0,0,H,7,2017-12-10,Club Brugge,B1,4,7,10,9,H,5,Club Brugge_Lokeren_2017
143,15,2,Waregem,23,0,1,1,0,1,1,1,D,8,2017-12-10,St Truiden,B1,6,2,2,5,A,7,St Truiden_Waregem_2017
144,22,1,Oostende,20,0,1,0,0,0,0,0,H,12,2017-12-15,Mouscron,B1,2,7,3,15,D,7,Mouscron_Oostende_2017
145,16,2,St Truiden,26,0,0,0,0,0,0,1,D,7,2017-12-16,Eupen,B1,2,4,4,9,D,5,Eupen_St Truiden_2017
146,22,3,Mechelen,13,0,2,0,2,0,0,1,H,9,2017-12-16,Kortrijk,B1,3,3,3,4,H,6,Kortrijk_Mechelen_2017
147,15,2,Waasland-Beveren,19,0,1,1,0,0,0,2,D,6,2017-12-16,Lokeren,B1,1,4,6,7,D,6,Lokeren_Waasland-Beveren_2017
148,18,4,Gent,25,0,0,0,0,0,0,6,D,8,2017-12-16,Standard,B1,3,4,8,8,D,7,Standard_Gent_2017
149,14,1,Genk,18,0,1,1,0,0,0,2,D,2,2017-12-17,Charleroi,B1,2,4,4,7,D,3,Charleroi_Genk_2017
150,15,0,Anderlecht,13,0,5,0,2,0,0,2,H,6,2017-12-17,Club Brugge,B1,1,9,7,11,H,2,Club Brugge_Anderlecht_2017
151,17,2,Antwerp,22,0,1,2,0,0,2,4,A,6,2017-12-17,Waregem,B1,3,8,9,14,A,2,Waregem_Antwerp_2017
152,16,4,Club Brugge,13,0,0,3,0,2,2,2,A,14,2017-12-20,Mechelen,B1,10,3,3,5,A,6,Mechelen_Club Brugge_2017
153,23,3,Lokeren,11,0,1,2,0,0,1,1,A,9,2017-12-21,Antwerp,B1,5,7,7,20,A,0,Antwerp_Lokeren_2017
154,18,4,Charleroi,16,0,1,0,0,0,0,3,H,4,2017-12-21,Gent,B1,2,9,6,16,D,2,Gent_Charleroi_2017
155,20,0,Eupen,26,0,1,0,1,0,0,0,H,3,2017-12-22,Anderlecht,B1,1,6,10,11,H,3,Anderlecht_Eupen_2017
156,16,2,Oostende,21,0,1,3,0,0,1,4,A,7,2017-12-22,Waasland-Beveren,B1,5,3,11,18,A,5,Waasland-Beveren_Oostende_2017
157,9,2,Kortrijk,27,0,2,3,0,1,1,5,A,8,2017-12-23,Genk,B1,3,5,11,11,A,3,Genk_Kortrijk_2017
158,23,3,Waregem,21,1,2,1,1,0,1,5,H,7,2017-12-23,Mouscron,B1,2,6,6,14,D,3,Mouscron_Waregem_2017
159,17,5,St Truiden,13,0,1,1,0,0,0,5,D,7,2017-12-23,Standard,B1,2,3,8,9,D,5,Standard_St Truiden_2017
160,23,3,Gent,23,1,1,0,0,0,0,3,H,7,2017-12-26,Anderlecht,B1,2,4,3,6,D,2,Anderlecht_Gent_2017
161,20,3,Mouscron,15,1,4,2,0,0,1,2,H,8,2017-12-26,Club Brugge,B1,4,8,5,8,A,1,Club Brugge_Mouscron_2017
162,17,5,Waasland-Beveren,21,0,1,0,0,1,0,3,H,6,2017-12-26,Eupen,B1,2,3,10,10,D,2,Eupen_Waasland-Beveren_2017
163,15,1,Mechelen,14,0,2,0,0,0,0,1,H,9,2017-12-26,Lokeren,B1,4,7,3,8,D,5,Lokeren_Mechelen_2017
164,12,1,Charleroi,9,0,0,4,0,2,2,0,A,18,2017-12-26,Waregem,B1,10,2,1,5,A,5,Waregem_Charleroi_2017
165,16,3,Standard,27,1,2,1,0,0,0,5,H,10,2017-12-27,Kortrijk,B1,5,2,7,6,D,8,Kortrijk_Standard_2017
166,13,4,Antwerp,25,0,0,3,0,0,2,3,A,10,2017-12-27,St Truiden,B1,5,2,3,6,A,5,St Truiden_Antwerp_2017
167,15,1,Genk,16,0,1,2,0,0,1,4,A,10,2018-01-16,Oostende,B1,2,11,8,18,A,4,Oostende_Genk_2017
168,20,1,Mouscron,19,0,2,0,1,0,0,2,H,6,2018-01-19,Charleroi,B1,3,3,2,8,H,3,Charleroi_Mouscron_2017
169,16,5,Waregem,23,0,0,2,0,0,0,3,A,8,2018-01-20,Mechelen,B1,5,1,3,3,D,1,Mechelen_Waregem_2017
170,15,2,Kortrijk,19,0,2,1,2,0,1,4,H,19,2018-01-20,Oostende,B1,12,11,4,14,H,8,Oostende_Kortrijk_2017
171,21,1,Eupen,19,1,3,2,2,0,2,4,H,4,2018-01-20,Standard,B1,3,7,10,14,D,1,Standard_Eupen_2017
172,7,1,St Truiden,15,0,3,1,2,0,1,0,H,12,2018-01-20,Waasland-Beveren,B1,10,7,4,12,H,7,Waasland-Beveren_St Truiden_2017
173,15,2,Club Brugge,17,0,2,2,2,0,0,4,D,8,2018-01-21,Antwerp,B1,4,4,5,6,H,5,Antwerp_Club Brugge_2017
174,10,3,Anderlecht,20,0,0,1,0,1,1,5,A,8,2018-01-21,Genk,B1,3,4,3,10,A,8,Genk_Anderlecht_2017
175,12,2,Lokeren,13,0,3,0,1,0,0,1,H,8,2018-01-21,Gent,B1,3,5,6,14,H,5,Gent_Lokeren_2017
176,14,2,Kortrijk,19,0,0,3,0,0,0,2,A,10,2018-01-23,Mouscron,B1,6,4,2,9,D,2,Mouscron_Kortrijk_2017
177,16,1,Mechelen,26,1,2,0,1,0,0,3,H,7,2018-01-23,St Truiden,B1,3,4,2,13,H,1,St Truiden_Mechelen_2017
178,19,2,Standard,17,1,2,1,1,0,0,4,H,8,2018-01-23,Waregem,B1,5,4,6,5,H,6,Waregem_Standard_2017
179,13,0,Waasland-Beveren,13,0,2,2,1,0,1,3,D,10,2018-01-24,Anderlecht,B1,5,4,4,12,D,7,Anderlecht_Waasland-Beveren_2017
180,18,4,Gent,14,0,1,1,1,0,1,3,D,8,2018-01-24,Antwerp,B1,3,4,2,7,D,9,Antwerp_Gent_2017
181,21,2,Charleroi,15,0,1,0,1,0,0,1,H,14,2018-01-24,Eupen,B1,7,2,2,9,H,10,Eupen_Charleroi_2017
182,18,1,Genk,13,0,1,2,0,0,0,1,A,7,2018-01-24,Lokeren,B1,5,7,5,15,D,6,Lokeren_Genk_2017
183,15,2,Oostende,15,0,3,2,2,0,0,1,H,11,2018-01-25,Club Brugge,B1,7,8,3,15,H,5,Club Brugge_Oostende_2017
184,19,1,Mouscron,18,0,0,2,0,0,1,3,A,8,2018-01-26,Mechelen,B1,3,3,5,11,A,6,Mechelen_Mouscron_2017
