,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
304,7,1,4,0,8,0,E0,A,N Swarbrick,Chelsea,4,4,Aston Villa,12,11,15,2,0,2,8,1,02/04/2016,A,Aston Villa_Chelsea_2015
305,4,0,4,0,7,0,E0,A,R Madley,Man City,2,0,Bournemouth,9,15,11,3,0,4,8,1,02/04/2016,A,Bournemouth_Man City_2015
306,12,0,1,0,5,0,E0,D,J Moss,Tottenham,7,2,Liverpool,11,18,15,0,1,9,11,0,02/04/2016,D,Liverpool_Tottenham_2015
307,6,0,2,1,5,0,E0,H,M Dean,Newcastle,6,0,Norwich,6,13,13,0,3,5,11,0,02/04/2016,H,Norwich_Newcastle_2015
308,5,0,2,1,3,0,E0,H,M Atkinson,Swansea,5,0,Stoke,6,12,12,0,2,5,16,1,02/04/2016,D,Stoke_Swansea_2015
309,9,0,0,0,0,0,E0,D,R East,West Brom,7,1,Sunderland,11,3,22,0,0,3,13,1,02/04/2016,D,Sunderland_West Brom_2015
310,4,1,2,2,5,0,E0,H,M Clattenburg,Crystal Palace,6,2,West Ham,12,12,18,1,2,5,19,2,02/04/2016,D,West Ham_Crystal Palace_2015
311,7,0,0,1,2,0,E0,H,M Oliver,Southampton,4,2,Leicester,12,10,11,0,1,8,13,2,03/04/2016,H,Leicester_Southampton_2015
312,5,0,0,0,1,0,E0,D,A Marriner,Everton,2,2,Man United,15,7,10,0,1,5,6,0,03/04/2016,H,Man United_Everton_2015
313,3,0,2,0,3,0,E0,A,M Atkinson,Bournemouth,1,2,Aston Villa,13,12,6,1,1,8,11,2,09/04/2016,A,Aston Villa_Bournemouth_2015
314,10,0,0,0,4,0,E0,D,M Oliver,Norwich,6,2,Crystal Palace,13,13,13,0,1,4,10,1,09/04/2016,H,Crystal Palace_Norwich_2015
315,8,0,1,1,2,0,E0,D,M Jones,West Brom,4,0,Man City,10,13,13,1,2,8,7,1,09/04/2016,H,Man City_West Brom_2015
316,11,0,1,2,3,0,E0,H,R Madley,Newcastle,6,0,Southampton,8,5,20,0,3,2,7,0,09/04/2016,H,Southampton_Newcastle_2015
317,1,0,0,1,2,0,E0,H,A Marriner,Chelsea,6,5,Swansea,15,8,12,0,1,9,13,4,09/04/2016,H,Swansea_Chelsea_2015
318,7,0,1,1,7,0,E0,D,K Friend,Everton,5,2,Watford,13,12,13,1,1,6,10,1,09/04/2016,D,Watford_Everton_2015
319,7,0,3,2,6,0,E0,D,C Pawson,Arsenal,7,2,West Ham,11,11,19,2,3,4,8,0,09/04/2016,D,West Ham_Arsenal_2015
320,6,0,1,2,3,0,E0,H,M Clattenburg,Stoke,6,0,Liverpool,14,10,14,1,4,3,14,2,10/04/2016,H,Liverpool_Stoke_2015
321,1,0,2,0,7,0,E0,D,A Taylor,Leicester,1,1,Sunderland,9,17,15,0,0,7,9,1,10/04/2016,A,Sunderland_Leicester_2015
322,2,0,0,0,1,0,E0,D,M Dean,Man United,8,3,Tottenham,10,5,16,0,3,7,10,3,10/04/2016,H,Tottenham_Man United_2015
323,10,0,0,0,5,1,E0,D,M Jones,Everton,6,0,Crystal Palace,7,9,18,0,0,7,9,1,13/04/2016,D,Crystal Palace_Everton_2015
324,11,1,3,0,8,0,E0,A,M Dean,Man City,4,2,Chelsea,12,11,11,1,0,3,15,3,16/04/2016,A,Chelsea_Man City_2015
325,3,0,1,0,4,0,E0,D,C Pawson,Southampton,2,1,Everton,8,18,7,0,1,10,14,1,16/04/2016,D,Everton_Southampton_2015
326,14,0,0,1,1,0,E0,H,K Friend,Aston Villa,4,0,Man United,9,7,13,0,1,3,10,1,16/04/2016,H,Man United_Aston Villa_2015
