,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
147,3.3,1.85,4.33,-0.5,1.91,3.75,3.35,-0.5,3.75,3.5,1.73,4.0,3.25,1.9,1.66,1.86,1.8,4.3,1.98,1.75,2.1,3.6,1.78,1.95,3.25,2.0,1.9,1.9,-0.5,1.79,3.1,3.2,3.2,1.95,Osasuna,Zaragoza,Osasuna_Zaragoza_2004
148,4.0,1.25,8.0,-1.5,1.33,8.5,4.75,-1.5,8.0,7.5,1.33,9.5,4.0,1.36,1.83,1.76,1.33,8.2,2.08,1.3,1.83,9.5,1.67,1.35,4.33,2.075,1.825,1.79,-1.5,1.9,4.3,4.0,4.25,1.9,Valencia,Numancia,Valencia_Numancia_2004
149,3.3,1.7,5.0,-0.75,1.62,5.5,3.45,-0.75,5.0,5.5,1.62,5.25,3.4,1.66,1.8,1.82,1.61,4.85,2.02,1.65,2.0,4.2,1.85,1.7,3.6,1.95,1.95,1.85,-0.75,1.85,3.2,3.25,3.35,1.95,Barcelona,Valencia,Barcelona_Valencia_2004
150,3.2,1.85,3.5,-0.5,1.91,3.75,3.3,-0.5,3.75,3.75,1.91,3.9,3.25,1.83,1.6,1.82,1.83,3.65,2.02,1.9,2.3,3.6,1.77,1.95,3.25,2.05,1.85,2.05,-0.5,1.65,3.1,3.2,3.25,1.95,Levante,Albacete,Levante_Albacete_2004
151,3.2,3.6,1.8,0.5,4.0,1.85,3.35,0.5,1.9,1.9,4.0,1.91,3.25,4.0,1.8,1.84,3.5,1.8,2.0,4.0,2.0,1.85,1.91,4.0,3.4,2.05,1.85,2.0,0.5,1.71,3.1,3.2,3.25,1.79,Santander,Real Madrid,Santander_Real Madrid_2004
152,3.2,2.3,3.2,-0.25,2.2,3.0,3.25,-0.25,3.0,2.8,2.0,3.1,3.25,2.2,1.7,1.88,2.1,3.25,1.96,2.05,2.1,2.9,1.85,2.25,3.25,2.05,1.85,2.0,-0.25,1.71,2.8,3.2,3.2,1.95,Ath Madrid,La Coruna,Ath Madrid_La Coruna_2004
153,3.1,2.2,2.8,-0.25,2.2,3.0,3.3,-0.25,2.87,2.8,2.2,3.15,3.25,2.2,1.7,2.0,2.2,3.1,1.84,2.1,2.1,3.0,2.0,2.2,3.25,1.8,2.1,1.95,-0.25,1.75,2.9,3.2,3.25,1.8,Mallorca,Osasuna,Mallorca_Osasuna_2004
154,3.1,2.7,2.2,0.25,2.88,2.25,3.25,0.25,2.3,2.2,2.8,2.3,3.25,2.8,1.61,2.0,2.75,2.25,1.84,2.85,2.25,2.3,1.95,3.0,3.25,1.85,2.05,2.05,0.25,1.65,3.0,3.2,3.25,1.85,Numancia,Espanol,Numancia_Espanol_2004
155,2.75,2.5,3.0,-0.25,2.2,3.2,3.15,,3.25,3.1,2.2,3.35,3.0,2.2,1.65,,2.2,2.95,,2.25,2.2,2.8,1.9,2.25,3.0,1.975,1.925,2.05,-0.25,1.65,2.7,3.0,3.0,1.9,Sevilla,Betis,Sevilla_Betis_2004
156,3.3,1.6,5.0,-0.75,1.67,5.0,3.45,-0.75,4.5,4.5,1.62,5.25,3.4,1.66,1.66,1.98,1.66,4.85,1.86,1.65,2.15,4.8,1.9,1.68,3.4,1.825,2.075,1.95,-0.75,1.75,3.3,3.25,3.4,1.9,Sociedad,Getafe,Sociedad_Getafe_2004
157,3.2,1.7,5.0,-0.75,1.73,4.5,3.35,-0.75,4.33,4.5,1.62,5.25,3.4,1.66,1.65,1.96,1.72,4.4,1.88,1.7,2.2,4.2,1.92,1.7,3.4,1.825,2.075,2.15,-0.75,1.6,3.2,3.25,3.35,1.88,Villarreal,Malaga,Villarreal_Malaga_2004
158,3.2,2.1,3.5,-0.5,2.0,3.5,3.3,-0.5,3.5,3.25,1.91,3.7,3.25,2.0,1.8,1.8,1.9,3.35,2.04,2.0,2.0,3.2,1.73,2.0,3.2,2.1,1.8,1.95,-0.5,1.75,2.9,3.2,3.25,2.0,Zaragoza,Ath Bilbao,Zaragoza_Ath Bilbao_2004
159,5.0,1.2,10.0,-1.75,1.2,12.0,6.0,-1.75,9.5,11.0,1.22,13.0,5.0,1.2,,1.92,1.22,10.0,1.92,1.2,,10.0,1.95,1.21,5.5,1.95,1.95,1.55,-1.75,2.25,5.0,5.0,5.75,1.85,Barcelona,Levante,Barcelona_Levante_2004
160,3.2,1.9,4.0,-0.5,1.91,3.75,3.3,-0.5,3.75,3.4,1.8,4.0,3.25,1.9,,1.88,1.83,3.65,1.96,1.9,,3.5,1.78,1.91,3.2,2.025,1.875,1.95,-0.5,1.75,3.1,3.2,3.25,1.95,Betis,Ath Madrid,Betis_Ath Madrid_2004
161,3.2,2.4,2.75,0.0,2.3,2.8,3.15,-0.25,2.75,2.75,2.25,2.75,3.2,2.25,,1.74,2.25,2.65,2.1,2.45,,2.7,1.6,2.45,3.2,1.85,2.05,2.05,-0.25,1.65,2.9,3.2,3.25,2.2,Albacete,Villarreal,Albacete_Villarreal_2004
162,3.3,1.6,5.0,-0.75,1.57,5.5,3.45,-0.75,5.0,5.0,1.62,5.5,3.25,1.61,,2.1,1.61,4.85,1.74,1.65,,4.6,1.7,1.65,3.5,1.775,2.125,1.9,-1.0,1.8,3.4,3.25,3.4,2.05,Ath Bilbao,Mallorca,Ath Bilbao_Mallorca_2004
163,3.2,2.1,3.2,-0.25,2.1,3.2,3.25,-0.25,3.0,2.75,2.0,3.15,3.25,2.2,,1.9,2.1,2.95,1.94,2.2,,3.1,1.9,2.2,3.2,1.95,1.95,1.95,-0.25,1.75,3.0,3.2,3.25,1.9,Getafe,Santander,Getafe_Santander_2004
