,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
282,4,Levante,10,0,1,0,0,0,0,3,18,D,6,2014-03-22,Espanol,SP1,3,3,8,12,D,9,Espanol_Levante_2013
283,1,Elche,15,1,1,0,0,0,0,3,18,H,10,2014-03-22,Granada,SP1,4,4,5,9,D,3,Granada_Elche_2013
284,4,Vallecano,10,1,0,1,1,0,1,2,6,D,16,2014-03-22,Valladolid,SP1,3,2,4,9,D,7,Valladolid_Vallecano_2013
285,2,Ath Madrid,18,0,0,2,0,1,0,2,14,A,9,2014-03-23,Betis,SP1,2,1,0,5,D,7,Betis_Ath Madrid_2013
286,3,Sevilla,12,1,0,2,0,0,2,1,22,A,10,2014-03-23,Osasuna,SP1,3,3,7,18,A,1,Osasuna_Sevilla_2013
287,5,Barcelona,24,3,0,4,2,1,2,2,12,A,18,2014-03-23,Real Madrid,SP1,6,8,1,13,D,5,Real Madrid_Barcelona_2013
288,2,Villarreal,16,2,0,1,2,0,0,3,18,H,4,2014-03-23,Valencia,SP1,1,5,7,14,H,1,Valencia_Villarreal_2013
289,4,Sociedad,14,4,0,3,1,0,1,3,13,H,23,2014-03-24,Almeria,SP1,11,8,11,14,D,6,Almeria_Sociedad_2013
290,2,Ath Bilbao,25,0,0,0,0,0,0,2,17,D,8,2014-03-25,Elche,SP1,1,2,7,12,D,2,Elche_Ath Bilbao_2013
291,1,Espanol,7,1,0,2,1,1,1,1,8,A,7,2014-03-25,Malaga,SP1,4,5,3,16,D,8,Malaga_Espanol_2013
292,1,Granada,12,1,0,0,0,0,0,3,12,H,7,2014-03-26,Ath Madrid,SP1,0,5,14,16,D,4,Ath Madrid_Granada_2013
293,2,Celta,11,3,0,0,2,0,0,2,8,H,8,2014-03-26,Barcelona,SP1,6,6,4,14,H,6,Barcelona_Celta_2013
294,3,Real Madrid,13,2,0,1,1,0,1,3,13,H,26,2014-03-26,Sevilla,SP1,8,3,2,12,D,9,Sevilla_Real Madrid_2013
295,3,Osasuna,11,1,0,0,0,0,0,5,12,H,7,2014-03-26,Vallecano,SP1,2,5,9,14,D,3,Vallecano_Osasuna_2013
296,5,Valencia,19,2,0,2,0,0,2,1,9,D,15,2014-03-27,Almeria,SP1,5,9,6,20,A,4,Almeria_Valencia_2013
297,3,Villarreal,15,0,0,1,0,0,1,3,19,A,12,2014-03-27,Getafe,SP1,3,1,9,12,A,2,Getafe_Villarreal_2013
298,3,Betis,18,1,0,3,1,0,1,3,13,A,10,2014-03-27,Levante,SP1,5,4,7,9,D,7,Levante_Betis_2013
299,3,Valladolid,13,1,0,0,1,0,0,5,15,H,9,2014-03-27,Sociedad,SP1,1,7,2,14,H,11,Sociedad_Valladolid_2013
300,3,Ath Madrid,19,1,0,2,1,1,1,2,15,A,10,2014-03-29,Ath Bilbao,SP1,3,2,3,13,D,4,Ath Bilbao_Ath Madrid_2013
301,1,Sevilla,10,1,0,0,0,0,0,4,12,H,10,2014-03-29,Celta,SP1,3,4,11,14,D,7,Celta_Sevilla_2013
302,4,Barcelona,24,0,0,1,0,1,0,2,8,A,20,2014-03-29,Espanol,SP1,8,1,3,8,D,11,Espanol_Barcelona_2013
303,1,Vallecano,13,5,0,0,1,0,0,0,14,H,15,2014-03-29,Real Madrid,SP1,2,7,4,16,H,6,Real Madrid_Vallecano_2013
304,5,Sociedad,19,1,0,1,0,0,1,5,18,D,10,2014-03-30,Osasuna,SP1,3,4,4,15,A,8,Osasuna_Sociedad_2013
305,2,Getafe,15,1,0,3,1,1,2,4,20,A,11,2014-03-30,Valencia,SP1,6,3,12,19,A,5,Valencia_Getafe_2013
306,2,Almeria,12,1,1,0,1,0,0,0,12,H,14,2014-03-30,Valladolid,SP1,3,8,5,20,H,6,Valladolid_Almeria_2013
307,1,Elche,16,1,0,1,1,0,1,1,14,D,7,2014-03-30,Villarreal,SP1,2,3,6,10,D,5,Villarreal_Elche_2013
308,2,Malaga,6,1,0,2,1,0,0,7,11,A,8,2014-03-31,Betis,SP1,4,2,3,11,H,7,Betis_Malaga_2013
309,2,Levante,17,0,0,2,0,0,0,4,17,A,15,2014-03-31,Granada,SP1,5,1,7,8,D,3,Granada_Levante_2013
310,1,Osasuna,6,1,0,2,0,1,2,1,10,A,12,2014-04-04,Almeria,SP1,2,3,7,16,A,5,Almeria_Osasuna_2013
311,3,Villarreal,13,1,0,0,1,0,0,1,16,H,8,2014-04-05,Ath Madrid,SP1,1,3,4,6,H,5,Ath Madrid_Villarreal_2013
312,0,Betis,9,3,0,1,1,0,0,2,16,H,12,2014-04-05,Barcelona,SP1,4,4,4,12,H,4,Barcelona_Betis_2013
313,3,Real Madrid,13,0,0,4,0,0,1,3,10,A,21,2014-04-05,Sociedad,SP1,7,4,7,13,A,8,Sociedad_Real Madrid_2013
314,2,Celta,12,3,0,0,1,1,0,1,11,H,18,2014-04-05,Vallecano,SP1,7,5,2,14,H,7,Vallecano_Celta_2013
315,3,Getafe,20,1,0,0,0,0,0,2,16,H,9,2014-04-06,Elche,SP1,3,3,6,16,D,2,Elche_Getafe_2013
316,3,Granada,19,4,0,1,2,0,0,5,16,H,10,2014-04-06,Malaga,SP1,5,5,7,11,H,5,Malaga_Granada_2013
317,3,Espanol,10,4,0,1,2,0,0,1,15,H,12,2014-04-06,Sevilla,SP1,5,5,7,13,H,3,Sevilla_Espanol_2013
