,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
81,3.1,2.5,2.5,0.0,2.5,2.5,2.5,0.0,2.62,2.5,2.5,2.6,3.2,2.5,1.83,2.0,2.37,2.5,3.2,1.85,1.83,2.5,1.95,2.5,3.2,1.85,2.05,1.85,0.0,1.79,3.0,3.2,3.15,1.85,Albacete,Villarreal,Albacete_Villarreal_2003
82,3.1,1.75,4.5,-0.75,1.67,4.75,4.5,-0.75,5.0,4.5,1.67,4.7,3.4,1.66,1.9,1.9,1.66,1.67,3.5,1.95,1.8,4.0,1.85,1.7,3.25,2.0,1.9,1.75,-0.75,1.86,3.2,3.25,3.3,1.95,Ath Bilbao,Malaga,Ath Bilbao_Malaga_2003
83,4.0,1.25,6.0,-1.5,1.36,7.5,7.5,-1.5,8.0,7.5,1.44,8.0,4.0,1.36,2.0,1.9,1.33,1.36,4.0,1.95,1.72,9.0,1.9,1.35,4.0,2.0,1.9,1.66,-1.5,1.96,4.5,3.75,4.2,1.9,Barcelona,Murcia,Barcelona_Murcia_2003
84,4.0,1.3,8.0,-1.5,1.3,8.5,8.5,-1.5,8.0,8.0,1.29,8.0,4.5,1.3,2.1,1.95,1.33,1.3,4.33,1.9,1.66,8.0,1.9,1.35,4.33,2.025,1.875,1.56,-1.5,2.1,4.2,4.5,4.2,1.9,La Coruna,Mallorca,La Coruna_Mallorca_2003
85,3.0,2.3,3.0,-0.25,2.2,3.0,3.0,-0.25,3.0,2.8,2.1,3.05,3.25,2.2,1.83,1.9,2.2,2.2,3.1,1.95,1.83,2.9,1.85,2.2,3.1,2.05,1.85,1.9,-0.25,1.71,2.8,3.2,3.1,1.95,Osasuna,Betis,Osasuna_Betis_2003
86,3.1,1.7,5.0,-0.75,1.67,4.75,4.5,-0.75,5.0,4.5,1.62,5.1,3.4,1.66,1.8,2.1,1.66,1.67,3.5,1.75,1.9,4.2,2.0,1.65,3.25,1.8,2.1,1.7,-0.75,1.9,3.2,3.25,3.3,1.8,Santander,Espanol,Santander_Espanol_2003
87,3.1,1.75,4.5,-0.75,1.67,4.75,4.5,-0.75,5.0,4.5,1.67,4.7,3.4,1.66,1.72,1.9,1.66,1.67,3.5,1.95,2.0,4.0,1.8,1.72,3.25,2.025,1.875,1.9,-0.75,1.74,3.2,3.25,3.25,2.0,Sevilla,Valladolid,Sevilla_Valladolid_2003
88,3.25,1.6,6.0,-1.0,1.53,6.0,6.0,-1.0,6.0,5.5,1.5,6.0,3.5,1.53,2.0,1.85,1.53,1.53,3.4,2.0,1.72,4.8,1.8,1.55,3.4,2.1,1.8,1.9,-1.0,1.8,3.3,3.4,3.4,2.0,Valencia,Celta,Valencia_Celta_2003
89,3.1,2.4,2.6,0.0,2.38,2.62,2.62,0.0,2.75,2.7,2.38,2.8,3.2,2.3,1.8,2.1,2.3,2.38,3.2,1.75,1.9,2.7,2.05,2.3,3.2,1.85,2.05,1.91,0.0,1.7,2.9,3.2,3.2,1.75,Ath Madrid,Sociedad,Ath Madrid_Sociedad_2003
90,3.3,1.75,4.5,-0.75,1.67,4.75,4.75,-0.75,5.0,5.0,1.67,4.5,3.4,1.61,1.83,1.95,1.61,1.67,3.25,1.9,1.83,4.0,1.65,1.75,3.25,2.05,1.85,1.85,-1.0,1.74,3.2,3.25,3.25,2.22,Celta,Santander,Celta_Santander_2003
