,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
198,11:15:00,1,Feyenoord,9,0,2,2,2,0,1,2,9,D,10,2021-02-21,Twente,N1,2,6,4,9,H,3,Twente_Feyenoord_2020
199,13:30:00,0,Groningen,12,0,1,1,1,0,0,0,7,D,16,2021-02-21,Heerenveen,N1,2,2,6,8,H,4,Heerenveen_Groningen_2020
200,13:30:00,1,Heracles,7,0,3,0,2,0,0,2,8,H,7,2021-02-21,Waalwijk,N1,0,5,5,8,H,3,Waalwijk_Heracles_2020
201,15:45:00,2,Vitesse,19,0,3,1,0,0,1,0,8,H,10,2021-02-21,PSV Eindhoven,N1,3,15,1,22,A,1,PSV Eindhoven_Vitesse_2020
202,19:00:00,0,Sparta Rotterdam,4,0,4,2,3,0,0,1,9,H,12,2021-02-21,Ajax,N1,4,7,3,16,H,3,Ajax_Sparta Rotterdam_2020
203,15:30:00,4,Den Haag,14,1,1,1,0,1,0,0,7,D,8,2021-02-24,Willem II,N1,3,3,9,13,D,1,Willem II_Den Haag_2020
204,17:45:00,0,Feyenoord,13,0,0,0,0,0,0,0,9,D,19,2021-02-24,Groningen,N1,4,3,3,8,D,7,Groningen_Feyenoord_2020
205,19:00:00,1,Heerenveen,9,0,4,1,0,0,1,2,18,H,10,2021-02-26,Zwolle,N1,4,10,4,21,A,4,Zwolle_Heerenveen_2020
206,15:30:00,5,FC Emmen,16,0,0,1,0,0,1,4,14,A,13,2021-02-27,Utrecht,N1,4,5,8,12,A,4,Utrecht_FC Emmen_2020
207,17:45:00,2,Waalwijk,11,0,0,0,0,0,0,1,13,D,4,2021-02-27,Den Haag,N1,0,2,6,10,D,3,Den Haag_Waalwijk_2020
208,19:00:00,0,VVV Venlo,12,0,4,1,1,0,1,0,14,H,5,2021-02-27,Vitesse,N1,2,8,3,23,D,2,Vitesse_VVV Venlo_2020
209,20:00:00,0,Twente,9,0,2,2,1,0,1,0,13,D,7,2021-02-27,Heracles,N1,3,6,3,9,D,1,Heracles_Twente_2020
210,11:15:00,1,Willem II,12,0,0,2,0,1,0,0,11,A,13,2021-02-28,Sparta Rotterdam,N1,4,2,3,13,D,1,Sparta Rotterdam_Willem II_2020
211,13:30:00,3,For Sittard,12,0,1,0,0,0,0,0,12,H,5,2021-02-28,Groningen,N1,1,1,4,4,D,6,Groningen_For Sittard_2020
212,13:30:00,5,Ajax,18,0,1,1,1,0,0,1,10,D,17,2021-02-28,PSV Eindhoven,N1,3,5,5,9,H,2,PSV Eindhoven_Ajax_2020
213,15:45:00,1,Feyenoord,16,0,4,2,2,0,2,4,10,H,9,2021-02-28,AZ Alkmaar,N1,5,7,3,9,D,5,AZ Alkmaar_Feyenoord_2020
214,19:00:00,2,Sparta Rotterdam,7,0,1,1,0,0,1,1,15,D,14,2021-03-05,FC Emmen,N1,5,5,7,15,A,2,FC Emmen_Sparta Rotterdam_2020
215,15:30:00,0,VVV Venlo,9,0,6,0,3,0,0,0,3,H,5,2021-03-06,Feyenoord,N1,0,10,11,21,H,1,Feyenoord_VVV Venlo_2020
216,17:45:00,2,Willem II,6,0,1,1,0,0,0,0,3,D,9,2021-03-06,Twente,N1,2,5,3,12,D,1,Twente_Willem II_2020
217,19:00:00,2,Den Haag,12,0,3,0,1,0,0,1,7,H,12,2021-03-06,Heerenveen,N1,3,7,5,18,H,2,Heerenveen_Den Haag_2020
218,20:00:00,2,Utrecht,10,0,1,2,0,0,1,1,10,A,17,2021-03-06,Waalwijk,N1,5,6,4,13,A,11,Waalwijk_Utrecht_2020
219,11:15:00,2,Groningen,10,0,3,1,1,0,0,1,8,H,9,2021-03-07,Ajax,N1,4,8,5,21,H,3,Ajax_Groningen_2020
220,13:30:00,0,PSV Eindhoven,12,0,1,3,0,0,2,2,10,A,12,2021-03-07,For Sittard,N1,6,4,9,11,A,1,For Sittard_PSV Eindhoven_2020
221,13:30:00,0,Zwolle,5,0,2,1,0,0,0,0,7,H,8,2021-03-07,Heracles,N1,3,8,6,18,D,6,Heracles_Zwolle_2020
222,15:45:00,3,AZ Alkmaar,14,0,2,1,1,1,0,1,14,H,13,2021-03-07,Vitesse,N1,4,4,4,10,H,6,Vitesse_AZ Alkmaar_2020
223,17:45:00,0,Sparta Rotterdam,13,0,0,1,0,0,0,1,16,A,12,2021-03-09,VVV Venlo,N1,5,3,3,8,D,9,VVV Venlo_Sparta Rotterdam_2020
224,15:30:00,0,Heerenveen,5,0,3,1,1,0,0,1,3,H,14,2021-03-13,Willem II,N1,4,8,5,17,H,6,Willem II_Heerenveen_2020
225,17:45:00,6,Heracles,17,0,1,2,0,0,0,1,11,A,10,2021-03-13,Den Haag,N1,4,2,5,9,D,4,Den Haag_Heracles_2020
226,19:00:00,1,Twente,8,0,4,1,3,0,1,2,11,H,11,2021-03-13,AZ Alkmaar,N1,4,4,2,11,H,3,AZ Alkmaar_Twente_2020
227,19:00:00,1,FC Emmen,10,0,1,1,0,0,1,1,11,D,15,2021-03-13,Groningen,N1,4,3,3,8,A,4,Groningen_FC Emmen_2020
228,20:00:00,0,Waalwijk,12,0,2,0,0,0,0,0,8,H,4,2021-03-13,Sparta Rotterdam,N1,0,3,5,16,D,1,Sparta Rotterdam_Waalwijk_2020
