,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
273,2,Heerenveen,14,0,0,2,0,0,0,1,15,A,20,2018-04-14,VVV Venlo,N1,6,3,4,11,D,9,VVV Venlo_Heerenveen_2017
274,2,Excelsior,15,1,0,1,1,0,0,3,15,D,9,2018-04-14,Zwolle,N1,3,9,11,26,H,2,Zwolle_Excelsior_2017
275,0,Utrecht,3,3,0,1,2,0,1,1,9,H,14,2018-04-15,Feyenoord,N1,3,4,7,10,H,3,Feyenoord_Utrecht_2017
276,2,Roda,12,2,0,1,1,0,0,5,12,H,15,2018-04-15,Groningen,N1,4,4,4,19,H,3,Groningen_Roda_2017
277,2,Willem II,13,1,0,2,1,0,2,2,20,A,11,2018-04-15,NAC Breda,N1,5,5,3,16,A,9,NAC Breda_Willem II_2017
278,1,Ajax,13,3,2,0,2,0,0,4,17,H,11,2018-04-15,PSV Eindhoven,N1,3,11,9,17,H,3,PSV Eindhoven_Ajax_2017
279,0,Den Haag,9,2,0,0,0,0,0,0,7,H,8,2018-04-17,Heerenveen,N1,1,4,5,11,D,4,Heerenveen_Den Haag_2017
280,1,Zwolle,18,2,0,0,2,0,0,4,17,H,7,2018-04-17,Twente,N1,2,4,8,11,H,4,Twente_Zwolle_2017
281,0,Vitesse,8,4,0,3,3,0,2,0,9,H,20,2018-04-18,AZ Alkmaar,N1,9,11,5,16,H,3,AZ Alkmaar_Vitesse_2017
282,2,Heracles,12,2,1,2,1,0,0,1,6,D,16,2018-04-18,Excelsior,N1,4,8,6,20,H,11,Excelsior_Heracles_2017
283,0,PSV Eindhoven,15,2,0,2,1,0,1,0,6,D,17,2018-04-18,Roda,N1,5,3,2,10,D,9,Roda_PSV Eindhoven_2017
284,2,NAC Breda,20,2,0,1,0,0,0,2,11,H,14,2018-04-18,Sparta Rotterdam,N1,6,6,6,17,D,3,Sparta Rotterdam_NAC Breda_2017
285,3,Feyenoord,9,1,0,5,0,0,1,1,10,A,16,2018-04-18,Willem II,N1,9,4,4,11,A,5,Willem II_Feyenoord_2017
286,0,VVV Venlo,4,4,0,1,2,0,1,0,8,H,9,2018-04-19,Ajax,N1,3,13,11,30,H,0,Ajax_VVV Venlo_2017
287,4,Groningen,13,1,0,1,1,0,0,1,14,D,13,2018-04-19,Utrecht,N1,7,3,2,12,H,5,Utrecht_Groningen_2017
288,0,AZ Alkmaar,12,3,0,0,1,0,0,2,13,H,13,2018-04-29,Ajax,N1,4,6,8,17,H,3,Ajax_AZ Alkmaar_2017
289,1,PSV Eindhoven,10,3,0,3,2,0,1,1,12,D,20,2018-04-29,Den Haag,N1,6,7,6,11,H,8,Den Haag_PSV Eindhoven_2017
290,0,Sparta Rotterdam,8,3,0,1,1,0,1,0,10,H,12,2018-04-29,Feyenoord,N1,7,5,5,11,D,6,Feyenoord_Sparta Rotterdam_2017
291,0,Excelsior,12,4,0,0,2,0,0,2,11,H,6,2018-04-29,Groningen,N1,3,8,2,23,H,3,Groningen_Excelsior_2017
292,0,Utrecht,6,2,0,2,2,0,0,0,9,D,25,2018-04-29,Heracles,N1,8,4,3,10,H,13,Heracles_Utrecht_2017
