,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
184,0,P1,Boavista,A,0,2016-02-07,D,Pacos Ferreira,0,1,Pacos Ferreira_Boavista_2015
185,1,P1,Arouca,A,1,2016-02-07,D,Porto,1,2,Porto_Arouca_2015
186,0,P1,Moreirense,A,1,2016-02-07,A,Uniao Madeira,0,1,Uniao Madeira_Moreirense_2015
187,0,P1,Estoril,H,0,2016-02-08,D,Sp Braga,2,0,Sp Braga_Estoril_2015
188,0,P1,Rio Ave,D,0,2016-02-08,D,Sp Lisbon,0,0,Sp Lisbon_Rio Ave_2015
189,1,P1,Porto,A,1,2016-02-12,D,Benfica,1,2,Benfica_Porto_2015
190,1,P1,Setubal,D,1,2016-02-13,D,Guimaraes,2,2,Guimaraes_Setubal_2015
191,1,P1,Belenenses,A,2,2016-02-13,A,Moreirense,2,3,Moreirense_Belenenses_2015
192,0,P1,Sp Lisbon,A,1,2016-02-13,A,Nacional,0,4,Nacional_Sp Lisbon_2015
193,1,P1,Uniao Madeira,H,0,2016-02-14,H,Arouca,3,0,Arouca_Uniao Madeira_2015
194,0,P1,Academica,D,0,2016-02-14,D,Boavista,0,0,Boavista_Academica_2015
195,1,P1,Tondela,H,1,2016-02-14,D,Estoril,2,1,Estoril_Tondela_2015
196,1,P1,Sp Braga,A,3,2016-02-14,A,Maritimo,1,3,Maritimo_Sp Braga_2015
197,0,P1,Pacos Ferreira,D,1,2016-02-15,A,Rio Ave,1,1,Rio Ave_Pacos Ferreira_2015
198,1,P1,Estoril,D,0,2016-02-19,H,Uniao Madeira,1,1,Uniao Madeira_Estoril_2015
199,0,P1,Rio Ave,A,1,2016-02-20,A,Academica,0,2,Academica_Rio Ave_2015
200,1,P1,Benfica,A,2,2016-02-20,A,Pacos Ferreira,1,3,Pacos Ferreira_Benfica_2015
201,0,P1,Arouca,A,0,2016-02-21,D,Belenenses,0,2,Belenenses_Arouca_2015
202,1,P1,Moreirense,H,2,2016-02-21,A,Porto,3,2,Porto_Moreirense_2015
203,0,P1,Nacional,D,1,2016-02-21,A,Setubal,1,1,Setubal_Nacional_2015
204,2,P1,Guimaraes,D,2,2016-02-21,D,Sp Braga,3,3,Sp Braga_Guimaraes_2015
205,1,P1,Maritimo,A,2,2016-02-21,A,Tondela,3,4,Tondela_Maritimo_2015
206,2,P1,Boavista,H,0,2016-02-22,H,Sp Lisbon,2,0,Sp Lisbon_Boavista_2015
