,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
61,2,Sp Braga,14,1,0,2,1,1,1,3,21,A,11,2017-09-24,Tondela,P1,3,2,3,6,D,6,Tondela_Sp Braga_2017
62,0,Boavista,11,1,0,1,0,0,0,1,20,D,9,2017-09-25,Setubal,P1,4,4,4,7,D,6,Setubal_Boavista_2017
63,2,Tondela,11,1,2,1,1,0,1,2,16,D,5,2017-09-29,Chaves,P1,1,7,10,15,D,3,Chaves_Tondela_2017
64,3,Feirense,15,1,0,0,1,0,0,4,15,H,5,2017-09-30,Boavista,P1,3,2,6,9,H,8,Boavista_Feirense_2017
65,4,Moreirense,20,3,0,2,2,0,1,1,19,H,13,2017-09-30,Pacos Ferreira,P1,8,5,2,6,H,6,Pacos Ferreira_Moreirense_2017
66,3,Aves,15,2,0,2,1,0,1,2,7,D,8,2017-09-30,Portimonense,P1,2,5,11,15,D,1,Portimonense_Aves_2017
67,3,Setubal,12,2,0,1,0,0,0,2,20,H,5,2017-09-30,Rio Ave,P1,1,6,3,9,D,4,Rio Ave_Setubal_2017
68,4,Guimaraes,15,1,0,0,1,0,0,1,15,H,8,2017-10-01,Belenenses,P1,2,2,1,4,H,11,Belenenses_Guimaraes_2017
69,2,Benfica,12,1,0,1,0,0,1,1,17,D,11,2017-10-01,Maritimo,P1,5,6,4,10,A,8,Maritimo_Benfica_2017
70,0,Estoril,21,6,0,0,2,0,0,2,17,H,10,2017-10-01,Sp Braga,P1,3,9,4,12,H,5,Sp Braga_Estoril_2017
71,2,Porto,13,0,0,0,0,0,0,3,17,D,9,2017-10-01,Sp Lisbon,P1,6,1,10,3,D,2,Sp Lisbon_Porto_2017
72,2,Boavista,15,0,0,3,0,0,2,4,13,A,9,2017-10-20,Estoril,P1,6,4,11,11,A,2,Estoril_Boavista_2017
73,5,Rio Ave,18,1,2,0,1,1,0,5,12,H,6,2017-10-21,Feirense,P1,3,2,5,6,H,5,Feirense_Rio Ave_2017
74,2,Pacos Ferreira,12,6,0,1,4,0,1,4,20,H,6,2017-10-21,Porto,P1,3,12,6,17,H,2,Porto_Pacos Ferreira_2017
75,0,Maritimo,18,3,1,1,0,0,1,2,21,H,4,2017-10-21,Setubal,P1,3,6,6,14,A,2,Setubal_Maritimo_2017
76,1,Benfica,7,1,0,3,0,0,1,3,18,A,17,2017-10-22,Aves,P1,12,3,5,8,A,10,Aves_Benfica_2017
77,1,Chaves,15,5,0,1,3,0,0,1,11,H,7,2017-10-22,Sp Lisbon,P1,2,5,4,8,H,4,Sp Lisbon_Chaves_2017
78,4,Belenenses,19,2,1,0,0,0,0,4,23,H,8,2017-10-22,Tondela,P1,2,5,2,16,D,1,Tondela_Belenenses_2017
79,1,Portimonense,16,3,0,3,1,0,3,2,18,D,8,2017-10-23,Guimaraes,P1,6,8,8,14,A,3,Guimaraes_Portimonense_2017
80,3,Sp Braga,21,0,0,1,0,0,0,2,22,A,13,2017-10-23,Moreirense,P1,6,1,4,1,D,7,Moreirense_Sp Braga_2017
81,0,Feirense,20,1,0,0,1,0,0,3,16,H,6,2017-10-27,Benfica,P1,4,5,7,11,H,6,Benfica_Feirense_2017
82,0,Sp Lisbon,12,0,0,1,0,0,0,2,12,A,5,2017-10-27,Rio Ave,P1,1,5,8,19,D,3,Rio Ave_Sp Lisbon_2017
83,3,Moreirense,19,3,0,0,1,0,0,1,12,H,9,2017-10-28,Belenenses,P1,2,4,3,7,H,6,Belenenses_Moreirense_2017
84,6,Porto,18,0,0,3,0,0,0,5,19,A,12,2017-10-28,Boavista,P1,6,1,7,6,D,5,Boavista_Porto_2017
85,4,Tondela,18,2,0,0,1,0,0,3,21,H,9,2017-10-28,Maritimo,P1,3,4,3,7,H,2,Maritimo_Tondela_2017
86,1,Guimaraes,18,1,0,3,1,0,2,2,12,A,9,2017-10-29,Aves,P1,5,4,6,12,A,1,Aves_Guimaraes_2017
87,5,Estoril,25,1,0,0,1,1,0,1,13,H,6,2017-10-29,Pacos Ferreira,P1,1,1,6,5,H,7,Pacos Ferreira_Estoril_2017
88,3,Chaves,20,1,0,0,0,0,0,1,12,H,6,2017-10-29,Sp Braga,P1,2,5,12,8,D,5,Sp Braga_Chaves_2017
89,3,Setubal,23,5,1,2,3,0,1,3,9,H,7,2017-10-30,Portimonense,P1,4,11,4,13,H,2,Portimonense_Setubal_2017
90,3,Aves,12,0,0,1,0,1,0,4,23,A,6,2017-11-03,Setubal,P1,5,4,2,7,D,7,Setubal_Aves_2017
91,3,Rio Ave,22,0,0,2,0,0,1,2,22,A,12,2017-11-04,Estoril,P1,8,3,2,8,A,5,Estoril_Rio Ave_2017
