,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
73,3.75,1.45,,-1.25,1.44,6.0,4.0,7.0,6.0,,7.0,3.75,1.44,1.4,6.75,1.4,5.8,2.53,1.4,3.75,2.0,1.85,1.9,-0.5,1.75,3.6,,3.95,1.4,Boavista,Penafiel,Boavista_Penafiel_2004
74,3.2,2.3,,-0.25,2.3,2.7,3.2,2.65,2.62,,2.65,3.1,2.37,2.3,2.65,2.35,2.8,1.46,2.35,3.1,2.025,1.825,2.0,-0.5,1.65,2.9,,3.25,2.35,Guimaraes,Maritimo,Guimaraes_Maritimo_2004
75,3.2,2.2,,-0.25,2.1,3.0,3.2,3.2,3.0,,3.1,3.2,2.1,2.0,2.9,2.2,3.0,1.57,2.1,3.2,1.95,1.9,1.95,-0.5,1.71,2.9,,3.2,2.1,Academica,Leiria,Academica_Leiria_2004
76,3.75,1.45,,-1.25,1.4,7.0,3.8,7.0,7.0,,6.75,3.75,1.4,1.4,6.25,1.45,5.8,2.51,1.4,3.75,2.025,1.825,1.79,-0.5,1.85,3.6,,4.0,1.4,Benfica,Setubal,Benfica_Setubal_2004
77,3.2,1.9,,-0.5,2.0,3.3,3.3,3.2,3.2,,3.45,3.2,2.0,2.0,3.55,1.9,3.5,1.63,2.0,3.1,2.025,1.825,1.9,-0.5,1.75,3.1,,3.1,2.0,Moreirense,Estoril,Moreirense_Estoril_2004
78,3.5,1.6,,-1.0,1.57,5.0,3.65,5.25,5.0,,5.5,3.5,1.57,1.55,5.8,1.5,4.8,2.14,1.55,3.5,2.025,1.825,1.83,-0.5,1.83,3.3,,3.5,1.55,Nacional,Gil Vicente,Nacional_Gil Vicente_2004
79,3.2,2.0,,-0.5,2.0,3.3,3.3,3.7,3.5,,3.6,3.2,1.9,1.85,3.55,1.9,3.4,1.64,2.0,3.1,2.025,1.825,2.0,-0.5,1.65,2.9,,3.0,2.0,Sp Braga,Rio Ave,Sp Braga_Rio Ave_2004
80,3.25,1.8,4.333,-0.5,1.75,4.0,3.4,4.2,4.33,1.727,3.8,3.2,1.72,1.72,3.8,1.8,3.8,1.79,1.8,3.3,1.9,1.95,1.95,-0.5,1.71,3.1,3.2,3.4,1.8,Porto,Sp Lisbon,Porto_Sp Lisbon_2004
81,3.25,1.8,3.75,-0.5,1.85,3.6,3.4,4.0,3.6,1.8,3.8,3.25,1.83,1.75,3.8,1.8,3.8,1.75,1.85,3.25,1.925,1.925,1.95,-0.5,1.71,3.1,3.25,3.25,1.85,Estoril,Academica,Estoril_Academica_2004
82,3.3,1.65,5.0,-0.75,1.62,4.75,3.45,4.2,4.5,1.62,4.75,3.5,1.61,1.7,4.3,1.7,4.4,1.98,1.65,3.4,2.0,1.85,1.9,-0.5,1.75,3.3,3.25,3.4,1.65,Belenenses,Moreirense,Belenenses_Moreirense_2004
83,3.4,4.8,1.57,1.0,5.5,1.53,3.65,1.5,1.57,5.0,1.6,3.5,5.0,6.0,1.5,5.8,1.55,1.6,5.0,3.4,1.85,2.0,1.9,0.5,1.75,3.5,3.5,3.5,2.06,Gil Vicente,Porto,Gil Vicente_Porto_2004
84,3.1,2.8,2.1,0.25,2.88,2.2,3.25,2.1,2.1,3.0,2.2,3.25,3.0,3.1,2.15,2.95,2.3,2.2,3.1,3.1,2.0,1.85,1.95,0.5,1.71,2.9,3.2,3.0,1.52,Maritimo,Benfica,Maritimo_Benfica_2004
85,3.2,2.3,3.0,-0.25,2.25,2.75,3.2,3.1,2.75,2.1,2.8,3.2,2.25,2.05,2.8,2.25,2.8,1.49,2.25,3.2,2.0,1.85,1.95,-0.5,1.71,2.9,3.2,3.2,2.25,Penafiel,Beira Mar,Penafiel_Beira Mar_2004
86,3.25,1.75,3.75,-0.5,1.8,3.8,3.45,3.6,3.75,1.8,3.8,3.4,1.8,1.85,4.3,1.7,4.0,1.79,1.8,3.25,1.825,2.025,1.95,-0.5,1.71,3.2,3.25,3.4,1.8,Setubal,Nacional,Setubal_Nacional_2004
87,3.2,2.1,2.75,-0.25,2.25,2.8,3.2,2.75,2.75,2.25,2.8,3.2,2.25,2.25,2.75,2.3,3.1,1.49,2.25,3.1,2.0,1.85,2.0,-0.5,1.65,3.0,3.2,3.2,2.25,Leiria,Sp Braga,Leiria_Sp Braga_2004
88,3.4,1.7,5.0,-0.75,1.67,4.33,3.4,4.8,4.5,1.62,4.35,3.5,1.61,1.6,4.05,1.75,4.2,1.91,1.7,3.4,1.925,1.925,1.95,-0.5,1.71,3.2,3.25,3.4,1.7,Sp Lisbon,Boavista,Sp Lisbon_Boavista_2004
89,3.2,1.85,3.75,-0.5,1.83,3.75,3.4,3.5,3.75,1.8,3.8,3.4,1.8,1.9,4.05,1.75,3.8,1.79,1.8,3.2,1.85,2.0,2.0,-0.5,1.65,3.0,3.25,3.4,1.8,Rio Ave,Guimaraes,Rio Ave_Guimaraes_2004
90,3.2,2.5,2.75,0.0,2.38,2.7,3.2,2.8,2.7,2.38,2.75,3.0,2.4,2.2,2.75,2.3,2.7,1.43,2.4,3.0,1.775,2.075,2.0,-0.5,1.65,2.8,3.0,3.0,2.4,Nacional,Maritimo,Nacional_Maritimo_2004
91,3.4,3.8,,0.75,3.75,1.83,3.4,1.8,1.9,,1.8,3.25,3.4,3.6,1.75,4.05,1.8,1.8,4.0,3.2,1.9,1.95,1.79,0.5,1.85,3.1,,3.25,1.79,Beira Mar,Sp Lisbon,Beira Mar_Sp Lisbon_2004
92,3.75,1.5,,-1.0,1.5,6.0,3.65,7.0,5.5,,7.0,3.6,1.5,1.4,5.8,1.5,5.4,2.44,1.42,3.4,1.95,1.9,1.85,-0.5,1.79,3.5,,3.75,1.42,Porto,Boavista,Porto_Boavista_2004
93,4.5,1.33,9.0,-1.25,1.33,8.0,4.5,8.0,7.0,1.286,8.25,4.33,1.33,1.28,8.25,1.3,7.5,2.91,1.3,4.0,1.775,2.075,1.85,-0.5,1.79,4.0,4.333,4.5,1.3,Benfica,Rio Ave,Benfica_Rio Ave_2004
94,3.2,2.5,,0.25,2.7,2.38,3.25,2.15,2.4,,2.4,3.0,2.7,2.9,2.1,3.05,2.5,2.4,2.7,3.0,1.875,1.975,1.95,0.5,1.71,3.0,,3.1,1.44,Gil Vicente,Setubal,Gil Vicente_Setubal_2004
95,3.2,2.1,,-0.25,2.1,3.1,3.25,2.8,3.0,,3.2,3.0,2.2,2.2,3.05,2.1,3.1,1.57,2.1,3.1,1.875,1.975,2.0,-0.5,1.65,3.0,,3.1,2.1,Guimaraes,Leiria,Guimaraes_Leiria_2004
96,3.2,1.9,,-0.5,1.91,3.5,3.3,3.0,3.2,,3.75,3.2,2.0,2.1,3.55,1.9,3.6,1.71,1.9,3.2,1.975,1.875,1.9,-0.5,1.75,3.0,,3.15,1.9,Moreirense,Penafiel,Moreirense_Penafiel_2004
97,3.5,1.65,,-0.5,1.7,4.33,3.45,4.5,4.0,,4.4,3.4,1.72,1.6,4.3,1.7,4.4,1.87,1.73,3.25,1.75,2.1,1.85,-0.5,1.79,3.3,,3.25,1.73,Sp Braga,Estoril,Sp Braga_Estoril_2004
98,3.2,2.1,3.0,-0.25,2.1,3.1,3.25,3.2,3.0,2.1,3.0,3.0,2.2,2.0,3.05,2.1,3.1,1.52,2.2,3.1,1.825,2.025,1.9,-0.5,1.75,3.0,3.2,3.1,2.2,Academica,Belenenses,Academica_Belenenses_2004
99,3.4,1.45,6.0,-1.0,1.5,5.5,4.0,6.0,5.5,1.5,6.25,3.6,1.5,1.5,6.75,1.4,5.4,2.24,1.5,3.6,1.95,1.9,1.95,-0.5,1.71,3.8,3.4,3.5,1.5,Boavista,Beira Mar,Boavista_Beira Mar_2004
100,3.1,2.2,,-0.25,2.2,2.88,3.2,2.87,3.1,,3.0,3.1,2.1,2.2,2.9,2.2,3.0,1.52,2.2,3.1,1.9,1.95,1.83,-0.5,1.83,2.9,,3.1,2.2,Belenenses,Sp Braga,Belenenses_Sp Braga_2004
101,3.1,2.2,,-0.25,2.0,3.3,3.25,2.87,3.4,,3.2,3.25,1.9,2.2,3.45,1.95,3.0,1.55,2.15,3.1,1.8,2.05,2.0,-0.5,1.65,2.9,,3.0,2.15,Estoril,Guimaraes,Estoril_Guimaraes_2004
102,3.2,3.6,,0.5,3.75,1.83,3.4,1.83,1.8,,1.9,3.25,3.8,3.75,1.8,3.8,1.85,1.9,3.8,3.2,1.9,1.95,1.95,0.5,1.71,3.1,,3.1,1.71,Leiria,Benfica,Leiria_Benfica_2004
