,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
146,0,0,2021-02-14,2,22,G1,0,1,6,0,0,13,2,7,2,0,4,13:00:00,Panetolikos,D,D,Aris,0,Aris_Panetolikos_2020
147,5,0,2021-02-14,12,25,G1,1,3,10,0,0,18,1,3,1,2,4,15:15:00,Volos NFC,A,A,OFI Crete,2,OFI Crete_Volos NFC_2020
148,5,1,2021-02-14,13,15,G1,2,3,5,1,0,15,2,4,3,0,3,17:30:00,Olympiakos,H,H,Panathinaikos,1,Panathinaikos_Olympiakos_2020
149,6,0,2021-02-15,11,14,G1,0,2,1,0,0,12,7,2,2,0,1,15:15:00,PAOK,D,A,Giannina,2,Giannina_PAOK_2020
150,5,0,2021-02-15,13,20,G1,2,1,6,0,0,24,3,2,2,2,4,15:15:00,AEK,A,A,Larisa,4,Larisa_AEK_2020
151,2,0,2021-02-18,6,26,G1,0,5,9,1,1,20,0,8,2,1,4,15:15:00,Lamia,A,A,Apollon,1,Apollon_Lamia_2020
152,6,0,2021-02-20,9,13,G1,1,2,10,0,0,8,5,5,3,1,4,15:15:00,Larisa,A,D,Atromitos,1,Atromitos_Larisa_2020
153,5,1,2021-02-20,8,10,G1,2,1,11,0,0,13,5,7,0,2,8,17:30:00,Asteras Tripolis,A,D,AEK,2,AEK_Asteras Tripolis_2020
154,0,1,2021-02-21,1,10,G1,4,1,17,0,0,12,2,4,2,0,10,13:00:00,Lamia,H,H,PAOK,0,PAOK_Lamia_2020
155,5,1,2021-02-21,9,17,G1,2,2,11,0,0,24,6,2,3,0,4,13:00:00,Apollon,H,H,Volos NFC,0,Volos NFC_Apollon_2020
156,2,1,2021-02-21,4,17,G1,1,3,5,0,0,16,5,3,3,0,2,15:15:00,OFI Crete,H,H,Giannina,0,Giannina_OFI Crete_2020
157,4,1,2021-02-21,7,19,G1,1,5,8,0,0,16,2,10,3,0,4,17:30:00,Aris,H,D,Olympiakos,1,Olympiakos_Aris_2020
158,3,1,2021-02-22,7,17,G1,1,2,4,0,0,24,8,2,1,0,3,17:30:00,Panathinaikos,H,H,Panetolikos,0,Panetolikos_Panathinaikos_2020
159,6,0,2021-02-24,11,19,G1,0,4,7,0,0,20,4,5,2,1,1,15:15:00,Lamia,A,A,Larisa,1,Larisa_Lamia_2020
160,6,1,2021-02-27,11,19,G1,2,2,10,0,0,23,4,5,1,1,5,15:15:00,OFI Crete,D,H,Apollon,1,Apollon_OFI Crete_2020
161,6,1,2021-02-27,10,11,G1,2,1,6,0,0,9,2,2,1,0,3,17:30:00,PAOK,H,H,Asteras Tripolis,1,Asteras Tripolis_PAOK_2020
162,1,1,2021-02-28,4,11,G1,3,2,13,0,0,16,2,5,2,0,4,13:00:00,Atromitos,H,H,Aris,0,Aris_Atromitos_2020
163,2,0,2021-02-28,5,24,G1,0,3,3,0,0,30,1,4,2,0,2,15:15:00,Giannina,D,D,Lamia,0,Lamia_Giannina_2020
164,1,1,2021-02-28,2,14,G1,1,3,4,0,0,23,2,6,2,0,1,15:15:00,Panetolikos,H,H,Larisa,0,Larisa_Panetolikos_2020
165,4,0,2021-02-28,7,16,G1,1,4,4,0,0,20,3,4,2,0,3,17:30:00,AEK,D,D,Panathinaikos,1,Panathinaikos_AEK_2020
166,5,1,2021-03-01,8,15,G1,1,4,3,0,0,20,4,1,2,1,2,17:30:00,Olympiakos,D,A,Volos NFC,2,Volos NFC_Olympiakos_2020
167,5,1,2021-03-06,8,24,G1,2,2,8,0,1,19,1,5,3,1,4,13:00:00,Larisa,D,A,OFI Crete,3,OFI Crete_Larisa_2020
168,6,1,2021-03-06,9,18,G1,1,2,5,1,0,17,2,1,4,0,3,15:15:00,Asteras Tripolis,H,D,Atromitos,1,Atromitos_Asteras Tripolis_2020
169,1,1,2021-03-06,4,19,G1,1,3,5,0,0,26,2,5,3,0,1,17:30:00,Panathinaikos,H,H,Giannina,0,Giannina_Panathinaikos_2020
170,1,3,2021-03-07,3,12,G1,3,1,9,0,0,14,3,6,1,0,5,13:00:00,Lamia,H,H,Olympiakos,0,Olympiakos_Lamia_2020
171,1,0,2021-03-07,1,22,G1,1,2,3,0,0,18,3,1,2,0,1,15:15:00,Volos NFC,D,H,Panetolikos,0,Panetolikos_Volos NFC_2020
172,3,0,2021-03-07,6,20,G1,2,3,10,0,0,11,3,7,2,1,6,17:30:00,Aris,A,D,PAOK,2,PAOK_Aris_2020
173,0,2,2021-03-08,2,11,G1,2,2,10,0,0,20,1,4,2,0,6,17:30:00,Apollon,H,H,AEK,0,AEK_Apollon_2020
