,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
122,2,3,Arsenal,Wigan,E0,11,8,5,2,17,3,G Poll,13,2,A,2,0,A,16,3,0,19/11/2005,3,Wigan_Arsenal_2005
123,4,2,Fulham,Middlesbrough,E0,20,6,11,9,16,1,U Rennie,9,3,H,0,0,A,9,1,0,20/11/2005,0,Middlesbrough_Fulham_2005
124,7,1,West Ham,Tottenham,E0,15,4,8,9,13,0,A Wiley,8,1,D,1,0,H,16,1,0,20/11/2005,3,Tottenham_West Ham_2005
125,10,0,Blackburn,Arsenal,E0,13,9,10,9,15,0,C Foy,15,3,H,2,0,H,9,2,0,26/11/2005,1,Arsenal_Blackburn_2005
126,3,0,Charlton,Aston Villa,E0,16,3,10,10,12,0,M Clattenburg,5,1,H,0,0,D,9,2,0,26/11/2005,2,Aston Villa_Charlton_2005
127,4,1,Liverpool,Man City,E0,3,6,1,6,13,0,A Wiley,8,0,A,0,0,D,13,2,0,26/11/2005,0,Man City_Liverpool_2005
128,1,2,Chelsea,Portsmouth,E0,6,6,2,2,7,1,P Dowd,12,0,A,0,0,A,22,1,0,26/11/2005,5,Portsmouth_Chelsea_2005
129,2,1,Birmingham,Sunderland,E0,4,7,3,6,10,0,U Rennie,10,0,A,0,0,D,7,0,0,26/11/2005,0,Sunderland_Birmingham_2005
130,5,2,Tottenham,Wigan,E0,11,5,3,6,17,1,M Riley,7,1,A,0,0,A,14,2,0,26/11/2005,0,Wigan_Tottenham_2005
131,8,0,Newcastle,Everton,E0,14,10,9,12,19,0,H Webb,16,1,H,0,0,D,19,5,0,27/11/2005,1,Everton_Newcastle_2005
132,6,1,Bolton,Fulham,E0,10,3,7,3,18,0,G Poll,5,2,H,2,0,H,17,7,0,27/11/2005,2,Fulham_Bolton_2005
133,5,2,West Brom,Middlesbrough,E0,13,6,8,6,13,1,P Walton,9,2,D,1,0,D,15,1,0,27/11/2005,1,Middlesbrough_West Brom_2005
134,5,2,Man United,West Ham,E0,10,10,3,4,7,0,S Bennett,16,1,A,1,0,H,15,3,0,27/11/2005,2,West Ham_Man United_2005
135,3,2,Liverpool,Sunderland,E0,8,11,4,3,10,2,P Dowd,15,0,A,0,1,A,15,2,0,30/11/2005,0,Sunderland_Liverpool_2005
136,5,2,Everton,Blackburn,E0,15,5,7,7,18,2,M Halsey,8,0,A,0,0,A,8,1,1,03/12/2005,1,Blackburn_Everton_2005
137,3,0,Arsenal,Bolton,E0,10,3,9,9,15,0,H Webb,8,2,H,2,0,H,16,2,0,03/12/2005,1,Bolton_Arsenal_2005
138,4,0,Middlesbrough,Chelsea,E0,17,5,9,6,14,0,M Riley,10,1,H,0,0,D,15,0,0,03/12/2005,0,Chelsea_Middlesbrough_2005
139,6,0,Wigan,Liverpool,E0,16,6,12,11,15,0,U Rennie,10,3,H,2,0,H,16,2,0,03/12/2005,1,Liverpool_Wigan_2005
140,4,0,Portsmouth,Man United,E0,19,4,12,11,16,0,C Foy,8,3,H,1,0,H,9,1,0,03/12/2005,0,Man United_Portsmouth_2005
141,4,1,Aston Villa,Newcastle,E0,8,6,2,6,15,0,A Wiley,9,1,D,1,0,H,17,2,0,03/12/2005,1,Newcastle_Aston Villa_2005
142,0,2,Sunderland,Tottenham,E0,14,2,8,12,19,1,P Walton,5,3,H,1,0,D,8,2,0,03/12/2005,0,Tottenham_Sunderland_2005
