,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,BWD,GBH,WHA,GBAHA,WHH,BWH,B365H,GBA,SBD,LBAHH,WHD,LBAH,B365AH,LBD,BWA,B365D,SBH,GBD,IWH,B365>2.5,GBAHH,HomeTeam,AwayTeam,idGame
346,1.91,-0.25,3.1,3.1,3.1,1.95,1.75,2.05,3.4,2.04,1.85,3.0,2.05,3.2,2.2,3.25,2.0,1.95,2.2,2.25,3.15,3.25,1.8,3.3,-0.25,-0.25,3.25,3.0,3.25,2.2,3.25,2.1,1.75,1.8,Newcastle,Middlesbrough,Newcastle_Middlesbrough_2004
347,2.1,-0.25,3.2,3.2,3.25,2.15,1.6,2.075,3.0,2.02,1.825,3.1,1.57,3.2,2.15,3.2,2.0,2.05,2.1,2.2,3.25,3.2,1.82,3.1,-0.25,-0.25,3.2,3.2,3.2,2.2,3.15,2.0,2.35,1.8,Birmingham,Blackburn,Birmingham_Blackburn_2004
348,3.5,0.5,2.0,2.0,2.0,2.0,1.71,1.9,1.91,2.12,2.0,3.1,1.66,3.35,3.65,1.83,1.95,3.6,4.0,3.75,1.95,3.2,1.72,3.3,0.5,0.25,3.2,1.8,3.2,3.75,3.3,3.2,2.15,1.73,Bolton,Chelsea,Bolton_Chelsea_2004
349,2.75,0.0,2.4,2.5,2.5,2.05,1.65,1.95,2.25,1.92,1.95,3.0,1.65,3.1,2.75,2.37,1.9,2.62,3.0,2.75,2.4,3.25,1.92,3.1,0.0,0.0,3.2,2.25,3.2,2.8,3.2,2.5,2.2,1.9,Fulham,Everton,Fulham_Everton_2004
350,1.57,-0.75,5.0,3.8,5.0,1.95,1.75,1.75,5.0,1.74,2.15,3.1,1.8,3.4,1.73,4.2,1.82,1.7,1.6,1.72,4.5,3.4,2.1,3.4,-0.75,-0.75,3.5,5.5,3.4,1.7,3.4,1.8,2.0,1.98,Liverpool,Middlesbrough,Liverpool_Middlesbrough_2004
351,1.73,-0.5,4.33,4.2,5.0,2.0,1.71,2.075,4.33,2.08,1.825,3.2,1.66,3.2,1.8,3.75,1.86,1.8,1.8,1.72,4.25,3.25,1.76,3.3,-0.5,-0.5,3.2,4.3,3.4,1.83,3.3,1.7,2.15,1.8,Man City,Portsmouth,Man City_Portsmouth_2004
352,1.73,-0.5,4.2,3.5,4.33,1.85,1.85,1.95,3.75,1.92,1.95,3.1,1.95,3.2,1.85,3.6,1.81,1.8,1.8,1.83,4.0,3.4,1.92,3.4,-0.5,-0.5,3.5,4.3,3.3,1.83,3.3,1.9,1.85,1.85,Newcastle,Crystal Palace,Newcastle_Crystal Palace_2004
353,2.1,-0.5,3.5,3.1,3.5,1.9,1.79,1.85,3.0,1.86,2.05,3.0,1.85,3.2,2.0,2.8,1.67,2.15,2.1,2.0,3.4,3.25,1.98,3.3,-0.5,-0.5,3.2,3.2,3.4,2.05,3.3,2.1,1.95,2.0,Southampton,Norwich,Southampton_Norwich_2004
354,5.0,0.75,1.67,1.65,1.61,1.9,1.79,1.85,1.57,1.82,2.05,3.3,1.8,3.4,5.0,1.57,1.82,5.0,4.5,6.0,1.65,3.6,2.02,3.5,0.75,0.75,3.5,1.7,3.4,5.0,3.5,4.4,2.0,1.98,Charlton,Man United,Charlton_Man United_2004
355,2.0,-0.5,4.0,3.6,4.0,2.0,1.71,1.875,3.2,1.84,2.025,3.1,1.7,3.15,1.95,3.6,1.73,1.83,2.0,1.9,3.7,3.25,2.0,3.3,-0.5,-0.5,3.2,3.5,3.3,1.91,3.25,1.85,2.1,1.95,Tottenham,Aston Villa,Tottenham_Aston Villa_2004
356,5.5,0.5,1.67,1.65,1.66,1.95,1.75,1.975,1.5,,1.925,3.3,1.7,3.45,4.85,1.57,1.67,5.0,5.3,5.0,1.67,3.6,,3.5,,0.75,3.6,1.6,3.6,5.0,3.5,4.4,2.1,2.03,West Brom,Arsenal,West Brom_Arsenal_2004
357,2.1,-0.5,3.2,3.2,2.75,,,2.0,3.0,1.98,1.9,3.1,,3.1,2.2,2.87,1.56,2.2,2.25,2.2,3.0,3.2,1.786,3.1,-0.25,-0.25,3.2,3.0,3.4,2.2,3.25,2.0,,2.2,Fulham,Newcastle,Fulham_Newcastle_2004
358,2.2,-0.25,3.0,2.8,2.87,2.0,1.71,1.9,2.8,1.82,2.0,3.1,1.65,3.2,2.25,2.7,1.85,2.2,2.2,2.37,3.0,3.2,2.02,3.3,-0.25,-0.25,3.2,3.0,3.25,2.3,3.2,2.2,2.05,1.95,Aston Villa,Man City,Aston Villa_Man City_2004
