,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,GBH,SOH,WHA,GBAHA,SOA,WHH,GBA,B365H,SBD,LBAHH,WHD,LBAH,B365AH,LBD,SBH,B365D,GBD,IWH,B365>2.5,SOD,GBAHH,HomeTeam,AwayTeam,idGame
262,2.1,-0.25,3.0,3.2,3.2,1.85,1.85,1.975,3.0,1.9,1.925,3.0,1.85,2.2,2.2,3.3,1.9,2.88,2.0,3.2,2.2,3.25,1.95,3.1,-0.25,-0.25,3.2,2.1,3.25,3.2,2.1,1.95,3.2,1.95,Leicester,Wolves,Leicester_Wolves_2003
263,4.0,0.5,1.72,1.75,1.8330000000000002,1.75,1.95,1.9,1.7269999999999999,1.9,2.0,3.2,1.9,4.4,4.33,1.72,1.8,1.73,4.2,1.8,4.333,3.25,1.95,3.25,0.5,0.5,3.4,4.33,3.3,3.35,4.0,1.9,3.25,1.9,Man City,Chelsea,Man City_Chelsea_2003
264,2.75,0.25,2.1,2.0,2.2,1.79,1.9,1.925,2.25,1.8,1.975,3.1,1.8,3.2,3.4,1.9,1.85,2.2,3.5,2.2,3.2,3.25,2.05,3.2,0.25,0.25,3.2,3.0,3.25,3.2,3.2,2.0,3.0,2.0,Leeds,Liverpool,Leeds_Liverpool_2003
265,3.0,0.25,2.1,2.1,2.2,1.85,1.85,1.95,2.1,1.85,1.95,3.0,1.85,3.2,2.8,2.2,1.9,2.2,2.8,2.2,3.2,3.25,2.0,3.2,0.25,0.25,3.2,3.0,3.25,3.2,3.2,1.95,3.25,1.95,Portsmouth,Newcastle,Portsmouth_Newcastle_2003
266,2.1,0.0,3.0,3.2,3.4,1.95,1.75,1.9,3.0,1.9,2.0,3.1,,2.15,2.1,3.1,2.2,3.3,2.1,3.25,2.1,3.25,1.95,3.1,-0.25,-0.25,3.2,2.1,3.25,3.25,2.0,,3.3,1.6,Birmingham,Middlesbrough,Birmingham_Middlesbrough_2003
267,2.0,-0.25,3.25,3.3,3.2,1.85,1.85,1.975,3.2,1.95,1.925,3.0,1.8,2.1,1.95,3.2,2.0,3.8,2.0,3.4,2.1,3.25,1.9,3.2,-0.25,-0.25,3.2,2.0,3.25,3.2,2.0,2.0,3.25,1.85,Birmingham,Bolton,Birmingham_Bolton_2003
268,2.0,-0.25,3.0,3.1,2.8,2.0,1.71,2.05,3.2,1.95,1.85,3.0,1.8,2.25,2.2,2.75,1.95,3.2,2.2,3.0,2.2,3.25,1.9,3.25,-0.25,-0.25,3.2,2.1,3.25,3.3,2.1,2.0,3.2,1.9,Middlesbrough,Tottenham,Middlesbrough_Tottenham_2003
269,1.444,-1.25,6.0,5.0,6.5,1.75,1.95,2.0,6.0,2.1,1.9,3.7,1.95,1.53,1.5,5.5,1.6,7.0,1.53,6.5,1.571,3.6,1.75,3.4,-1.0,-1.0,3.75,1.5,3.5,3.65,1.5,1.85,3.75,2.2,Birmingham,Leicester,Birmingham_Leicester_2003
270,6.0,0.5,1.53,1.6,1.5330000000000001,1.71,2.0,2.1,1.5,1.75,1.8,3.4,2.0,6.0,7.0,1.5,1.57,1.5,6.0,1.57,6.5,3.4,2.1,3.4,0.75,1.0,3.4,6.0,3.75,3.6,4.6,1.8,3.75,2.25,Blackburn,Arsenal,Blackburn_Arsenal_2003
271,4.333,0.5,1.73,1.75,1.7269999999999999,1.79,1.9,2.1,1.7269999999999999,1.8,1.8,3.2,1.9,4.75,5.0,1.66,1.73,1.67,4.5,1.73,4.5,3.25,2.05,3.3,0.5,0.75,3.2,4.33,3.6,3.4,4.0,1.9,3.6,1.98,Bolton,Chelsea,Bolton_Chelsea_2003
272,2.1,-0.25,3.0,3.1,3.2,1.9,1.79,1.95,3.0,1.9,1.95,3.0,1.8,2.2,2.2,3.0,1.92,3.1,2.1,3.15,2.2,3.25,1.95,3.2,-0.25,-0.25,3.2,2.1,3.25,3.2,2.1,2.0,3.25,1.92,Charlton,Middlesbrough,Charlton_Middlesbrough_2003
273,1.7269999999999999,-0.75,4.5,4.2,5.0,1.79,1.9,1.85,4.333,1.9,2.05,3.2,1.8,1.75,1.67,4.33,1.85,5.5,1.72,4.7,1.7269999999999999,3.4,1.95,3.2,-0.75,-0.75,3.2,1.67,3.4,3.4,1.7,2.0,3.3,2.0,Everton,Portsmouth,Everton_Portsmouth_2003
274,1.8,-0.25,3.75,3.8,4.333,1.79,1.9,1.85,3.75,1.8,2.05,3.1,1.8,1.85,1.8,4.0,2.05,4.33,1.72,4.0,1.8330000000000002,3.25,2.05,3.4,-0.5,-0.5,3.25,1.85,3.3,3.4,1.8,2.0,3.4,1.7,Fulham,Leeds,Fulham_Leeds_2003
275,4.0,0.5,1.8,1.7,1.909,1.71,2.0,1.9,1.8,1.9,2.0,3.2,1.95,4.33,4.33,1.72,1.8,1.8,4.0,1.8,4.0,3.2,1.95,3.4,0.5,0.5,3.2,4.0,3.25,3.4,4.2,1.85,3.4,1.9,Man City,Man United,Man City_Man United_2003
276,2.6,0.5,2.38,2.3,2.375,1.9,1.79,2.1,2.375,2.0,1.8,3.0,1.8,2.8,2.88,2.25,2.4,2.38,2.75,2.4,2.875,3.2,1.85,3.2,0.25,0.25,3.2,2.62,3.25,3.25,2.7,2.0,3.2,1.5,Southampton,Liverpool,Southampton_Liverpool_2003
277,2.375,-0.25,2.6,2.5,2.7,1.75,1.95,1.95,2.6,1.9,1.95,3.0,1.95,2.5,2.4,2.6,1.6,2.8,2.4,2.7,2.5,3.2,1.95,3.1,0.0,0.0,3.2,2.4,3.25,3.2,2.5,1.85,3.25,2.2,Tottenham,Newcastle,Tottenham_Newcastle_2003
278,2.375,-0.25,2.6,2.5,2.5,1.85,1.85,1.925,2.6,1.9,1.975,3.0,1.8,2.6,2.5,2.6,1.6,2.62,2.4,2.6,2.7,3.0,1.95,3.1,0.0,0.0,3.2,2.5,3.25,3.2,2.5,2.0,3.3,2.2,Wolves,Aston Villa,Wolves_Aston Villa_2003
279,1.4,-1.25,6.5,5.4,7.5,1.79,1.9,1.825,7.0,2.05,2.025,3.8,1.85,1.45,1.44,7.0,1.65,8.0,1.44,8.0,1.44,3.75,1.8,3.5,-1.0,-1.0,3.75,1.44,4.0,3.75,1.45,1.95,3.75,2.15,Liverpool,Portsmouth,Liverpool_Portsmouth_2003
280,1.2,-1.25,10.0,9.0,13.0,1.65,2.05,1.925,11.0,1.9,1.975,4.5,2.05,1.25,1.22,9.5,2.05,12.0,1.22,11.0,1.222,5.5,1.95,5.0,-1.5,-1.5,5.0,1.2,5.5,5.25,1.25,1.75,5.5,1.7,Arsenal,Bolton,Arsenal_Bolton_2003
281,1.6669999999999998,-0.25,4.0,3.6,4.5,1.85,1.85,2.05,4.5,2.0,1.85,3.1,1.85,1.85,1.8,3.75,2.3,4.33,1.8,4.25,1.8,3.25,1.85,3.3,-0.5,-0.5,3.25,1.8,3.4,3.25,1.85,1.95,3.4,1.55,Aston Villa,Blackburn,Aston Villa_Blackburn_2003
