,WHD,IWH,LBA,SBH,SBA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
277,3.4,1.65,4.0,1.75,4.0,4.1,4.0,1.67,4.2,3.4,1.72,1.7,4.4,1.88,1.7,3.4,1.6,-0.5,2.1,3.3,3.6,3.4,1.7,Denizlispor,Genclerbirligi,Denizlispor_Genclerbirligi_2003
278,4.75,,,,,6.5,,,,,,1.3,,,,,,,,,,,,Samsunspor,Adanaspor,Samsunspor_Adanaspor_2003
279,6.0,9.5,,8.5,1.16,1.17,,,1.15,,,11.0,1.22,,9.0,6.0,,,,4.8,,6.0,,Adanaspor,Besiktas,Adanaspor_Besiktas_2003
280,5.0,1.2,12.0,1.14,12.0,10.0,11.0,1.17,12.0,5.5,1.16,1.22,10.0,,1.13,6.0,,,,5.0,5.5,6.0,,Fenerbahce,Ankaragucu,Fenerbahce_Ankaragucu_2003
281,3.6,,1.62,4.5,1.6,1.67,1.61,4.33,1.6,3.6,4.33,4.0,,1.6,4.25,3.6,,0.5,,,3.75,3.6,1.95,Gaziantepspor,Trabzonspor,Gaziantepspor_Trabzonspor_2003
282,3.2,2.0,2.75,2.0,3.2,3.2,3.0,2.25,3.2,3.2,2.1,2.0,2.1,1.6,1.95,3.2,,-0.5,,3.2,3.2,3.2,1.95,Genclerbirligi,Malatyaspor,Genclerbirligi_Malatyaspor_2003
283,3.2,2.3,2.4,2.62,2.3,2.3,,2.5,2.4,,,2.62,2.6,,2.55,3.2,,,,3.1,3.25,3.0,,Konyaspor,Denizlispor,Konyaspor_Denizlispor_2003
284,,,,,,,,,,,,,,,,,,,,,,,,A. Sebatspor,Samsunspor,A. Sebatspor_Samsunspor_2003
285,,,,,,,,,,,,,,,,,,,,,,,,Bursaspor,Rizespor,Bursaspor_Rizespor_2003
286,,,,,,,,,,,,,,,,,,,,,,,,Elazigspor,Diyarbakirspor,Elazigspor_Diyarbakirspor_2003
287,3.75,,3.75,1.7,3.75,3.75,4.0,1.67,3.5,3.6,1.66,1.7,,1.75,1.75,3.75,,-0.5,,,3.75,3.5,1.75,Galatasaray,Istanbulspor,Galatasaray_Istanbulspor_2003
288,4.5,,,1.29,7.5,7.0,,,,,,1.3,,,,4.5,,,,,,,,Ankaragucu,Adanaspor,Ankaragucu_Adanaspor_2003
289,3.5,,,,,1.6,,,,,,4.5,,,,,,,,,,,,Elazigspor,Gaziantepspor,Elazigspor_Gaziantepspor_2003
290,3.3,1.9,3.25,1.91,3.4,3.4,,1.91,3.4,,,1.85,3.3,1.82,1.85,3.2,,-0.5,,3.2,3.4,3.25,1.55,Malatyaspor,Konyaspor,Malatyaspor_Konyaspor_2003
291,3.6,,3.25,1.83,3.2,2.75,3.4,1.91,2.9,3.5,1.83,2.0,,1.59,1.9,3.6,,-0.5,,,3.4,3.5,1.9,Besiktas,A. Sebatspor,Besiktas_A. Sebatspor_2003
292,3.6,4.2,1.53,5.0,1.57,1.55,1.57,5.0,1.55,3.5,5.0,4.75,1.55,1.55,4.5,3.5,,0.5,,3.7,3.6,3.5,1.97,Denizlispor,Fenerbahce,Denizlispor_Fenerbahce_2003
293,4.0,,1.57,4.33,1.53,1.45,,4.5,1.45,,,4.5,,1.45,4.5,4.0,,0.5,,,3.75,4.0,2.12,Diyarbakirspor,Bursaspor,Diyarbakirspor_Bursaspor_2003
294,4.2,,5.5,1.5,5.0,5.0,,1.5,5.0,,,1.4,,,1.4,3.75,,,,,3.75,4.2,,Istanbulspor,Genclerbirligi,Istanbulspor_Genclerbirligi_2003
295,,,,,,,,,,,,,,,,,,,,,,,,Samsunspor,Rizespor,Samsunspor_Rizespor_2003
296,3.8,,5.5,1.44,6.0,4.75,6.0,1.5,5.0,3.75,1.44,1.45,,2.16,1.45,3.75,,-0.5,,,3.75,3.8,1.45,Trabzonspor,Galatasaray,Trabzonspor_Galatasaray_2003
297,,1.4,7.0,1.3,8.5,,,1.36,7.5,,,,6.0,1.51,1.3,4.33,,-1.5,,3.9,4.0,4.0,2.05,Fenerbahce,Malatyaspor,Fenerbahce_Malatyaspor_2003
298,4.7,1.3,7.0,1.29,7.5,6.8,,1.33,,,,1.3,6.5,2.74,,4.5,,-0.5,,4.5,4.33,,1.3,A. Sebatspor,Ankaragucu,A. Sebatspor_Ankaragucu_2003
299,3.5,2.8,1.67,3.75,1.73,1.9,,4.0,,,,3.2,2.2,1.9,,3.5,,0.5,,3.1,3.6,,1.64,Adanaspor,Denizlispor,Adanaspor_Denizlispor_2003
300,5.2,1.3,8.0,1.3,6.5,7.5,,1.29,,,,1.25,6.5,3.0,,5.0,,-0.5,,4.5,4.5,,1.25,Bursaspor,Samsunspor,Bursaspor_Samsunspor_2003
301,5.0,1.35,,1.29,8.0,8.0,,,,,,1.25,6.0,,,4.5,,,,4.3,,,,Galatasaray,Elazigspor,Galatasaray_Elazigspor_2003
302,3.8,1.6,,1.57,5.0,5.0,,,5.0,,,1.5,4.6,2.06,1.5,3.5,1.5,-0.5,2.3,3.4,,3.5,1.5,Gaziantepspor,Diyarbakirspor,Gaziantepspor_Diyarbakirspor_2003
303,,2.3,,2.1,2.88,,,,2.85,,,,2.6,1.44,2.0,3.25,,-0.5,,3.1,,3.25,2.2,Genclerbirligi,Trabzonspor,Genclerbirligi_Trabzonspor_2003
304,4.0,,1.57,4.0,1.6,1.5,,4.5,,,,4.75,,1.55,,4.0,,0.5,,,3.75,,2.05,Konyaspor,Istanbulspor,Konyaspor_Istanbulspor_2003
305,,,4.5,1.7,3.6,,,1.62,,,,,,2.05,,3.8,,0.5,,,3.6,,1.55,Rizespor,Besiktas,Rizespor_Besiktas_2003
