,WHD,IWH,LBA,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
144,3.3,3.5,1.91,3.6,1.91,3.4,1.83,1.9,3.4,1.85,3.2,3.5,3.6,1.85,3.6,1.9,1.85,3.65,3.2,1.71,0.5,1.95,3.1,3.25,3.25,1.72,Denizlispor,Galatasaray,Denizlispor_Galatasaray_2004
145,3.1,2.2,2.6,2.38,2.7,3.2,2.7,2.6,2.38,2.6,3.1,2.4,2.3,2.75,2.3,2.9,1.43,2.35,3.1,1.71,-0.5,1.95,3.0,3.25,3.2,2.35,Ankaragucu,Rizespor,Ankaragucu_Rizespor_2004
146,5.0,1.22,13.0,1.17,11.0,6.0,11.0,11.0,1.17,11.0,5.0,1.2,1.2,13.0,1.15,9.5,3.55,1.2,6.0,1.45,-0.5,2.45,4.8,5.5,5.25,1.2,Fenerbahce,Konyaspor,Fenerbahce_Konyaspor_2004
147,3.3,1.9,3.75,1.83,3.75,3.45,3.5,3.75,1.83,3.65,3.2,1.83,1.85,3.95,1.75,3.5,1.72,1.85,3.2,1.71,-0.5,1.95,3.1,3.25,3.25,1.85,Gaziantepspor,Genclerbirligi,Gaziantepspor_Genclerbirligi_2004
148,4.3,1.27,9.0,1.25,9.0,4.8,8.0,9.5,1.29,10.0,4.5,1.25,1.3,9.5,1.25,8.5,3.1,1.25,5.0,1.45,-0.5,2.45,4.3,4.5,4.5,1.25,Trabzonspor,Istanbulspor,Trabzonspor_Istanbulspor_2004
149,3.3,1.8,4.0,1.67,4.5,3.4,3.75,3.75,1.8,4.0,3.25,1.8,1.8,4.05,1.75,3.8,1.22,1.75,3.4,1.71,-1.5,1.95,3.1,3.25,3.3,2.85,Ankaraspor,Kayserispor,Ankaraspor_Kayserispor_2004
150,5.0,1.2,11.0,1.17,13.0,6.0,9.5,11.0,1.2,12.0,5.5,1.16,1.22,13.0,1.15,10.0,3.89,1.16,5.5,,-0.5,,5.0,5.0,5.75,1.16,Besiktas,A. Sebatspor,Besiktas_A. Sebatspor_2004
151,3.15,1.9,3.25,2.0,3.3,3.35,3.4,3.2,2.0,3.2,3.2,2.0,1.95,3.45,1.9,3.4,1.6,2.0,3.2,1.71,-0.5,1.95,3.2,3.25,3.2,2.0,Diyarbakirspor,Samsunspor,Diyarbakirspor_Samsunspor_2004
152,3.2,2.7,2.1,2.88,2.25,3.3,2.05,2.2,3.0,2.15,3.2,2.8,3.05,2.1,3.0,2.3,2.15,2.9,3.1,1.6,0.5,2.1,3.0,3.2,3.2,1.52,Sakaryaspor,Malatyaspor,Sakaryaspor_Malatyaspor_2004
153,3.4,4.6,1.615,5.0,1.615,3.45,1.65,1.57,4.5,1.65,3.5,5.0,4.6,1.6,5.1,1.6,,4.6,3.4,,,,3.4,3.6,3.4,,Konyaspor,Galatasaray,Konyaspor_Galatasaray_2004
154,3.55,1.55,6.5,,,3.9,6.55,5.5,1.444,6.55,3.6,1.5,1.45,7.0,1.4,4.8,,1.45,,,,,3.5,3.75,3.55,,Ankaraspor,A. Sebatspor,Ankaraspor_A. Sebatspor_2004
155,3.65,1.45,5.5,1.5,6.0,3.5,5.8,6.0,1.5,5.8,3.75,1.44,1.47,5.5,1.55,5.4,,1.47,3.6,,,,3.8,3.75,3.65,,Besiktas,Malatyaspor,Besiktas_Malatyaspor_2004
156,3.2,1.75,4.5,1.667,4.75,3.3,4.3,6.5,1.615,4.3,3.39,1.5,1.73,4.5,1.7,4.0,,1.73,3.25,,,,3.2,3.5,3.2,,Diyarbakirspor,Istanbulspor,Diyarbakirspor_Istanbulspor_2004
157,3.25,2.4,2.4,2.6,2.4,3.5,2.45,2.37,2.5,2.45,3.2,2.62,2.45,2.5,2.35,2.5,,2.45,3.2,,,,3.1,3.25,3.25,,Sakaryaspor,Genclerbirligi,Sakaryaspor_Genclerbirligi_2004
158,3.2,2.0,3.6,1.8,4.0,3.2,3.2,3.39,1.8,3.2,3.39,1.9,2.0,3.35,2.0,3.1,,2.0,3.25,,,,3.2,3.4,3.2,,Ankaragucu,Samsunspor,Ankaragucu_Samsunspor_2004
159,5.0,1.25,10.0,1.25,9.0,4.75,9.0,13.0,1.2,9.0,5.5,1.16,1.23,9.6,1.25,9.0,,1.23,5.0,,,,4.5,5.5,5.0,,Fenerbahce,Rizespor,Fenerbahce_Rizespor_2004
