,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
214,2,Yeni Malatyaspor,17,0,0,1,0,0,0,2,4,A,9,2018-03-04,Konyaspor,T1,2,2,5,4,D,4,Konyaspor_Yeni Malatyaspor_2017
215,1,Besiktas,16,0,0,2,0,0,0,2,16,A,9,2018-03-05,Trabzonspor,T1,4,2,2,9,D,2,Trabzonspor_Besiktas_2017
216,2,Buyuksehyr,17,4,1,1,1,1,0,4,12,H,7,2018-03-09,Alanyaspor,T1,6,7,0,11,H,1,Alanyaspor_Buyuksehyr_2017
217,3,Genclerbirligi,13,1,0,0,0,0,0,2,17,H,5,2018-03-10,Besiktas,T1,3,7,9,17,D,2,Besiktas_Genclerbirligi_2017
218,4,Bursaspor,17,2,0,1,2,0,0,3,17,H,7,2018-03-10,Osmanlispor,T1,3,4,4,11,H,8,Osmanlispor_Bursaspor_2017
219,2,Kasimpasa,19,2,0,2,1,0,1,2,18,D,7,2018-03-10,Sivasspor,T1,4,7,2,11,D,0,Sivasspor_Kasimpasa_2017
220,4,Konyaspor,13,2,0,1,0,0,1,6,11,H,4,2018-03-11,Galatasaray,T1,2,10,8,16,A,2,Galatasaray_Konyaspor_2017
221,3,Antalyaspor,9,2,1,1,1,0,0,5,10,H,15,2018-03-11,Goztep,T1,8,6,5,9,H,7,Goztep_Antalyaspor_2017
222,1,Karabukspor,16,3,1,2,1,0,1,3,11,H,4,2018-03-11,Kayserispor,T1,3,4,13,16,D,2,Kayserispor_Karabukspor_2017
223,0,Fenerbahce,16,0,0,2,0,0,1,2,10,A,5,2018-03-11,Yeni Malatyaspor,T1,2,3,13,7,A,3,Yeni Malatyaspor_Fenerbahce_2017
224,4,Trabzonspor,14,1,0,3,0,1,1,2,10,A,10,2018-03-12,Akhisar Belediyespor,T1,7,5,8,9,A,4,Akhisar Belediyespor_Trabzonspor_2017
225,2,Osmanlispor,11,0,0,4,0,0,2,2,8,A,12,2018-03-16,Karabukspor,T1,10,5,3,13,A,5,Karabukspor_Osmanlispor_2017
226,2,Antalyaspor,9,2,0,3,0,1,1,3,12,A,13,2018-03-16,Kasimpasa,T1,7,8,9,14,A,7,Kasimpasa_Antalyaspor_2017
227,3,Sivasspor,15,1,0,0,0,0,0,2,18,H,8,2018-03-17,Bursaspor,T1,6,4,3,10,D,5,Bursaspor_Sivasspor_2017
228,2,Galatasaray,16,0,0,0,0,0,0,3,15,D,10,2018-03-17,Fenerbahce,T1,5,6,10,8,D,3,Fenerbahce_Galatasaray_2017
229,2,Akhisar Belediyespor,11,1,0,1,0,0,1,1,15,D,7,2018-03-17,Genclerbirligi,T1,6,5,5,10,A,6,Genclerbirligi_Akhisar Belediyespor_2017
230,1,Goztep,16,1,0,1,0,0,0,4,21,D,3,2018-03-18,Alanyaspor,T1,2,4,8,10,D,1,Alanyaspor_Goztep_2017
231,5,Besiktas,22,1,0,0,1,1,0,4,13,H,12,2018-03-18,Buyuksehyr,T1,2,2,3,5,H,10,Buyuksehyr_Besiktas_2017
232,2,Kayserispor,13,2,1,0,1,1,0,2,13,H,1,2018-03-18,Konyaspor,T1,0,3,6,7,H,4,Konyaspor_Kayserispor_2017
233,2,Yeni Malatyaspor,12,4,0,1,1,0,1,1,16,H,11,2018-03-18,Trabzonspor,T1,7,8,4,11,D,3,Trabzonspor_Yeni Malatyaspor_2017
234,3,Karabukspor,15,1,0,0,0,0,0,3,15,H,6,2018-03-30,Sivasspor,T1,2,4,10,9,D,1,Sivasspor_Karabukspor_2017
235,2,Bursaspor,20,2,0,0,1,0,0,1,15,H,5,2018-03-31,Antalyaspor,T1,0,2,1,6,H,7,Antalyaspor_Bursaspor_2017
236,5,Alanyaspor,21,1,0,0,1,0,0,2,17,H,7,2018-03-31,Besiktas,T1,2,2,6,7,H,2,Besiktas_Alanyaspor_2017
237,1,Genclerbirligi,15,4,0,1,1,0,1,1,13,H,4,2018-03-31,Yeni Malatyaspor,T1,3,7,7,8,D,4,Yeni Malatyaspor_Genclerbirligi_2017
238,1,Buyuksehyr,19,1,0,2,1,1,0,1,11,A,10,2018-04-01,Akhisar Belediyespor,T1,5,4,2,9,H,5,Akhisar Belediyespor_Buyuksehyr_2017
239,2,Trabzonspor,17,2,0,1,1,0,0,3,14,H,7,2018-04-01,Galatasaray,T1,5,6,4,11,H,1,Galatasaray_Trabzonspor_2017
240,4,Kasimpasa,15,0,0,2,0,1,1,1,9,A,6,2018-04-01,Goztep,T1,3,9,14,19,A,1,Goztep_Kasimpasa_2017
241,1,Konyaspor,13,0,0,0,0,0,0,0,7,D,6,2018-04-01,Osmanlispor,T1,4,3,3,7,D,4,Osmanlispor_Konyaspor_2017
242,2,Fenerbahce,9,0,0,5,0,0,3,2,9,A,12,2018-04-02,Kayserispor,T1,7,3,7,8,A,4,Kayserispor_Fenerbahce_2017
243,1,Yeni Malatyaspor,16,1,0,0,1,0,0,1,14,H,7,2018-04-06,Buyuksehyr,T1,4,2,5,6,H,4,Buyuksehyr_Yeni Malatyaspor_2017
244,1,Goztep,21,5,1,1,2,0,0,6,11,H,10,2018-04-07,Besiktas,T1,7,10,3,17,H,5,Besiktas_Goztep_2017
245,1,Antalyaspor,18,1,0,2,0,0,1,0,15,A,8,2018-04-07,Karabukspor,T1,4,4,3,7,A,4,Karabukspor_Antalyaspor_2017
246,1,Kayserispor,13,4,0,0,0,0,0,2,12,H,7,2018-04-07,Trabzonspor,T1,3,7,6,12,D,3,Trabzonspor_Kayserispor_2017
247,4,Akhisar Belediyespor,15,3,0,1,2,0,0,2,18,H,4,2018-04-08,Alanyaspor,T1,3,8,8,16,H,6,Alanyaspor_Akhisar Belediyespor_2017
248,2,Kasimpasa,16,0,0,1,0,0,1,2,13,A,4,2018-04-08,Bursaspor,T1,1,3,9,8,A,0,Bursaspor_Kasimpasa_2017
249,1,Osmanlispor,14,2,0,0,0,0,0,2,11,H,6,2018-04-08,Fenerbahce,T1,1,3,9,12,D,2,Fenerbahce_Osmanlispor_2017
250,2,Sivasspor,13,5,1,0,1,0,0,0,4,H,6,2018-04-08,Konyaspor,T1,4,7,4,12,H,8,Konyaspor_Sivasspor_2017
251,2,Galatasaray,20,1,0,0,0,0,0,3,13,H,7,2018-04-09,Genclerbirligi,T1,4,1,5,7,D,6,Genclerbirligi_Galatasaray_2017
252,0,Besiktas,18,0,0,3,0,0,2,1,11,A,9,2018-04-13,Akhisar Belediyespor,T1,4,2,4,7,A,7,Akhisar Belediyespor_Besiktas_2017
253,1,Karabukspor,20,2,0,0,0,0,0,2,17,H,6,2018-04-14,Kasimpasa,T1,2,6,7,11,D,7,Kasimpasa_Karabukspor_2017
254,3,Fenerbahce,14,1,0,2,0,0,2,2,16,A,10,2018-04-14,Sivasspor,T1,6,4,2,6,A,4,Sivasspor_Fenerbahce_2017
255,3,Alanyaspor,25,1,0,1,0,0,0,2,17,D,5,2018-04-14,Yeni Malatyaspor,T1,3,2,2,7,D,5,Yeni Malatyaspor_Alanyaspor_2017
256,2,Konyaspor,11,0,0,0,0,0,0,2,15,D,6,2018-04-15,Antalyaspor,T1,1,0,3,6,D,6,Antalyaspor_Konyaspor_2017
257,3,Buyuksehyr,14,2,0,0,0,0,0,3,15,H,4,2018-04-15,Galatasaray,T1,2,7,5,10,D,1,Galatasaray_Buyuksehyr_2017
258,1,Bursaspor,15,2,0,1,0,0,0,4,17,H,5,2018-04-15,Goztep,T1,2,3,6,5,D,5,Goztep_Bursaspor_2017
259,2,Genclerbirligi,12,3,0,2,2,0,0,3,14,H,10,2018-04-15,Kayserispor,T1,7,3,1,7,H,7,Kayserispor_Genclerbirligi_2017
260,0,Trabzonspor,16,3,0,3,0,0,2,1,17,D,10,2018-04-16,Osmanlispor,T1,6,6,6,16,A,3,Osmanlispor_Trabzonspor_2017
261,1,Kayserispor,18,3,0,1,1,0,0,1,13,H,3,2018-04-20,Buyuksehyr,T1,2,5,4,9,H,3,Buyuksehyr_Kayserispor_2017
262,3,Galatasaray,20,2,0,3,1,0,2,2,13,A,6,2018-04-21,Alanyaspor,T1,3,6,6,7,A,1,Alanyaspor_Galatasaray_2017
263,2,Osmanlispor,20,0,0,3,0,0,1,1,13,A,14,2018-04-21,Genclerbirligi,T1,8,3,4,6,A,5,Genclerbirligi_Osmanlispor_2017
264,2,Bursaspor,16,1,0,4,1,1,2,4,21,A,8,2018-04-21,Karabukspor,T1,6,3,2,5,A,3,Karabukspor_Bursaspor_2017
265,2,Sivasspor,14,0,0,2,0,0,1,1,15,A,5,2018-04-21,Trabzonspor,T1,3,9,6,14,A,1,Trabzonspor_Sivasspor_2017
266,2,Goztep,14,1,0,1,1,0,1,3,18,D,8,2018-04-22,Akhisar Belediyespor,T1,4,2,3,7,D,7,Akhisar Belediyespor_Goztep_2017
267,0,Yeni Malatyaspor,10,3,0,1,1,0,1,2,13,H,10,2018-04-22,Besiktas,T1,5,6,7,19,D,0,Besiktas_Yeni Malatyaspor_2017
268,2,Kasimpasa,11,2,0,0,1,0,0,1,9,H,8,2018-04-22,Konyaspor,T1,1,3,9,11,H,8,Konyaspor_Kasimpasa_2017
269,1,Antalyaspor,9,4,0,1,2,0,1,2,10,H,8,2018-04-23,Fenerbahce,T1,5,6,7,13,H,2,Fenerbahce_Antalyaspor_2017
270,0,Karabukspor,11,5,0,0,2,0,0,1,4,H,8,2018-04-27,Goztep,T1,2,11,6,17,H,2,Goztep_Karabukspor_2017
271,4,Trabzonspor,17,1,0,2,1,0,1,3,8,A,7,2018-04-28,Antalyaspor,T1,4,10,9,14,D,4,Antalyaspor_Trabzonspor_2017
272,2,Fenerbahce,21,1,0,4,0,0,1,1,14,A,13,2018-04-28,Kasimpasa,T1,10,4,5,13,A,2,Kasimpasa_Fenerbahce_2017
273,5,Alanyaspor,18,1,0,2,0,1,0,0,10,A,10,2018-04-28,Kayserispor,T1,6,6,1,10,D,4,Kayserispor_Alanyaspor_2017
274,0,Genclerbirligi,12,1,0,0,1,0,0,4,12,H,5,2018-04-28,Sivasspor,T1,4,7,4,9,H,5,Sivasspor_Genclerbirligi_2017
275,2,Besiktas,23,2,1,0,1,0,0,2,16,H,10,2018-04-29,Galatasaray,T1,4,8,7,12,H,2,Galatasaray_Besiktas_2017
276,3,Buyuksehyr,13,1,0,4,1,0,0,2,10,A,10,2018-04-29,Osmanlispor,T1,5,4,6,9,H,10,Osmanlispor_Buyuksehyr_2017
277,0,Akhisar Belediyespor,14,0,0,0,0,0,0,1,16,D,5,2018-04-29,Yeni Malatyaspor,T1,0,2,4,10,D,5,Yeni Malatyaspor_Akhisar Belediyespor_2017
278,6,Konyaspor,19,2,0,1,2,0,0,3,15,H,10,2018-04-30,Bursaspor,T1,4,3,7,9,H,2,Bursaspor_Konyaspor_2017
279,5,Sivasspor,12,1,0,1,1,2,0,0,15,D,8,2018-05-04,Buyuksehyr,T1,3,5,3,9,H,4,Buyuksehyr_Sivasspor_2017
280,6,Osmanlispor,16,1,0,1,1,0,0,2,22,D,7,2018-05-05,Alanyaspor,T1,4,4,5,8,H,3,Alanyaspor_Osmanlispor_2017
