,WHD,IWH,LBA,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
10,3.2,2.1,3.0,2.1,3.0,3.0,3.2,3.0,2.0,3.05,3.25,2.1,2.0,2.1,3.25,3.0,1.95,2.1,3.25,1.71,-0.25,2.0,3.1,3.4,3.25,1.85,Dundee,Dunfermline,Dundee_Dunfermline_2003
11,3.25,2.5,2.5,2.4,2.6,2.6,2.4,2.5,2.5,2.5,3.2,2.5,2.5,2.4,3.2,2.5,1.9,2.5,3.2,1.75,0.0,1.95,3.0,3.2,3.2,1.9,Hibernian,Hearts,Hibernian_Hearts_2003
12,3.2,2.0,3.0,2.1,3.0,3.0,3.2,3.0,2.1,3.1,3.25,2.1,2.0,2.1,3.25,3.2,1.95,2.1,3.25,1.85,-0.25,1.85,3.1,3.2,3.2,1.85,Aberdeen,Dunfermline,Aberdeen_Dunfermline_2003
13,3.3,1.9,3.2,1.9,3.5,3.5,3.75,3.75,2.0,3.75,3.4,1.8,1.8,1.91,3.25,3.5,1.95,1.85,3.25,1.85,-0.5,1.85,3.1,3.2,3.3,1.85,Dundee,Livingston,Dundee_Livingston_2003
14,3.4,1.65,4.333,1.61,5.0,5.0,4.33,4.5,1.667,4.75,3.4,1.667,1.66,1.62,3.4,4.4,1.85,1.65,3.4,1.71,-0.75,2.0,3.3,3.4,3.4,1.95,Hearts,Dundee United,Hearts_Dundee United_2003
15,3.2,2.4,2.2,2.62,2.37,2.38,2.3,2.3,2.75,2.35,3.2,2.7,2.62,2.62,3.2,2.4,2.05,2.7,3.2,1.75,0.25,1.95,3.2,3.25,3.2,1.75,Motherwell,Kilmarnock,Motherwell_Kilmarnock_2003
16,5.0,10.0,1.2,10.0,1.2,1.2,1.22,1.2,11.0,1.2,5.5,10.0,9.5,10.0,5.5,1.2,,11.0,5.5,1.55,,2.25,5.0,5.0,5.5,,Partick,Celtic,Partick_Celtic_2003
17,6.0,1.2,12.0,1.14,13.0,13.0,12.0,12.0,1.143,13.0,6.5,1.143,1.14,1.14,6.0,10.0,,1.15,6.0,1.45,,2.5,5.0,6.0,6.0,,Rangers,Hibernian,Rangers_Hibernian_2003
18,6.5,1.12,12.0,1.12,12.0,12.0,12.0,12.0,1.143,15.0,7.0,1.125,1.12,1.12,7.0,13.0,,1.1,7.0,1.4,,2.65,6.5,6.0,7.35,,Celtic,Livingston,Celtic_Livingston_2003
19,3.2,1.9,3.75,1.9,3.5,3.5,3.2,4.0,1.8,3.55,3.25,1.8,2.0,1.91,3.25,3.4,1.9,1.9,3.25,1.85,-0.5,1.85,3.2,3.25,3.3,1.9,Hibernian,Aberdeen,Hibernian_Aberdeen_2003
20,3.2,2.2,2.875,2.2,2.87,2.88,3.0,3.0,2.1,3.0,3.25,2.1,2.1,2.2,3.2,2.9,1.9,2.2,3.2,1.79,-0.25,1.9,3.0,3.4,3.2,1.9,Motherwell,Partick,Motherwell_Partick_2003
21,5.0,9.0,1.25,9.0,1.22,1.22,1.22,1.2,8.0,1.22,5.5,10.0,9.5,8.5,5.5,1.25,,9.6,5.5,1.55,,2.25,4.5,5.0,5.35,,Dundee United,Rangers,Dundee United_Rangers_2003
22,3.4,1.8,3.5,1.8,4.0,4.0,3.6,4.333,1.833,3.65,3.25,1.727,1.8,1.8,3.25,3.7,1.95,1.85,3.25,1.79,-0.5,1.9,3.2,3.4,3.4,1.85,Hearts,Dunfermline,Hearts_Dunfermline_2003
23,3.2,2.1,3.4,2.1,3.0,3.0,3.0,2.7,1.909,3.1,3.2,2.3,2.1,2.1,3.25,3.1,1.9,2.15,3.25,1.85,-0.25,1.85,3.0,3.25,3.2,1.9,Kilmarnock,Dundee,Kilmarnock_Dundee_2003
24,3.3,1.9,3.4,1.83,3.6,3.75,3.6,4.0,1.909,3.95,3.25,1.8,1.83,1.83,3.25,3.4,1.95,1.8,3.4,1.71,-0.5,2.0,3.2,3.25,3.3,1.85,Aberdeen,Partick,Aberdeen_Partick_2003
25,4.5,8.0,1.2,9.0,1.25,1.25,1.3,1.28,11.0,1.3,4.5,9.0,7.5,9.0,5.0,1.3,,8.25,5.0,1.6,,2.15,4.2,5.0,4.5,,Dundee,Celtic,Dundee_Celtic_2003
26,3.4,1.7,4.333,1.72,4.33,4.33,4.33,4.5,1.667,4.5,3.4,1.66,1.66,1.73,3.25,4.0,1.85,1.65,3.25,1.79,-0.75,1.9,3.3,3.4,3.5,1.95,Hibernian,Motherwell,Hibernian_Motherwell_2003
27,3.25,2.4,2.6,2.5,2.5,2.5,2.5,2.4,2.375,2.5,3.2,2.6,2.4,2.5,3.2,2.4,1.9,2.5,3.2,1.9,0.0,1.79,3.2,3.2,3.2,1.9,Kilmarnock,Hearts,Kilmarnock_Hearts_2003
28,3.3,2.0,3.0,2.0,3.25,3.25,2.87,3.25,2.0,3.25,3.25,2.0,2.1,2.0,3.25,3.1,1.8,2.0,3.25,1.9,-0.5,1.79,3.2,3.4,3.3,2.0,Livingston,Dundee United,Livingston_Dundee United_2003
29,6.0,1.15,12.0,1.14,13.0,13.0,12.0,12.0,1.143,12.0,7.0,1.12,1.14,1.14,6.0,12.0,,1.13,6.0,1.45,,2.5,6.0,6.0,6.5,,Rangers,Dunfermline,Rangers_Dunfermline_2003
30,6.5,1.12,17.0,1.11,17.0,17.0,17.0,15.0,1.1,16.8,7.0,1.1,1.1,1.11,6.5,13.0,,1.1,6.5,1.4,,2.65,6.5,6.5,6.7,,Celtic,Motherwell,Celtic_Motherwell_2003
31,3.2,2.1,3.4,2.0,3.25,3.25,3.2,3.75,1.909,3.3,3.4,1.8,2.0,2.0,3.25,3.0,1.82,1.97,3.25,1.71,-0.5,2.0,3.1,3.25,3.3,1.97,Dundee,Aberdeen,Dundee_Aberdeen_2003
32,3.2,2.0,3.0,2.1,3.0,3.0,3.2,3.0,2.1,3.0,3.25,2.1,2.0,2.1,3.25,3.3,1.9,2.1,3.25,1.85,-0.25,1.85,3.0,3.2,3.25,1.9,Dunfermline,Hibernian,Dunfermline_Hibernian_2003
33,3.2,2.3,2.75,2.25,2.75,2.75,2.8,2.75,2.2,2.8,3.25,2.25,2.2,2.25,3.25,2.6,1.75,2.25,3.25,1.95,-0.25,1.75,3.1,3.25,3.2,2.08,Livingston,Kilmarnock,Livingston_Kilmarnock_2003
34,3.2,2.2,2.625,2.25,2.75,2.75,2.62,2.8,2.25,2.8,3.25,2.2,2.3,2.25,3.25,2.8,1.75,2.25,3.25,2.0,-0.25,1.71,3.1,3.4,3.2,2.08,Partick,Dundee United,Partick_Dundee United_2003
35,3.75,6.0,1.4,7.5,1.36,1.36,1.36,1.33,6.5,1.34,4.33,7.5,8.0,7.5,4.0,1.4,,7.65,4.0,1.55,,2.25,3.9,4.0,4.0,,Hearts,Rangers,Hearts_Rangers_2003
36,3.2,1.9,3.5,2.0,3.25,3.25,3.2,3.5,1.833,3.6,3.25,1.9,2.0,2.0,3.25,3.4,1.9,1.9,3.25,1.75,-0.5,1.95,3.2,3.4,3.25,1.9,Aberdeen,Livingston,Aberdeen_Livingston_2003
37,3.2,2.4,2.5,2.25,2.75,2.75,2.75,2.8,2.4,2.75,3.25,2.2,2.25,2.25,3.25,2.4,2.0,2.3,3.25,1.75,0.0,1.95,3.2,3.25,3.2,1.8,Dundee United,Kilmarnock,Dundee United_Kilmarnock_2003
38,3.3,1.75,4.0,1.72,4.33,4.33,5.0,4.5,1.727,4.55,3.4,1.66,1.61,1.73,3.25,3.8,1.8,1.7,3.25,,-0.75,,3.3,3.4,3.3,2.0,Dunfermline,Partick,Dunfermline_Partick_2003
39,4.5,9.0,1.2,9.0,1.25,1.25,1.25,1.25,11.0,1.27,5.0,9.0,10.0,8.5,5.0,1.25,,10.0,5.0,1.5,,2.35,4.5,5.0,4.5,,Hibernian,Celtic,Hibernian_Celtic_2003
40,3.25,2.6,2.25,2.7,2.3,2.38,2.2,2.25,2.75,2.3,3.25,2.75,2.75,2.63,3.2,2.3,2.05,2.75,3.2,1.71,0.25,2.0,3.1,3.2,3.2,1.75,Motherwell,Hearts,Motherwell_Hearts_2003
41,6.5,1.1,15.0,1.12,13.0,13.0,12.0,12.0,1.125,14.0,7.0,1.12,1.12,1.13,6.5,15.0,,1.12,6.5,1.45,,2.5,7.0,6.0,6.75,,Rangers,Dundee,Rangers_Dundee_2003
42,3.2,2.1,3.25,2.1,3.0,3.0,3.2,3.5,1.909,3.33,3.25,1.9,2.0,2.1,3.25,3.0,1.85,2.0,3.25,1.9,-0.5,1.79,3.1,3.4,3.25,1.95,Dundee United,Motherwell,Dundee United_Motherwell_2003
43,3.3,1.8,3.6,1.8,4.0,4.0,3.75,4.0,1.8,3.8,3.25,1.8,1.8,1.8,3.25,3.8,2.0,1.85,3.25,1.75,-0.5,1.95,3.1,3.4,3.25,1.8,Hearts,Dundee,Hearts_Dundee_2003
44,3.2,1.85,3.25,1.83,3.75,3.75,3.75,4.0,1.909,3.8,3.25,1.8,1.83,1.83,3.25,3.6,2.0,1.85,3.3,1.85,-0.5,1.85,3.1,3.4,3.25,1.8,Kilmarnock,Aberdeen,Kilmarnock_Aberdeen_2003
45,3.2,2.4,2.75,2.25,2.8,2.75,2.62,2.75,2.25,2.8,3.25,2.25,2.3,2.25,3.25,2.6,1.8,2.25,3.2,1.95,-0.25,1.75,3.0,3.2,3.25,2.0,Livingston,Dunfermline,Livingston_Dunfermline_2003
46,3.1,2.6,2.375,2.62,2.37,2.38,2.5,2.37,2.6,2.35,3.2,2.62,2.5,2.62,3.2,2.4,1.8,2.65,3.2,1.95,0.0,1.75,3.0,3.2,3.25,2.0,Partick,Hibernian,Partick_Hibernian_2003
47,3.1,2.4,2.75,2.25,2.8,2.75,2.8,2.75,2.25,2.82,3.25,2.25,2.25,2.25,3.25,2.6,2.0,2.37,3.2,1.71,0.0,2.0,3.0,3.2,3.1,1.8,Rangers,Celtic,Rangers_Celtic_2003
48,3.2,1.9,3.6,1.9,3.5,3.5,3.0,3.0,1.8,3.5,3.25,2.1,2.1,1.91,3.25,3.4,1.85,1.95,3.25,1.65,-0.5,2.05,3.2,3.4,3.25,1.95,Aberdeen,Dundee United,Aberdeen_Dundee United_2003
49,5.5,1.17,15.0,1.16,11.0,11.0,12.0,12.0,1.125,13.0,6.5,1.14,1.16,1.17,6.0,11.0,,1.15,6.0,,,,5.5,6.0,6.0,,Celtic,Hearts,Celtic_Hearts_2003
50,3.4,1.65,5.0,1.57,5.0,5.0,5.5,5.0,1.571,5.25,3.6,1.57,1.53,1.57,3.5,4.4,1.8,1.57,3.6,1.65,-1.0,2.05,3.3,3.5,3.5,2.0,Dundee,Partick,Dundee_Partick_2003
51,3.2,2.0,3.4,1.9,3.5,3.5,3.2,3.25,1.909,3.5,3.25,2.0,2.0,1.91,3.25,3.1,1.9,1.91,3.25,1.71,-0.5,2.0,3.2,3.25,3.3,1.9,Dunfermline,Kilmarnock,Dunfermline_Kilmarnock_2003
52,3.2,1.85,3.75,1.9,3.5,3.5,3.75,4.0,1.833,3.75,3.25,1.8,1.83,1.91,3.25,3.5,1.95,1.85,3.25,1.71,-0.5,2.0,3.2,3.2,3.3,1.85,Hibernian,Livingston,Hibernian_Livingston_2003
53,5.5,10.0,1.167,10.0,1.2,1.2,1.2,1.22,12.0,1.2,5.0,10.0,9.0,10.0,5.5,1.22,,11.25,5.5,1.5,,2.35,4.5,5.5,5.25,,Motherwell,Rangers,Motherwell_Rangers_2003
54,6.5,1.1,17.0,1.11,17.0,17.0,17.0,17.0,1.083,17.0,7.5,1.08,1.1,1.11,6.5,15.0,,1.1,6.5,1.33,,2.9,7.0,7.0,7.0,,Celtic,Aberdeen,Celtic_Aberdeen_2003
55,3.25,2.2,2.875,2.1,3.0,3.0,2.75,3.0,2.1,3.0,3.25,2.1,2.2,2.1,3.25,2.9,1.8,2.15,3.25,1.79,-0.25,1.9,3.0,3.4,3.2,2.0,Hibernian,Kilmarnock,Hibernian_Kilmarnock_2003
56,5.0,8.0,1.25,10.0,1.22,1.22,1.25,1.22,10.0,1.24,5.0,10.0,8.0,10.0,5.0,1.3,,9.5,5.0,1.55,,2.25,4.2,4.5,5.0,,Livingston,Rangers,Livingston_Rangers_2003
57,3.2,3.0,2.0,3.0,2.1,2.1,2.1,2.0,3.0,2.1,3.25,3.25,3.0,3.0,3.25,2.1,2.02,3.1,3.25,1.79,0.5,1.9,3.1,3.4,3.2,1.78,Partick,Hearts,Partick_Hearts_2003
58,3.1,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.55,3.2,2.5,2.5,2.5,3.2,2.5,1.9,2.5,3.2,1.85,0.0,1.85,3.0,3.25,3.15,1.9,Dundee United,Dundee,Dundee United_Dundee_2003
59,3.2,2.2,2.75,2.3,2.7,3.25,2.62,2.75,2.1,2.75,3.25,2.25,2.3,2.2,2.8,2.8,2.05,2.3,3.2,1.85,0.0,1.85,3.1,3.5,3.2,1.7,Aberdeen,Motherwell,Aberdeen_Motherwell_2003
60,3.3,2.1,3.4,2.0,3.25,3.75,2.87,3.5,1.91,3.25,3.25,1.9,2.1,1.83,3.25,3.0,1.8,2.0,3.25,1.75,-0.5,1.95,3.1,3.25,3.3,2.0,Dundee,Hibernian,Dundee_Hibernian_2003
61,3.4,2.0,3.0,2.0,3.25,3.25,3.0,3.25,2.0,3.25,3.25,2.0,2.0,2.0,3.25,3.1,1.8,2.0,3.25,1.71,-0.5,2.0,3.2,3.4,3.3,2.0,Dunfermline,Dundee United,Dunfermline_Dundee United_2003
62,3.4,1.8,3.75,1.73,4.33,4.33,4.0,4.33,1.8,4.2,3.25,1.72,1.72,1.73,3.25,3.7,2.05,1.75,3.25,1.65,-0.5,2.05,3.2,3.25,3.3,1.75,Hearts,Livingston,Hearts_Livingston_2003
63,5.0,9.0,1.17,10.0,1.22,1.22,1.22,1.2,12.0,1.2,5.5,10.0,9.5,10.0,5.0,1.25,,10.0,5.0,1.6,,2.15,4.5,5.5,5.5,,Kilmarnock,Celtic,Kilmarnock_Celtic_2003
64,6.5,1.12,17.0,1.1,15.0,17.0,17.0,15.0,1.1,17.0,7.0,1.1,1.1,1.1,7.0,13.0,,1.1,7.0,,,,6.5,6.5,7.0,,Rangers,Partick,Rangers_Partick_2003
65,7.0,1.12,21.0,1.1,17.0,17.0,17.0,17.0,1.071,20.5,7.5,1.08,1.08,1.1,7.0,13.0,,1.09,7.0,,,,6.5,7.0,7.55,,Celtic,Dunfermline,Celtic_Dunfermline_2003
66,3.2,2.0,3.4,2.0,3.25,3.25,3.0,3.5,1.833,3.35,3.25,1.9,2.1,2.0,3.25,3.1,1.78,2.0,3.25,1.71,-0.5,1.95,3.2,3.5,3.2,2.0,Dundee,Motherwell,Dundee_Motherwell_2003
67,3.3,1.9,3.5,1.83,3.75,3.75,3.1,3.75,1.8,3.8,3.25,1.83,2.0,1.83,3.25,3.4,1.92,1.85,3.25,1.75,-0.5,1.95,3.2,3.5,3.25,1.85,Hibernian,Dundee United,Hibernian_Dundee United_2003
68,3.5,1.65,5.0,1.61,5.0,5.0,5.0,5.0,1.571,5.25,3.4,1.61,1.57,1.62,3.4,4.4,1.87,1.6,3.4,1.65,-0.75,2.05,3.3,3.5,3.4,1.9,Livingston,Partick,Livingston_Partick_2003
69,3.2,3.1,2.1,3.0,2.2,2.2,2.0,2.2,2.75,2.15,3.25,2.8,3.2,3.0,3.1,2.0,1.93,3.0,3.1,1.71,0.25,2.0,3.2,3.5,3.2,1.85,Aberdeen,Hearts,Aberdeen_Hearts_2003
70,5.0,8.5,1.222,10.0,1.22,1.22,1.22,1.22,10.0,1.25,5.0,10.0,9.5,10.0,5.0,1.27,,10.0,5.0,1.5,,2.35,4.3,5.0,5.0,,Kilmarnock,Rangers,Kilmarnock_Rangers_2003
71,5.5,11.0,1.14,13.0,1.17,1.17,1.16,1.2,12.0,1.16,5.5,10.0,12.0,13.0,5.5,1.17,,12.0,5.5,1.5,,2.35,5.5,6.0,6.0,,Dundee United,Celtic,Dundee United_Celtic_2003
72,3.2,2.1,2.75,2.2,2.88,2.88,2.75,2.8,2.2,2.8,3.25,2.2,2.25,2.2,3.2,3.0,1.9,2.25,3.2,1.75,-0.25,1.95,3.1,3.25,3.25,1.9,Dunfermline,Dundee,Dunfermline_Dundee_2003
73,3.3,2.1,3.0,2.1,3.0,3.0,2.87,3.5,2.0,3.0,3.25,1.9,2.1,2.1,3.25,3.0,1.95,2.1,3.25,1.79,-0.25,1.9,3.1,3.4,3.3,1.85,Motherwell,Livingston,Motherwell_Livingston_2003
74,3.4,3.1,2.25,2.88,2.2,2.2,1.9,2.2,2.75,2.1,3.25,2.8,3.25,2.88,3.2,2.0,1.9,3.0,3.2,1.85,0.25,1.85,3.2,3.2,3.3,1.9,Partick,Kilmarnock,Partick_Kilmarnock_2003
75,6.5,1.1,17.0,1.11,17.0,17.0,17.0,15.0,1.1,17.0,7.0,1.1,1.1,1.11,6.5,15.0,,1.1,6.5,1.4,,2.65,7.0,6.5,7.0,,Rangers,Aberdeen,Rangers_Aberdeen_2003
76,3.1,2.0,3.2,1.83,3.75,3.75,3.3,3.75,2.0,3.4,3.25,1.83,2.0,1.83,3.25,3.2,1.85,2.0,3.25,1.71,-0.5,2.0,3.1,3.2,3.15,1.95,Hearts,Hibernian,Hearts_Hibernian_2003
77,3.2,2.2,3.0,2.1,3.0,3.0,2.8,3.5,2.1,3.0,3.25,1.9,2.2,2.1,3.25,2.9,1.95,2.12,3.25,1.85,-0.25,1.85,3.0,3.2,3.25,1.85,Motherwell,Dunfermline,Motherwell_Dunfermline_2003
78,8.0,1.03,26.0,1.06,19.0,19.0,21.0,23.0,1.05,25.0,8.5,1.05,1.05,1.06,8.0,20.0,,1.05,8.0,,,,10.0,7.5,8.0,,Celtic,Partick,Celtic_Partick_2003
79,3.4,1.7,3.75,1.67,4.5,4.5,4.33,4.0,1.73,4.4,3.5,1.72,1.66,1.67,3.4,4.0,1.8,1.7,3.4,1.85,-0.75,1.85,3.3,3.5,3.4,2.0,Dunfermline,Aberdeen,Dunfermline_Aberdeen_2003
80,3.3,2.3,2.5,2.4,2.6,2.62,2.5,2.6,2.4,2.6,3.2,2.4,2.37,2.38,3.2,2.6,2.0,2.4,3.2,1.71,0.0,1.95,3.1,3.25,3.25,1.8,Kilmarnock,Motherwell,Kilmarnock_Motherwell_2003
81,3.5,,4.0,,,,5.0,,1.62,5.0,,,1.57,,,,,1.55,,,,,,4.0,3.55,,Livingston,Dundee,Livingston_Dundee_2003
82,3.25,3.1,2.1,2.88,2.2,2.2,1.9,2.1,3.0,2.05,3.25,3.0,3.4,2.88,3.2,2.0,1.8,3.15,3.2,1.75,0.25,1.9,3.2,3.2,3.25,2.0,Dundee United,Hearts,Dundee United_Hearts_2003
83,5.0,8.0,1.25,9.0,1.25,1.25,1.25,1.25,8.0,1.25,5.0,9.0,8.0,8.5,5.0,1.3,,9.0,5.0,1.6,,2.1,4.2,5.0,5.0,,Hibernian,Rangers,Hibernian_Rangers_2003
84,3.3,2.6,2.4,2.62,2.37,2.37,2.3,,2.5,2.33,,,2.6,2.62,3.2,2.3,2.05,2.6,3.2,1.85,0.25,1.85,3.1,3.25,3.3,1.75,Dundee,Kilmarnock,Dundee_Kilmarnock_2003
85,3.25,2.3,2.5,2.6,2.4,2.4,2.4,2.5,2.4,2.45,3.2,2.5,2.5,2.6,3.2,2.5,1.9,2.5,3.2,1.85,0.0,1.85,3.2,3.25,3.25,1.9,Dunfermline,Hearts,Dunfermline_Hearts_2003
86,5.5,10.0,1.143,11.0,1.16,1.16,1.2,1.16,12.0,1.2,6.0,11.0,9.0,11.0,6.0,1.2,,10.0,6.0,,,,5.0,6.0,5.75,,Livingston,Celtic,Livingston_Celtic_2003
87,7.0,1.1,15.0,1.11,17.0,17.0,12.0,15.0,1.125,15.0,7.0,1.1,1.11,1.11,6.5,15.0,,1.11,6.5,,,,7.0,6.0,7.0,,Rangers,Dundee United,Rangers_Dundee United_2003
88,3.1,2.4,2.4,2.5,2.5,2.5,2.37,2.5,2.5,2.38,3.2,2.5,2.62,2.5,3.2,2.4,1.8,2.6,3.2,1.85,0.0,1.85,3.2,3.25,3.25,2.0,Aberdeen,Hibernian,Aberdeen_Hibernian_2003
89,3.4,3.1,2.0,3.5,1.9,1.91,1.83,2.0,3.0,1.9,3.25,3.25,3.5,3.5,3.25,2.0,1.9,3.5,3.25,1.85,0.5,1.85,3.2,3.4,3.3,1.9,Partick,Motherwell,Partick_Motherwell_2003
90,7.0,1.07,21.0,1.06,19.0,19.0,17.0,21.0,1.063,22.0,8.0,1.063,1.08,1.06,8.0,16.0,,1.06,8.0,,,,8.0,7.5,8.2,,Celtic,Dundee,Celtic_Dundee_2003
91,3.25,2.3,2.5,2.3,2.75,2.75,2.5,2.7,2.4,2.75,3.2,2.3,2.4,2.25,3.25,2.6,2.05,2.3,3.2,1.85,0.0,1.85,3.1,3.25,3.2,1.7,Dundee United,Livingston,Dundee United_Livingston_2003
92,3.3,1.8,3.6,1.72,4.33,4.33,3.75,4.0,1.8,4.0,3.5,1.727,1.8,1.73,3.25,3.8,2.02,1.78,3.25,1.71,-0.5,2.0,3.1,3.4,3.35,1.78,Hearts,Kilmarnock,Hearts_Kilmarnock_2003
93,3.25,2.2,3.0,2.0,3.25,3.25,2.75,3.25,2.1,3.3,3.25,2.0,2.2,2.0,3.25,2.9,1.8,2.0,3.25,1.71,-0.5,2.0,3.0,3.2,3.25,2.0,Motherwell,Hibernian,Motherwell_Hibernian_2003
94,3.1,2.5,2.25,2.5,2.5,2.5,2.5,2.5,2.625,2.45,3.2,2.5,2.5,2.5,3.2,2.5,1.85,2.6,3.2,1.75,0.0,1.95,3.0,3.4,3.15,1.95,Partick,Aberdeen,Partick_Aberdeen_2003
95,4.2,8.0,1.3,9.0,1.22,1.22,1.3,1.25,9.0,1.25,5.0,9.0,8.5,8.5,5.5,1.3,,9.0,5.5,,,,4.2,4.0,5.0,,Dunfermline,Rangers,Dunfermline_Rangers_2003
96,3.3,2.0,3.5,2.1,3.0,3.0,2.87,3.5,1.833,3.05,3.25,1.909,2.1,2.1,3.25,3.1,2.0,2.1,3.25,1.79,-0.25,1.9,3.2,3.4,3.25,1.85,Aberdeen,Dundee,Aberdeen_Dundee_2003
97,3.3,2.0,2.75,2.0,3.25,3.25,2.87,3.75,2.1,3.2,3.25,1.833,2.1,2.0,3.25,3.1,1.75,2.05,3.25,1.79,-0.5,1.9,3.2,3.5,3.2,2.05,Kilmarnock,Livingston,Kilmarnock_Livingston_2003
98,5.0,1.22,11.0,1.22,10.0,10.0,8.0,10.0,1.2,9.0,5.5,1.2,1.25,1.22,5.0,9.5,,1.23,5.0,,,,4.8,5.0,5.3,,Rangers,Hearts,Rangers_Hearts_2003
99,3.25,2.3,2.75,2.4,2.6,2.62,2.5,2.625,2.2,2.65,3.2,2.375,2.4,2.38,3.2,2.6,2.05,2.35,3.2,1.85,0.0,1.85,3.1,3.25,3.25,1.8,Hibernian,Dunfermline,Hibernian_Dunfermline_2003
100,5.0,9.5,1.167,10.0,1.22,1.22,1.22,1.2,12.0,1.22,5.5,10.0,9.5,10.0,5.0,1.22,,10.0,5.0,,,,4.8,5.5,5.2,,Motherwell,Celtic,Motherwell_Celtic_2003
101,,1.6,5.0,1.57,5.0,5.0,,5.0,1.571,5.0,3.6,1.571,,1.57,3.6,4.6,1.95,1.6,3.6,1.79,-0.75,1.9,3.4,3.5,3.5,1.9,Dundee United,Partick,Dundee United_Partick_2003
102,6.5,1.1,13.0,1.11,17.0,17.0,17.0,17.0,1.111,17.0,7.5,1.083,1.1,1.11,6.5,15.0,,1.11,6.5,,,,7.0,7.0,6.6,,Celtic,Hibernian,Celtic_Hibernian_2003
103,3.25,1.65,3.75,1.66,4.5,4.5,4.2,4.333,1.727,4.25,3.5,1.667,1.72,1.67,3.4,4.4,1.8,1.72,3.4,1.75,-0.75,1.95,3.3,3.5,3.4,2.05,Hearts,Motherwell,Hearts_Motherwell_2003
104,,2.0,3.0,1.9,3.4,3.4,,3.0,2.0,3.05,3.25,2.1,,1.91,3.4,3.2,2.05,2.05,3.4,1.75,-0.25,1.95,3.1,3.4,3.35,1.8,Kilmarnock,Dundee United,Kilmarnock_Dundee United_2003
105,3.2,2.0,3.4,1.9,3.5,3.5,3.2,3.75,1.909,3.4,3.25,1.833,2.0,1.91,3.25,3.2,2.1,1.95,3.25,1.75,-0.25,1.95,3.1,3.25,3.25,1.7,Livingston,Aberdeen,Livingston_Aberdeen_2003
106,,3.3,2.1,3.25,2.0,2.0,,2.0,3.0,2.0,3.5,3.0,,3.25,3.25,1.9,2.0,3.25,3.25,1.75,0.5,1.95,3.3,3.2,3.25,1.85,Partick,Dunfermline,Partick_Dunfermline_2003
