,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
44,0,Aberdeen,11,1,0,3,0,S Conroy,0,2,0,13,A,9,2003-10-04,Kilmarnock,SC0,7,6,4,11,A,1,Kilmarnock_Aberdeen_2003
45,2,Dunfermline,22,0,0,0,0,I Fyfe,0,0,2,21,D,8,2003-10-04,Livingston,SC0,5,6,4,14,D,4,Livingston_Dunfermline_2003
46,1,Hibernian,9,0,0,1,0,J Rowbotham,0,0,1,15,A,9,2003-10-04,Partick,SC0,5,5,3,9,D,5,Partick_Hibernian_2003
47,1,Celtic,17,0,0,1,0,M McCurry,0,0,0,19,A,6,2003-10-04,Rangers,SC0,3,7,6,10,D,2,Rangers_Celtic_2003
48,1,Dundee United,11,0,0,1,0,I Brines,0,1,3,16,A,7,2003-10-18,Aberdeen,SC0,4,2,10,8,A,4,Aberdeen_Dundee United_2003
49,0,Hearts,13,5,0,0,4,K Clark,0,0,3,15,H,1,2003-10-18,Celtic,SC0,0,8,14,13,H,0,Celtic_Hearts_2003
50,2,Partick,15,1,0,0,0,S Dougal,0,0,1,14,H,14,2003-10-18,Dundee,SC0,10,9,8,22,D,3,Dundee_Partick_2003
51,0,Kilmarnock,10,2,0,3,1,C Murray,0,1,0,11,A,6,2003-10-18,Dunfermline,SC0,6,16,10,21,D,4,Dunfermline_Kilmarnock_2003
52,1,Livingston,10,0,0,2,0,C Thomson,0,1,1,18,A,5,2003-10-18,Hibernian,SC0,3,3,5,8,A,4,Hibernian_Livingston_2003
53,0,Rangers,15,1,0,1,1,D McDonald,0,1,3,14,D,16,2003-10-19,Motherwell,SC0,9,3,3,13,D,5,Motherwell_Rangers_2003
54,0,Aberdeen,15,4,0,0,3,C Richmond,0,0,1,16,H,5,2003-10-25,Celtic,SC0,3,7,6,16,H,5,Celtic_Aberdeen_2003
55,0,Kilmarnock,13,3,0,1,2,J Underhill,0,0,2,15,H,13,2003-10-25,Hibernian,SC0,7,4,7,9,H,6,Hibernian_Kilmarnock_2003
