,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
94,1.67,4.05,1.97,3.5,4.8,1.57,5.0,1.6,1.62,6.47,3.75,1.59,1.57,1.62,3.6,3.75,6.0,3.5,6.0,1.57,3.75,5.59,33,5.5,0.0,1.25,5.0,4.5,1.55,1.78,1.62,36,5.0,1.6,1.9,3.6,1.2,5.0,5.5,23,3.6,4.07,1.57,5.0,3.6,3.75,3.67,2.06,Hearts,Celtic,Hearts_Celtic_2009
95,22.13,7.15,2.33,6.0,1.22,13.0,1.15,13.0,15.0,1.22,6.0,13.68,12.0,15.0,5.5,6.0,1.2,6.0,1.14,10.0,6.0,1.19,31,1.2,-2.0,1.93,1.14,2.02,9.0,1.54,12.0,36,1.2,10.0,1.6,6.5,1.9,1.17,1.2,23,6.5,1.97,21.0,1.2,5.0,6.5,6.17,2.48,Celtic,Hamilton,Celtic_Hamilton_2009
96,6.2,3.8,1.7,3.5,1.5,5.5,1.55,5.5,5.0,1.71,3.8,5.49,4.5,5.75,3.5,3.75,1.62,3.4,1.62,5.0,3.8,1.61,31,1.62,0.0,4.5,1.61,1.25,5.5,2.06,5.5,36,1.5,5.5,2.23,3.6,4.03,1.62,1.65,23,3.6,1.2,5.5,1.57,3.8,3.75,3.65,1.76,Dundee United,Kilmarnock,Dundee United_Kilmarnock_2009
97,2.56,3.37,1.65,3.25,2.6,2.38,2.75,2.4,2.38,3.0,3.25,2.43,2.2,2.38,3.25,3.25,2.88,3.1,2.88,2.4,3.25,2.79,31,3.0,0.0,1.83,2.75,2.19,2.4,2.12,2.5,36,2.6,2.4,2.3,3.2,1.74,2.63,2.75,24,3.1,2.04,2.38,2.62,3.2,3.3,3.22,1.7,Falkirk,Hearts,Falkirk_Hearts_2009
98,3.95,3.52,1.82,3.25,1.9,3.75,1.95,3.6,3.75,2.12,3.5,3.7,3.4,3.7,3.4,3.4,2.0,3.2,2.0,3.5,3.4,1.97,31,2.0,0.0,3.0,1.91,1.46,3.7,1.93,3.75,36,1.8,3.6,2.04,3.4,2.71,1.83,2.0,24,3.2,1.41,3.6,1.91,3.2,3.3,3.33,1.91,Motherwell,St Johnstone,Motherwell_St Johnstone_2009
99,1.91,3.68,1.85,3.3,3.5,1.83,4.0,1.8,1.91,4.5,3.4,1.83,1.8,1.83,3.5,3.6,4.33,3.4,4.0,1.8,3.5,4.15,31,4.33,0.0,1.37,3.75,3.1,1.8,1.89,1.8,36,3.85,1.9,2.06,3.5,1.34,4.0,4.0,24,3.4,2.97,1.83,4.0,3.3,3.5,3.43,1.91,Hibernian,Rangers,Hibernian_Rangers_2009
100,4.03,3.53,1.67,3.4,2.0,3.6,2.05,3.3,3.5,2.1,3.35,3.64,3.5,3.75,3.25,3.25,2.0,3.3,2.0,3.4,3.4,1.98,30,2.0,0.0,2.82,2.05,1.48,3.35,2.09,3.6,35,1.95,3.3,2.25,3.2,2.63,1.95,2.0,22,3.2,1.43,3.75,2.0,3.2,3.5,3.31,1.72,Hearts,Motherwell,Hearts_Motherwell_2009
101,11.0,5.23,2.25,4.5,1.35,9.0,1.3,9.0,8.0,1.4,4.5,9.12,9.0,10.0,4.0,4.33,1.36,4.33,1.3,8.0,4.75,1.34,30,1.33,0.0,8.0,1.36,1.12,7.0,1.58,8.0,35,1.35,7.5,1.67,4.75,6.75,1.36,1.35,22,4.5,1.08,10.0,1.36,4.2,4.5,4.52,2.37,Rangers,Dundee United,Rangers_Dundee United_2009
102,3.9,3.4,1.66,3.3,1.9,4.0,1.9,3.75,3.8,2.2,3.35,3.59,3.6,3.75,3.4,3.25,1.91,3.3,2.0,3.75,3.3,2.04,32,2.0,0.0,2.81,2.05,1.52,3.65,2.12,3.5,36,1.85,3.6,2.37,3.2,2.56,1.83,1.9,23,3.25,1.46,3.75,2.1,3.2,3.4,3.25,1.7,Dundee United,Aberdeen,Dundee United_Aberdeen_2009
103,3.3,3.4,1.64,3.25,2.2,3.2,2.2,2.95,2.8,2.4,3.3,3.06,3.0,3.2,3.4,3.3,2.25,3.25,2.3,3.0,3.3,2.27,31,2.25,0.0,2.38,2.38,1.71,3.0,2.15,3.0,36,2.1,2.9,2.38,3.2,2.22,2.2,2.2,23,3.25,1.62,3.0,2.3,3.2,3.3,3.25,1.7,St Mirren,Kilmarnock,St Mirren_Kilmarnock_2009
104,3.12,3.48,1.84,3.4,2.3,3.0,2.3,2.8,2.75,2.45,3.2,2.91,2.8,2.88,3.4,3.4,2.38,3.25,2.5,2.9,3.4,2.36,32,2.38,0.0,2.26,2.4,1.76,2.75,1.91,2.9,35,2.35,2.8,2.06,3.4,2.11,2.25,2.25,24,3.2,1.69,2.62,2.38,3.1,3.25,3.3,1.95,Celtic,Rangers,Celtic_Rangers_2009
105,3.82,3.47,1.66,3.3,2.0,3.5,2.0,3.4,3.4,2.15,3.35,3.54,3.5,3.5,3.25,3.4,2.1,3.25,2.0,3.4,3.3,2.05,32,2.1,0.0,2.75,2.1,1.52,3.75,2.11,3.75,35,2.05,3.3,2.35,3.25,2.57,2.0,2.0,24,3.25,1.45,3.6,2.0,3.2,3.3,3.27,1.73,Hibernian,Hearts,Hibernian_Hearts_2009
106,2.65,3.4,1.58,3.25,2.6,2.5,2.5,2.55,2.5,2.9,3.25,2.56,2.5,2.63,3.25,3.25,2.5,3.2,,2.55,3.25,2.64,26,2.63,0.0,1.91,2.4,2.06,2.5,2.25,2.62,31,2.5,2.5,2.57,,1.86,2.5,2.55,21,3.25,1.92,,2.5,3.1,3.2,3.2,1.63,St Mirren,Aberdeen,St Mirren_Aberdeen_2009
107,2.4,3.4,1.63,3.25,2.8,2.2,2.7,2.35,2.38,3.22,3.25,2.33,2.25,2.4,3.25,3.2,2.75,3.2,3.0,2.35,3.3,2.9,27,2.88,0.0,1.75,2.7,2.27,2.3,2.16,2.38,31,2.7,2.3,2.31,3.2,1.67,2.63,2.75,21,3.25,2.12,2.3,2.88,3.1,3.25,3.21,1.67,Hamilton,Dundee United,Hamilton_Dundee United_2009
108,19.16,8.06,2.48,5.5,1.2,12.0,1.15,13.0,11.0,1.2,7.0,14.35,12.0,13.0,6.0,6.5,1.17,6.0,1.17,13.0,7.0,1.17,30,1.18,0.0,13.0,1.17,1.05,10.0,1.48,10.0,34,1.15,11.0,1.55,6.5,10.53,1.18,1.17,19,6.5,1.03,15.0,1.2,5.2,5.5,6.49,2.63,Celtic,Falkirk,Celtic_Falkirk_2009
109,3.11,3.34,1.64,3.2,2.3,2.75,2.3,2.8,2.63,2.5,3.25,2.83,2.62,2.88,3.25,3.2,2.25,3.25,2.38,2.75,3.3,2.39,30,2.4,0.0,2.16,2.3,1.8,2.7,2.14,2.88,33,2.3,2.8,2.3,3.25,2.05,2.38,2.35,20,3.25,1.72,2.88,2.38,3.1,3.2,3.22,1.68,Dundee United,Hibernian,Dundee United_Hibernian_2009
