,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
124,19:45:00,0,Hamilton,10,0,2,1,0,A Dallas,0,1,3,11,H,8,2020-01-22,Hibernian,SC0,3,5,8,15,A,2,Hibernian_Hamilton_2019
125,19:45:00,1,Celtic,13,0,1,3,0,D Robertson,0,1,2,12,A,17,2020-01-22,Kilmarnock,SC0,6,3,4,6,A,8,Kilmarnock_Celtic_2019
126,19:45:00,2,St Johnstone,9,0,1,0,0,E Anderson,0,0,1,8,H,6,2020-01-22,Livingston,SC0,3,4,6,8,D,6,Livingston_St Johnstone_2019
127,19:45:00,2,St Mirren,10,0,1,0,1,N Walsh,0,0,2,9,H,1,2020-01-22,Rangers,SC0,0,5,10,17,H,3,Rangers_St Mirren_2019
128,19:45:00,1,Hearts,9,0,0,0,0,G Duncan,0,0,1,15,D,4,2020-01-22,Ross County,SC0,0,2,5,6,D,9,Ross County_Hearts_2019
129,15:00:00,1,Ross County,7,0,3,0,1,K Clancy,0,0,0,10,H,7,2020-01-25,Celtic,SC0,2,6,14,14,H,0,Celtic_Ross County_2019
130,15:00:00,1,Livingston,11,0,2,4,1,B Madden,0,2,1,7,A,9,2020-01-25,Hamilton,SC0,5,3,3,10,A,3,Hamilton_Livingston_2019
131,15:00:00,1,Hibernian,8,0,0,0,0,C Steven,0,0,5,17,D,4,2020-01-25,Motherwell,SC0,2,3,7,11,D,4,Motherwell_Hibernian_2019
132,15:00:00,2,Kilmarnock,11,0,2,1,1,A Muir,0,1,3,13,H,7,2020-01-25,St Johnstone,SC0,3,4,6,8,D,3,St Johnstone_Kilmarnock_2019
133,12:30:00,1,Aberdeen,13,0,0,0,0,D Robertson,0,0,0,8,D,13,2020-01-26,St Mirren,SC0,3,2,2,9,D,11,St Mirren_Aberdeen_2019
134,15:00:00,1,Rangers,18,0,2,1,0,S McLean,0,0,2,7,H,11,2020-01-26,Hearts,SC0,2,5,4,8,D,6,Hearts_Rangers_2019
135,19:45:00,2,Ross County,15,0,2,0,1,D Robertson,0,0,4,15,H,2,2020-01-29,Rangers,SC0,0,4,11,13,H,4,Rangers_Ross County_2019
136,19:45:00,2,Celtic,4,0,0,3,0,J Beaton,0,3,0,8,A,15,2020-01-29,St Johnstone,SC0,7,4,6,8,A,3,St Johnstone_Celtic_2019
137,15:00:00,2,St Mirren,14,0,2,2,2,D Munro,0,2,1,11,D,8,2020-02-01,Hibernian,SC0,3,5,11,9,D,4,Hibernian_St Mirren_2019
138,15:00:00,1,Ross County,10,0,3,1,0,W Collum,0,1,3,16,H,7,2020-02-01,Kilmarnock,SC0,5,6,5,18,A,3,Kilmarnock_Ross County_2019
139,15:00:00,2,Motherwell,11,0,1,0,0,J Beaton,0,0,3,16,H,1,2020-02-01,Livingston,SC0,0,7,14,16,D,1,Livingston_Motherwell_2019
140,15:00:00,3,Aberdeen,9,0,0,0,0,A Dallas,0,0,4,18,D,4,2020-02-01,Rangers,SC0,2,5,10,16,D,1,Rangers_Aberdeen_2019
141,15:00:00,2,Hearts,17,0,3,3,1,G Aitken,0,2,3,16,D,7,2020-02-01,St Johnstone,SC0,4,8,8,14,A,7,St Johnstone_Hearts_2019
142,12:30:00,3,Celtic,12,0,1,4,1,N Walsh,1,1,2,6,A,21,2020-02-02,Hamilton,SC0,6,2,2,4,D,15,Hamilton_Celtic_2019
143,19:45:00,2,St Johnstone,19,0,0,1,0,K Clancy,0,1,2,11,A,4,2020-02-05,Aberdeen,SC0,2,3,5,7,A,2,Aberdeen_St Johnstone_2019
144,19:45:00,4,Kilmarnock,15,1,2,3,0,D Munro,0,2,1,9,A,7,2020-02-05,Hearts,SC0,5,11,12,15,A,6,Hearts_Kilmarnock_2019
145,19:45:00,1,Celtic,15,0,0,4,0,D Robertson,0,1,0,8,A,18,2020-02-05,Motherwell,SC0,6,4,4,11,A,2,Motherwell_Celtic_2019
146,19:45:00,1,Hibernian,12,0,2,1,1,B Madden,0,1,2,15,H,5,2020-02-05,Rangers,SC0,4,7,18,16,D,3,Rangers_Hibernian_2019
147,19:45:00,3,Livingston,13,0,2,0,1,N Walsh,0,0,3,8,H,10,2020-02-05,Ross County,SC0,2,2,3,5,H,5,Ross County_Livingston_2019
148,19:45:00,2,Hamilton,15,0,1,1,0,A Newlands,0,1,1,12,D,9,2020-02-05,St Mirren,SC0,2,2,6,11,A,5,St Mirren_Hamilton_2019
149,19:45:00,0,Aberdeen,9,0,1,3,0,G Aitken,0,3,1,14,A,8,2020-02-11,Hamilton,SC0,5,1,4,3,A,8,Hamilton_Aberdeen_2019
150,19:45:00,1,Hearts,17,1,5,0,1,W Collum,0,0,2,16,H,5,2020-02-12,Celtic,SC0,2,12,10,22,H,6,Celtic_Hearts_2019
151,19:45:00,1,Ross County,8,0,3,0,2,S McLean,0,0,3,13,H,4,2020-02-12,Hibernian,SC0,2,6,6,10,H,5,Hibernian_Ross County_2019
152,19:45:00,3,Rangers,10,0,2,1,0,J Beaton,0,1,3,8,H,14,2020-02-12,Kilmarnock,SC0,4,2,9,7,A,3,Kilmarnock_Rangers_2019
153,19:45:00,0,St Mirren,13,0,2,1,1,D Munro,0,0,1,13,H,9,2020-02-12,Livingston,SC0,4,4,6,10,H,5,Livingston_St Mirren_2019
154,19:45:00,0,Motherwell,10,1,2,1,1,N Walsh,0,1,2,18,H,5,2020-02-12,St Johnstone,SC0,1,4,4,11,D,5,St Johnstone_Motherwell_2019
155,15:00:00,2,Hamilton,17,1,2,2,0,K Clancy,0,2,1,11,D,3,2020-02-15,Hearts,SC0,3,8,7,17,A,1,Hearts_Hamilton_2019
156,15:00:00,1,St Johnstone,11,0,1,1,0,C Steven,0,1,1,5,D,13,2020-02-15,Ross County,SC0,5,2,7,5,A,3,Ross County_St Johnstone_2019
157,12:00:00,2,Celtic,10,0,1,2,1,A Dallas,0,1,1,14,A,6,2020-02-16,Aberdeen,SC0,4,3,5,6,D,3,Aberdeen_Celtic_2019
158,15:00:00,0,Livingston,4,0,1,0,0,E Anderson,0,0,3,14,H,3,2020-02-16,Rangers,SC0,2,4,10,11,D,4,Rangers_Livingston_2019
159,16:30:00,2,Hibernian,9,0,1,2,1,A Muir,0,2,2,11,A,11,2020-02-16,Kilmarnock,SC0,6,7,10,12,A,6,Kilmarnock_Hibernian_2019
160,15:00:00,0,Ross County,11,0,1,2,1,G Duncan,1,1,1,10,A,7,2020-02-22,Aberdeen,SC0,5,2,4,8,D,2,Aberdeen_Ross County_2019
161,15:00:00,2,Motherwell,14,1,0,0,0,C Steven,0,0,3,15,D,11,2020-02-22,Hamilton,SC0,5,3,5,16,D,5,Hamilton_Motherwell_2019
162,15:00:00,1,Livingston,8,0,1,1,0,A Newlands,0,0,1,12,D,7,2020-02-22,Hibernian,SC0,1,5,11,7,D,5,Hibernian_Livingston_2019
163,13:30:00,1,Rangers,9,0,2,2,1,W Collum,0,0,0,5,D,21,2020-02-23,St Johnstone,SC0,9,4,5,7,H,6,St Johnstone_Rangers_2019
164,15:00:00,1,Kilmarnock,6,1,3,1,2,K Clancy,0,1,1,9,H,3,2020-02-23,Celtic,SC0,1,13,7,30,H,2,Celtic_Kilmarnock_2019
165,19:45:00,1,St Mirren,13,0,1,2,1,D Munro,0,0,5,9,A,9,2020-02-25,Motherwell,SC0,3,6,11,14,H,6,Motherwell_St Mirren_2019
166,19:45:00,3,Hearts,12,0,1,3,0,K Clancy,0,0,2,20,A,10,2020-03-03,Hibernian,SC0,4,1,5,8,D,7,Hibernian_Hearts_2019
167,19:45:00,0,Aberdeen,10,0,2,2,2,A Newlands,0,1,5,16,D,7,2020-03-04,Kilmarnock,SC0,4,9,9,16,H,1,Kilmarnock_Aberdeen_2019
168,19:45:00,3,Celtic,13,0,2,2,1,W Collum,0,1,1,6,D,13,2020-03-04,Livingston,SC0,7,4,4,5,D,7,Livingston_Celtic_2019
