,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
126,3.3,1.55,4.33,-0.75,1.62,5.0,3.4,-0.75,5.5,4.5,1.67,5.3,3.5,1.66,2.0,1.57,4.7,1.84,1.65,4.8,2.03,1.6,3.4,1.825,2.025,1.85,-0.5,1.85,3.5,3.4,3.3,1.6,Hearts,Dundee United,Hearts_Dundee United_2004
127,3.2,2.2,3.2,-0.25,2.2,2.88,3.4,-0.25,2.8,3.0,2.0,2.85,3.4,2.1,1.92,2.2,2.75,1.92,2.2,2.8,1.51,2.2,3.2,1.9,1.95,1.85,-0.5,1.85,3.1,3.2,3.2,2.2,Kilmarnock,Motherwell,Kilmarnock_Motherwell_2004
128,3.3,3.0,2.2,0.25,2.88,2.2,3.3,0.25,2.1,2.1,2.75,2.1,3.4,3.0,1.94,2.87,2.2,1.9,2.8,2.1,2.1,2.95,3.2,1.925,1.925,1.79,0.5,1.9,3.1,3.25,3.3,1.56,Livingston,Hibernian,Livingston_Hibernian_2004
129,6.5,1.15,15.0,-2.0,1.12,13.0,6.75,-2.0,10.0,15.0,1.12,13.0,7.0,1.11,2.04,1.14,12.5,1.8,1.13,12.0,,1.12,6.5,1.8,2.05,,,,6.0,6.0,7.0,,Rangers,Dunfermline,Rangers_Dunfermline_2004
130,4.0,6.0,1.36,1.25,7.5,1.36,4.0,1.25,1.33,1.4,8.0,1.33,4.33,7.5,1.96,8.0,1.4,1.88,6.75,1.4,1.33,8.5,4.0,1.85,2.0,1.65,0.5,2.05,3.9,3.75,4.0,2.72,Aberdeen,Celtic,Aberdeen_Celtic_2004
131,6.0,1.15,15.0,-2.0,1.12,15.0,6.5,-2.0,12.0,15.0,1.12,14.0,7.0,1.11,1.92,1.14,15.0,1.92,1.12,12.0,,1.13,6.5,1.925,1.925,,,,6.0,6.0,6.4,,Celtic,Motherwell,Celtic_Motherwell_2004
132,3.2,2.7,2.25,0.0,2.62,2.38,3.2,0.0,2.3,2.5,2.75,2.4,3.1,2.62,1.82,2.62,2.5,2.02,2.5,2.3,2.4,2.6,3.2,2.05,1.8,1.85,0.5,1.85,3.0,3.2,3.2,1.43,Dundee,Hearts,Dundee_Hearts_2004
133,3.2,1.9,3.0,-0.25,1.91,3.5,3.1,-0.25,3.2,3.2,2.1,3.2,3.2,2.1,2.06,2.0,3.8,1.78,1.9,3.5,1.6,2.05,3.25,1.75,2.1,1.85,-0.5,1.85,3.1,3.2,3.2,2.05,Dunfermline,Dundee United,Dunfermline_Dundee United_2004
134,3.3,1.7,4.0,-0.75,1.67,4.5,3.5,-0.75,4.33,4.5,1.73,4.5,3.5,1.66,1.82,1.7,4.5,2.02,1.65,4.2,1.9,1.7,3.4,2.05,1.8,1.75,-0.5,1.95,3.2,3.4,3.3,1.7,Hibernian,Kilmarnock,Hibernian_Kilmarnock_2004
135,3.2,2.2,2.8,-0.25,2.2,2.88,3.2,-0.25,2.62,3.0,2.2,2.85,3.4,2.1,1.84,2.3,2.9,2.0,2.2,2.9,1.52,2.2,3.2,1.975,1.875,1.9,-0.5,1.79,3.0,3.2,3.25,2.2,Livingston,Inverness C,Livingston_Inverness C_2004
136,3.75,5.4,1.4,1.0,7.0,1.4,3.9,1.25,1.4,1.4,7.0,1.42,4.0,7.0,2.08,7.0,1.4,1.76,7.0,1.45,,7.0,4.0,2.1,1.75,,,,3.8,3.75,3.75,,Aberdeen,Rangers,Aberdeen_Rangers_2004
137,3.25,3.2,2.0,0.25,3.0,2.2,3.2,0.25,1.9,2.1,3.2,2.1,3.2,3.2,1.88,3.4,2.05,2.0,3.2,2.0,2.1,3.0,3.2,2.1,1.75,1.95,0.5,1.75,3.1,3.2,3.2,1.55,Livingston,Hearts,Livingston_Hearts_2004
138,3.1,2.4,2.8,-0.25,2.3,2.7,3.2,0.0,2.75,3.0,2.2,2.75,3.2,2.2,2.14,2.35,2.5,1.7,2.5,2.5,,2.35,3.2,1.95,1.9,,,,3.1,3.2,3.1,,Dundee United,Dundee,Dundee United_Dundee_2004
139,3.15,2.1,3.4,-0.5,2.0,3.25,3.1,-0.25,3.25,3.6,1.91,3.25,3.25,1.9,2.1,2.05,3.2,1.74,2.1,3.1,,2.05,3.25,2.0,1.85,,,,3.0,3.25,3.15,,Hearts,Aberdeen,Hearts_Aberdeen_2004
140,3.15,2.0,3.0,-0.25,2.0,3.25,3.15,-0.25,3.25,3.39,2.0,3.25,3.25,2.0,2.04,2.05,3.15,1.8,2.1,3.2,,2.05,3.25,1.85,2.0,,,,3.1,3.4,3.15,,Inverness C,Dunfermline,Inverness C_Dunfermline_2004
141,7.0,1.12,17.0,-2.25,1.111,15.0,7.0,-2.25,15.0,15.0,1.08,15.0,7.5,1.1,1.94,1.11,13.5,1.9,1.12,13.0,,1.11,7.0,1.825,2.025,,,,6.5,7.0,7.0,,Rangers,Livingston,Rangers_Livingston_2004
142,5.0,9.0,1.25,1.5,9.0,1.25,4.5,1.5,1.25,1.28,10.0,1.25,5.0,10.0,1.82,9.0,1.28,2.02,9.0,1.25,,9.0,5.0,1.9,1.95,,,,4.5,4.5,5.0,,Kilmarnock,Celtic,Kilmarnock_Celtic_2004
143,3.1,2.3,2.75,0.0,2.38,2.62,3.15,0.0,2.62,2.75,2.25,2.7,3.25,2.3,2.06,2.37,2.7,1.78,2.35,2.7,1.44,2.4,3.2,1.75,2.1,1.95,-0.5,1.75,3.0,3.2,3.1,2.4,Dundee,Motherwell,Dundee_Motherwell_2004
144,3.1,2.4,2.5,0.0,2.5,2.5,3.15,0.0,2.5,2.62,2.5,2.5,3.25,2.4,1.9,2.5,2.45,1.94,2.6,2.6,2.5,2.55,3.2,1.95,1.9,2.0,0.5,1.71,3.0,3.2,3.15,1.41,Dunfermline,Aberdeen,Dunfermline_Aberdeen_2004
145,3.2,1.65,3.75,-0.75,1.7,4.33,3.3,-0.75,4.33,4.5,1.8,4.4,3.5,1.66,1.88,1.72,4.5,1.96,1.7,4.4,1.92,1.7,3.4,2.0,1.85,1.79,-0.5,1.9,3.3,3.25,3.4,1.7,Hearts,Kilmarnock,Hearts_Kilmarnock_2004
146,3.1,2.4,2.75,-0.25,2.38,2.62,3.15,-0.25,2.6,2.7,2.2,2.75,3.2,2.37,1.78,2.4,2.8,2.06,2.3,2.6,1.46,2.35,3.2,2.05,1.8,1.85,-0.5,1.85,3.0,3.25,3.1,2.35,Livingston,Dundee United,Livingston_Dundee United_2004
147,4.33,1.25,11.0,-1.5,1.22,10.0,5.25,-1.5,8.5,9.5,1.2,9.0,5.0,1.25,1.88,1.28,13.0,1.96,1.18,9.0,3.21,1.25,5.0,2.0,1.85,1.6,-0.5,2.15,4.5,5.0,5.0,1.25,Rangers,Hibernian,Rangers_Hibernian_2004
148,3.2,2.8,2.38,0.25,2.75,2.25,3.2,0.25,2.25,2.3,2.6,2.3,3.2,2.7,2.06,2.75,2.4,1.78,2.6,2.2,2.3,2.75,3.25,1.8,2.05,1.79,0.5,1.9,3.1,3.2,3.2,1.48,Motherwell,Hibernian,Motherwell_Hibernian_2004
149,3.4,1.55,4.5,-0.75,1.57,5.0,3.6,-0.75,4.8,5.5,1.62,5.0,3.5,1.57,2.12,1.6,6.0,1.72,1.5,4.8,2.02,1.62,3.6,1.7,2.15,1.95,-0.5,1.75,3.5,3.5,3.4,1.62,Aberdeen,Livingston,Aberdeen_Livingston_2004
150,3.2,2.1,3.0,-0.25,2.1,3.0,3.2,-0.25,2.9,3.0,2.0,3.1,3.2,2.2,1.96,2.15,3.0,1.88,2.15,3.0,1.57,2.1,3.25,1.85,2.0,1.75,-0.5,1.95,3.1,3.4,3.2,2.1,Dundee United,Inverness C,Dundee United_Inverness C_2004
151,3.5,1.55,5.0,-1.0,1.57,5.0,3.9,-0.75,5.0,5.0,1.57,5.0,3.5,1.61,2.1,1.57,7.0,1.74,1.4,4.8,2.06,1.6,3.6,2.05,1.8,1.71,-0.5,2.0,3.5,3.5,3.5,1.6,Hibernian,Dundee,Hibernian_Dundee_2004
152,3.25,1.9,3.5,-0.5,1.83,3.75,3.35,-0.5,3.4,3.75,1.83,3.65,3.4,1.83,1.96,1.9,3.5,1.88,1.9,3.4,1.73,1.87,3.25,1.875,1.975,1.85,-0.5,1.85,3.2,3.4,3.3,1.87,Kilmarnock,Dunfermline,Kilmarnock_Dunfermline_2004
153,3.1,2.5,2.25,0.0,2.6,2.38,3.2,0.0,2.4,2.4,2.75,2.4,3.25,2.62,1.9,2.6,2.5,1.94,2.5,2.5,2.4,2.6,3.2,1.975,1.875,1.9,0.5,1.79,3.0,3.2,3.2,1.43,Motherwell,Hearts,Motherwell_Hearts_2004
154,3.2,2.1,3.2,-0.25,2.2,3.2,3.2,-0.25,2.9,3.25,2.0,3.1,3.2,2.2,1.96,2.15,3.0,1.88,2.15,3.1,1.57,2.1,3.2,1.825,2.025,1.9,-0.5,1.79,3.0,3.2,3.2,2.1,Celtic,Rangers,Celtic_Rangers_2004
155,6.0,1.12,15.0,,1.12,15.0,6.0,-2.0,12.0,11.0,1.12,15.0,7.0,1.12,1.96,1.14,13.0,1.88,1.15,13.0,,1.14,6.5,,,,,,6.5,6.0,6.0,,Rangers,Kilmarnock,Rangers_Kilmarnock_2004
156,7.0,1.12,15.0,-2.25,1.11,15.0,7.0,1.9,13.0,17.0,1.1,16.0,6.5,1.11,1.94,1.1,16.0,-2.25,1.1,13.0,,1.1,7.0,1.95,1.9,,,,6.5,7.0,6.75,,Celtic,Dundee,Celtic_Dundee_2004
157,3.4,2.3,2.5,-0.25,2.38,2.62,3.2,2.08,2.6,2.75,2.4,2.65,3.25,2.25,1.76,2.25,2.7,0.0,2.35,2.7,1.45,2.35,3.2,2.025,1.825,1.95,-0.5,1.75,3.0,3.25,3.2,2.35,Dundee United,Aberdeen,Dundee United_Aberdeen_2004
158,3.25,2.3,2.75,-0.25,2.25,2.75,3.2,2.1,2.7,2.7,2.25,2.8,3.2,2.3,1.74,2.25,2.75,0.0,2.3,2.7,1.49,2.25,3.25,1.95,1.9,1.95,-0.5,1.75,3.0,3.2,3.2,2.25,Dunfermline,Motherwell,Dunfermline_Motherwell_2004
159,3.75,7.0,1.4,1.25,7.5,1.44,4.05,2.0,1.4,1.44,7.0,1.44,4.0,7.5,1.84,7.0,1.35,1.25,8.0,1.35,1.44,6.5,4.0,1.7,2.15,1.85,0.5,1.85,4.0,3.75,3.75,2.38,Hearts,Rangers,Hearts_Rangers_2004
160,3.2,2.9,2.4,0.25,2.88,2.2,3.2,2.04,2.1,2.2,2.5,2.2,3.25,2.8,1.8,3.0,2.25,0.25,2.8,2.2,2.2,2.9,3.2,1.8,2.05,1.85,0.5,1.85,3.0,3.25,3.2,1.52,Inverness C,Hibernian,Inverness C_Hibernian_2004
161,3.25,2.6,2.4,0.25,2.75,2.3,3.2,2.08,2.2,2.3,2.5,2.25,3.2,2.7,1.76,2.75,2.3,0.25,2.75,2.3,2.25,2.75,3.2,1.8,2.05,,0.5,,3.1,3.25,3.2,1.48,Livingston,Kilmarnock,Livingston_Kilmarnock_2004
162,3.4,1.65,4.33,-0.75,1.67,4.5,3.45,-0.75,4.33,4.5,1.67,4.6,3.5,1.66,1.8,1.66,4.6,2.04,1.65,4.4,1.27,1.67,3.4,2.05,1.8,1.85,-1.5,1.85,3.3,3.4,3.4,2.92,Dundee,Livingston,Dundee_Livingston_2004
163,3.3,2.6,2.38,0.0,2.7,2.3,3.25,0.0,2.37,2.4,2.6,2.4,3.25,2.62,1.86,2.5,2.35,1.98,2.65,2.4,2.4,2.6,3.2,1.975,1.875,1.79,0.5,1.9,3.0,3.2,3.25,1.44,Dunfermline,Hearts,Dunfermline_Hearts_2004
164,3.2,2.3,3.0,-0.25,2.3,2.75,3.15,-0.25,2.8,2.8,2.1,2.8,3.25,2.25,1.86,2.2,2.85,1.98,2.25,2.7,1.08,2.25,3.2,2.05,1.8,1.85,-1.5,1.85,3.0,3.2,3.25,4.7,Kilmarnock,Aberdeen,Kilmarnock_Aberdeen_2004
165,3.3,1.75,3.2,-0.5,1.83,3.75,3.3,-0.5,3.6,3.75,2.0,3.85,3.4,1.83,1.92,1.83,4.2,1.92,1.75,4.0,1.21,1.83,3.25,1.95,1.9,1.75,-1.5,1.95,3.2,3.2,3.3,3.33,Motherwell,Dundee United,Motherwell_Dundee United_2004
