,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
110,1,Dundee United,15,2,0,1,2,0,0,3,12,H,16,2012-12-23,Hearts,SC0,7,4,7,9,H,4,Hearts_Dundee United_2012
111,0,Hibernian,14,1,0,1,1,0,1,3,12,D,10,2012-12-23,Kilmarnock,SC0,6,8,6,11,D,6,Kilmarnock_Hibernian_2012
112,1,Celtic,6,0,0,2,0,0,1,1,11,A,10,2012-12-26,Dundee,SC0,7,8,7,16,A,9,Dundee_Celtic_2012
113,4,St Johnstone,6,1,0,1,1,0,0,3,7,D,7,2012-12-26,Dundee United,SC0,5,1,7,3,H,6,Dundee United_St Johnstone_2012
114,2,Ross County,13,0,0,1,0,0,0,2,11,A,3,2012-12-26,Hibernian,SC0,3,4,6,12,D,1,Hibernian_Ross County_2012
115,0,St Mirren,9,2,0,2,1,0,1,3,12,D,10,2012-12-26,Inverness C,SC0,2,7,4,17,D,5,Inverness C_St Mirren_2012
116,2,Hearts,11,1,0,0,1,0,0,3,7,H,10,2012-12-26,Kilmarnock,SC0,4,1,2,3,H,6,Kilmarnock_Hearts_2012
117,1,Aberdeen,6,4,0,1,3,0,1,1,8,H,13,2012-12-26,Motherwell,SC0,6,7,7,12,H,6,Motherwell_Aberdeen_2012
118,0,Aberdeen,9,1,0,3,0,0,0,3,5,A,12,2012-12-29,Dundee,SC0,7,4,4,11,D,5,Dundee_Aberdeen_2012
119,3,Celtic,10,1,0,0,1,0,0,1,9,H,14,2012-12-29,Hibernian,SC0,7,2,2,6,H,6,Hibernian_Celtic_2012
120,1,Kilmarnock,10,2,0,2,0,0,1,1,11,D,7,2012-12-29,Motherwell,SC0,6,13,11,20,A,5,Motherwell_Kilmarnock_2012
121,1,Inverness C,8,0,0,0,0,0,0,3,15,D,4,2012-12-29,St Johnstone,SC0,1,4,6,10,D,5,St Johnstone_Inverness C_2012
122,0,St Mirren,10,3,0,4,2,1,1,2,10,A,7,2012-12-30,Dundee United,SC0,6,5,8,9,H,4,Dundee United_St Mirren_2012
123,1,Dundee United,8,2,0,2,1,0,2,0,12,D,7,2013-01-02,Aberdeen,SC0,3,7,7,13,A,5,Aberdeen_Dundee United_2012
124,4,Motherwell,4,1,0,0,0,0,0,2,7,H,8,2013-01-02,Celtic,SC0,2,10,12,18,D,5,Celtic_Motherwell_2012
125,2,Dundee,14,1,0,0,1,0,0,2,13,H,5,2013-01-02,St Johnstone,SC0,1,2,4,6,H,4,St Johnstone_Dundee_2012
126,1,Kilmarnock,9,1,0,1,0,0,1,2,12,D,4,2013-01-02,St Mirren,SC0,2,8,8,14,A,4,St Mirren_Kilmarnock_2012
127,0,Hibernian,14,0,0,0,0,0,0,3,12,D,6,2013-01-03,Hearts,SC0,2,2,13,7,D,1,Hearts_Hibernian_2012
128,0,Hearts,9,4,0,1,2,0,0,2,6,H,3,2013-01-19,Celtic,SC0,2,9,8,13,H,2,Celtic_Hearts_2012
129,1,Dundee,14,1,0,1,0,0,1,1,15,D,9,2013-01-19,Hibernian,SC0,5,7,8,14,A,0,Hibernian_Dundee_2012
130,1,Aberdeen,11,3,0,0,0,0,0,4,12,H,9,2013-01-19,Inverness C,SC0,4,6,4,11,D,3,Inverness C_Aberdeen_2012
131,1,Dundee United,10,2,0,3,1,0,1,0,6,A,7,2013-01-19,Kilmarnock,SC0,4,3,6,7,D,9,Kilmarnock_Dundee United_2012
132,1,Ross County,6,1,0,4,0,0,1,1,10,A,15,2013-01-19,St Mirren,SC0,11,5,4,8,A,4,St Mirren_Ross County_2012
133,0,St Johnstone,12,3,0,2,2,0,0,1,16,H,18,2013-01-20,Motherwell,SC0,9,6,4,8,H,7,Motherwell_St Johnstone_2012
134,0,Dundee United,15,4,0,0,2,0,0,2,8,H,6,2013-01-22,Celtic,SC0,1,10,11,22,H,3,Celtic_Dundee United_2012
135,0,Ross County,5,1,0,1,0,0,0,2,8,D,7,2013-01-26,Dundee United,SC0,5,3,6,10,D,4,Dundee United_Ross County_2012
136,1,Hibernian,11,0,0,0,0,0,0,4,10,D,3,2013-01-27,Aberdeen,SC0,3,3,6,14,D,4,Aberdeen_Hibernian_2012
137,0,Kilmarnock,5,0,0,0,0,0,0,2,7,D,4,2013-01-27,Dundee,SC0,3,2,8,4,D,5,Dundee_Kilmarnock_2012
138,1,Kilmarnock,5,4,0,1,1,0,0,1,8,H,6,2013-01-30,Celtic,SC0,4,10,10,20,H,0,Celtic_Kilmarnock_2012
139,1,Dundee,7,1,0,0,0,0,0,1,9,H,3,2013-01-30,Hearts,SC0,0,13,8,24,D,1,Hearts_Dundee_2012
140,2,Hibernian,12,1,0,0,1,0,0,1,11,H,6,2013-01-30,Ross County,SC0,4,4,0,8,H,1,Ross County_Hibernian_2012
141,1,Aberdeen,7,3,0,1,1,0,1,2,10,H,11,2013-01-30,St Johnstone,SC0,5,5,3,7,D,6,St Johnstone_Aberdeen_2012
142,0,Inverness C,9,2,0,1,1,0,1,1,11,H,8,2013-01-30,St Mirren,SC0,7,7,6,10,D,7,St Mirren_Inverness C_2012
143,3,Hearts,13,2,0,2,1,0,1,1,9,D,12,2013-02-02,Ross County,SC0,7,5,9,9,D,7,Ross County_Hearts_2012
144,2,Ross County,6,0,0,2,0,0,0,2,11,A,6,2013-02-08,Dundee,SC0,3,5,3,7,D,3,Dundee_Ross County_2012
145,2,St Mirren,13,0,0,0,0,1,0,3,14,D,9,2013-02-09,Aberdeen,SC0,6,3,8,7,D,7,Aberdeen_St Mirren_2012
146,1,Hearts,3,3,1,1,1,0,0,3,5,H,8,2013-02-09,Dundee United,SC0,4,1,2,3,H,4,Dundee United_Hearts_2012
147,0,Celtic,7,1,0,3,1,0,1,0,16,A,12,2013-02-09,Inverness C,SC0,7,4,5,7,D,8,Inverness C_Celtic_2012
148,1,Motherwell,8,2,2,0,1,0,0,2,14,H,13,2013-02-09,Kilmarnock,SC0,7,4,1,9,H,9,Kilmarnock_Motherwell_2012
149,2,St Johnstone,16,1,0,3,0,0,2,3,21,A,9,2013-02-11,Hibernian,SC0,5,1,6,8,A,3,Hibernian_St Johnstone_2012
150,1,Kilmarnock,10,1,0,1,1,0,0,0,11,D,2,2013-02-13,Inverness C,SC0,1,7,9,13,H,4,Inverness C_Kilmarnock_2012
151,0,Dundee,10,1,0,0,1,0,0,1,10,H,9,2013-02-15,Aberdeen,SC0,4,3,4,7,H,4,Aberdeen_Dundee_2012
152,2,Dundee United,6,6,0,2,3,0,1,0,5,H,5,2013-02-16,Celtic,SC0,4,7,5,20,H,4,Celtic_Dundee United_2012
153,1,Kilmarnock,11,0,0,3,0,0,1,1,9,A,6,2013-02-16,Hearts,SC0,5,7,12,11,A,3,Hearts_Kilmarnock_2012
154,0,Inverness C,12,3,0,0,1,0,0,2,9,H,9,2013-02-16,Motherwell,SC0,2,4,3,14,H,3,Motherwell_Inverness C_2012
155,1,St Johnstone,9,1,0,0,1,0,0,3,14,H,13,2013-02-16,Ross County,SC0,7,4,3,8,H,9,Ross County_St Johnstone_2012
156,1,Hibernian,5,0,0,1,0,0,0,2,12,A,6,2013-02-16,St Mirren,SC0,2,1,4,2,D,2,St Mirren_Hibernian_2012
157,1,Dundee United,6,0,0,1,0,0,1,2,8,A,10,2013-02-19,Motherwell,SC0,7,6,7,11,A,4,Motherwell_Dundee United_2012
158,3,Celtic,17,1,0,1,0,0,1,1,10,D,12,2013-02-19,St Johnstone,SC0,8,3,2,6,A,8,St Johnstone_Celtic_2012
159,2,Inverness C,16,2,0,3,0,0,1,3,17,A,5,2013-02-23,Hearts,SC0,2,4,7,13,A,4,Hearts_Inverness C_2012
160,0,Aberdeen,7,1,0,1,1,0,1,1,10,D,14,2013-02-23,Kilmarnock,SC0,6,4,11,8,D,8,Kilmarnock_Aberdeen_2012
161,2,Motherwell,8,3,0,0,1,0,0,2,13,H,6,2013-02-23,Ross County,SC0,3,7,3,11,H,3,Ross County_Motherwell_2012
162,3,St Mirren,12,1,0,0,0,0,0,1,12,H,7,2013-02-23,St Johnstone,SC0,2,3,7,11,D,6,St Johnstone_St Mirren_2012
163,1,Dundee,15,5,1,0,1,0,0,1,10,H,7,2013-02-24,Celtic,SC0,2,9,3,22,H,6,Celtic_Dundee_2012
164,2,Hibernian,11,2,0,2,1,0,1,1,16,D,11,2013-02-24,Dundee United,SC0,6,2,4,8,D,3,Dundee United_Hibernian_2012
165,0,Ross County,15,0,0,1,0,0,0,0,13,A,7,2013-02-26,Aberdeen,SC0,6,6,4,10,D,4,Aberdeen_Ross County_2012
166,1,St Johnstone,11,2,0,2,1,1,1,4,15,D,7,2013-02-27,Dundee,SC0,4,5,4,10,D,9,Dundee_St Johnstone_2012
167,1,Kilmarnock,13,2,0,2,0,0,0,1,7,D,13,2013-02-27,Hibernian,SC0,7,4,8,12,D,2,Hibernian_Kilmarnock_2012
168,1,Dundee United,10,0,0,0,0,0,0,1,8,D,9,2013-02-27,Inverness C,SC0,2,7,4,9,D,3,Inverness C_Dundee United_2012
169,0,Celtic,14,2,0,1,1,0,0,2,11,H,10,2013-02-27,Motherwell,SC0,5,3,4,6,H,2,Motherwell_Celtic_2012
170,0,Hearts,8,2,0,0,2,0,0,1,15,H,13,2013-02-27,St Mirren,SC0,8,2,3,4,H,5,St Mirren_Hearts_2012
171,0,Motherwell,12,1,0,2,0,0,2,2,12,A,4,2013-03-02,Hearts,SC0,3,9,6,21,A,0,Hearts_Motherwell_2012
172,1,Inverness C,10,0,0,0,0,0,0,2,9,D,5,2013-03-02,Ross County,SC0,1,3,3,8,D,5,Ross County_Inverness C_2012
173,3,St Johnstone,16,2,0,0,1,0,0,2,18,H,5,2013-03-05,Hearts,SC0,4,5,2,12,H,3,Hearts_St Johnstone_2012
174,3,St Mirren,13,2,0,1,0,0,1,1,8,H,15,2013-03-06,Dundee,SC0,9,4,5,12,A,6,Dundee_St Mirren_2012
175,0,Motherwell,10,0,0,0,0,0,0,1,6,D,7,2013-03-09,Aberdeen,SC0,2,1,8,13,D,9,Aberdeen_Motherwell_2012
176,2,Inverness C,12,1,0,1,1,0,0,2,13,D,12,2013-03-09,Dundee,SC0,5,3,6,6,H,7,Dundee_Inverness C_2012
177,0,Celtic,13,3,0,2,2,0,2,2,11,H,12,2013-03-09,Ross County,SC0,7,4,4,11,D,4,Ross County_Celtic_2012
178,1,Kilmarnock,10,2,0,0,0,0,0,2,7,H,4,2013-03-09,St Johnstone,SC0,3,6,11,9,D,5,St Johnstone_Kilmarnock_2012
179,2,Dundee United,11,0,1,0,0,0,0,0,10,D,10,2013-03-09,St Mirren,SC0,2,9,6,18,D,3,St Mirren_Dundee United_2012
180,1,Hearts,12,0,0,0,0,0,0,3,20,D,12,2013-03-10,Hibernian,SC0,6,3,6,7,D,5,Hibernian_Hearts_2012
181,1,Hibernian,13,4,0,1,0,0,1,1,12,H,8,2013-03-15,Motherwell,SC0,5,10,3,13,A,4,Motherwell_Hibernian_2012
182,1,Aberdeen,8,4,0,3,1,0,1,5,10,H,6,2013-03-16,Celtic,SC0,5,13,9,18,D,6,Celtic_Aberdeen_2012
183,0,Ross County,10,2,0,1,1,0,1,3,13,H,8,2013-03-16,Inverness C,SC0,3,3,3,5,D,6,Inverness C_Ross County_2012
184,2,Dundee,10,1,1,1,0,0,0,4,14,D,5,2013-03-17,Dundee United,SC0,3,9,6,21,D,2,Dundee United_Dundee_2012
185,1,Hearts,9,2,0,0,1,0,0,3,12,H,13,2013-03-30,Aberdeen,SC0,7,8,7,13,H,5,Aberdeen_Hearts_2012
186,1,Motherwell,6,0,0,3,0,0,1,1,4,A,5,2013-03-30,Dundee,SC0,5,1,6,4,A,7,Dundee_Motherwell_2012
187,2,Inverness C,16,1,0,2,0,0,0,1,11,A,9,2013-03-30,Hibernian,SC0,5,4,9,9,D,3,Hibernian_Inverness C_2012
188,1,Kilmarnock,8,0,0,1,0,0,1,1,11,A,5,2013-03-30,Ross County,SC0,2,7,10,16,A,2,Ross County_Kilmarnock_2012
189,1,Celtic,4,1,1,1,0,0,1,1,10,D,5,2013-03-31,St Mirren,SC0,2,3,9,10,A,4,St Mirren_Celtic_2012
190,2,Dundee United,10,1,1,1,0,0,1,2,12,D,5,2013-04-01,St Johnstone,SC0,2,9,8,19,A,2,St Johnstone_Dundee United_2012
191,1,St Mirren,2,1,0,1,0,0,1,3,10,D,9,2013-04-03,Kilmarnock,SC0,3,4,9,11,A,5,Kilmarnock_St Mirren_2012
192,0,St Johnstone,12,0,0,0,0,0,0,2,13,D,13,2013-04-05,Inverness C,SC0,5,6,3,9,D,2,Inverness C_St Johnstone_2012
193,0,Hibernian,8,3,0,0,1,0,0,0,6,H,1,2013-04-06,Celtic,SC0,1,8,4,8,H,1,Celtic_Hibernian_2012
194,2,Aberdeen,6,1,0,0,0,0,0,1,5,H,6,2013-04-06,Dundee United,SC0,4,3,4,6,D,7,Dundee United_Aberdeen_2012
195,2,Ross County,9,4,0,2,0,0,1,2,11,H,15,2013-04-06,Hearts,SC0,9,5,10,15,A,3,Hearts_Ross County_2012
196,0,Dundee,8,1,0,2,0,0,1,3,7,A,6,2013-04-06,Kilmarnock,SC0,3,2,6,6,A,1,Kilmarnock_Dundee_2012
197,0,St Mirren,9,2,0,2,1,0,1,1,6,D,5,2013-04-06,Motherwell,SC0,4,7,8,16,D,2,Motherwell_St Mirren_2012
198,1,Motherwell,5,1,0,3,0,0,2,3,15,A,9,2013-04-19,Dundee United,SC0,6,7,4,13,A,4,Dundee United_Motherwell_2012
199,2,Hearts,10,0,0,1,0,0,1,0,14,A,12,2013-04-20,Kilmarnock,SC0,3,3,5,9,A,0,Kilmarnock_Hearts_2012
200,1,Dundee,10,1,0,2,0,1,1,1,8,A,12,2013-04-20,St Mirren,SC0,4,7,7,10,A,6,St Mirren_Dundee_2012
201,1,Inverness C,13,4,0,1,0,0,0,1,7,H,3,2013-04-21,Celtic,SC0,3,10,6,19,D,5,Celtic_Inverness C_2012
202,1,Ross County,16,2,0,2,2,0,1,3,14,D,15,2013-04-21,St Johnstone,SC0,8,7,4,9,H,7,St Johnstone_Ross County_2012
203,1,Aberdeen,7,0,0,0,0,0,0,1,12,D,4,2013-04-22,Hibernian,SC0,1,7,6,12,D,3,Hibernian_Aberdeen_2012
204,1,Dundee United,10,1,1,0,0,0,0,2,11,H,4,2013-04-26,Ross County,SC0,2,7,2,17,D,5,Ross County_Dundee United_2012
205,3,Kilmarnock,16,1,0,0,1,0,0,1,10,H,6,2013-04-27,Aberdeen,SC0,2,7,7,9,H,3,Aberdeen_Kilmarnock_2012
206,1,Hearts,7,1,1,0,0,1,0,3,9,H,1,2013-04-27,Dundee,SC0,1,2,10,4,D,4,Dundee_Hearts_2012
207,1,St Mirren,10,3,0,3,1,0,0,1,6,D,11,2013-04-27,Hibernian,SC0,5,7,6,13,H,5,Hibernian_St Mirren_2012
208,1,Inverness C,12,1,1,0,0,0,0,3,9,H,6,2013-04-27,St Johnstone,SC0,3,6,9,16,D,3,St Johnstone_Inverness C_2012
209,3,Celtic,13,3,0,1,1,0,1,2,9,H,18,2013-04-28,Motherwell,SC0,9,7,4,12,D,5,Motherwell_Celtic_2012
210,1,St Johnstone,8,0,1,1,0,0,1,0,5,A,5,2013-05-04,Dundee United,SC0,4,1,3,3,A,6,Dundee United_St Johnstone_2012
211,2,St Mirren,5,3,1,0,2,0,0,2,16,H,6,2013-05-04,Hearts,SC0,4,5,3,14,H,6,Hearts_St Mirren_2012
212,2,Motherwell,10,4,1,3,3,0,1,3,13,H,8,2013-05-04,Inverness C,SC0,4,8,4,12,H,6,Inverness C_Motherwell_2012
213,1,Aberdeen,11,1,0,1,1,0,0,2,4,D,4,2013-05-05,Dundee,SC0,2,7,5,11,H,7,Dundee_Aberdeen_2012
214,0,Celtic,10,1,0,1,1,0,1,0,9,D,8,2013-05-05,Ross County,SC0,6,7,4,12,D,7,Ross County_Celtic_2012
215,4,St Johnstone,10,4,0,0,2,0,0,4,12,H,1,2013-05-11,Celtic,SC0,0,8,7,15,H,3,Celtic_St Johnstone_2012
216,3,Kilmarnock,8,2,0,3,1,0,1,1,3,A,11,2013-05-11,Dundee,SC0,10,9,4,12,D,10,Dundee_Kilmarnock_2012
217,1,Dundee United,6,1,0,2,1,0,0,2,15,A,13,2013-05-11,Inverness C,SC0,7,11,10,21,H,4,Inverness C_Dundee United_2012
218,0,Aberdeen,8,0,0,0,0,0,0,0,12,D,12,2013-05-11,St Mirren,SC0,6,3,8,7,D,4,St Mirren_Aberdeen_2012
219,1,Hibernian,13,1,0,2,1,0,0,1,10,A,7,2013-05-12,Hearts,SC0,5,4,5,8,H,7,Hearts_Hibernian_2012
220,0,Ross County,4,2,0,0,2,0,0,2,7,H,9,2013-05-12,Motherwell,SC0,2,2,2,5,H,6,Motherwell_Ross County_2012
221,0,Hibernian,8,1,0,3,0,0,1,3,14,A,8,2013-05-15,Kilmarnock,SC0,4,4,5,10,A,5,Kilmarnock_Hibernian_2012
